Minister,Date,Name of External Organisation,Purpose of meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","January, 2012","Confederation of British Industry, Federation of Small Businesses, The Princes Trust, Institute of Commercial Management, Institute of Chartered Accountants in England and Wales, Lloyds Banking Group, Asset Based Finance Association, Finance and Leasing Association, British Chambers of Commerce, Institute of Credit Management, Association of Chartered Certified Accountants, The Manufacturersí Organisation, Institute of Directors, Social Enterprise Coalition, Royal Bank of Scotland, Barclays, HSBC, Building Research Establishment, British Bankersí Association",To discuss small business
"Minister of State (Business and Enterprise), Mark Prisk MP","February, 2012",Federation of Small Businesses,Regular meeting 
"Minister of State (Business and Enterprise), Mark Prisk MP","February, 2012",General Motors,General catch up 
"Minister of State (Business and Enterprise), Mark Prisk MP","February, 2012",Infineum,To discuss entrepreneurship
"Minister of State (Business and Enterprise), Mark Prisk MP","February, 2012",Scottish and Southern Energy plc,General catch up 
"Minister of State (Business and Enterprise), Mark Prisk MP","February, 2012",General Motors,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","February, 2012",Boeing United Kingdom Limited,General catch up 
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2012",PNE Group ,To discuss small business
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2012",Automotive Council UK,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2012","Zheyiang Geely Holding Group, Maganese Bronze Holdings plc",General catch up 
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2012",General Motors,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2012","Insulated Render and Cladding Association, Northern Europe- Knauf Insulation, Cavity Insulation Guarantee Agency, Solid Wall Insulation Guarantee Agency,  ",General catch up 
"Minister of State (Business and Enterprise), Mark Prisk MP","March, 2012",Industrial Biotechnology Leadership Forum,Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","Infosys Technologies, Parity Group, Pinsent Masons, Reliance Facilities Management , Steria, Securitas, Weird Group, McDonalds",To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","Princess Yachts, Sunseeker, Berthon, British Marine Federation",To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","Training 2000 Ltd, Prospectus Learning Foundation, Group Training Associations  ",To discuss training
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","UK Fashion and Textile Association, Textiles Services, Textile Centre for Excellence",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","Bentley, Courthouse Cavendish, Starbucks, Smith and Nephew, Systems, Applications Products Solutions, Royal Sun Alliance, Northrop Grumman, Cisco, Carnival, Binder Dijker Otte",To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",National Union of Students,Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",HSBC  ,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",Nationwide,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","Ambitious about Autism, College of Haringey, Enfield and North East London",To discuss vocational education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","National Grid, Technician Council, Royal Academy of Engineering ",To discuss skills and growth
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","Association of Colleges, Stockton Riverside College, York College, Northampton College, Plumpton College, Thomas Rotherham Sixth Form College",To discuss further education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","Lancaster & Morecambe College, Burley College, Accrington & Rossendale College, Blackburn College, Blackpool Sixth Form College, Nelson & Colne College,  Myerscough College, Blackpool & The Fylde College, The Lancashire Colleges, Runshaw College",To discuss further education and NEETS
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",Association of Colleges ,Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",De Vere Academy ,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",Microsoft ,To discuss careers guidance
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","Total Politics, Hamilton Bradshaw, Cass Business School, Climate Cars Ltd, Ashbridge Experimental Learning, Make it Cheaper, Ernst & Young, Elegius, AFG Media",To discuss entrepreneurship
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","National Endowment for Science Technology and the Arts, Warner Bros, Google, ITV, BSkyB, Arts Council England, Confederation of British Industry Microsoft UK, UK Music, Double Negative Visual Effects, Design Council, TIGA, Advertising Association, Eidos (Square Enix Group), Telegraph Media Group, Ingenious, Pact, Karmarama, Publishers Association, Creative England, Amazon UK, Association for UK interactive entertainment , Royal institute of British Architects, British Fashion Council, Sorrell Foundation, Aardman, BPI, BBC, Icon UK, Creative Skillset",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",Unison ,To discuss careers services
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",National Institute of Adult Continuing Education,Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",Barclays ,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",Royal Bank of Scotland ,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","Universities UK, British Land and Stock Exchange, Warwick University Institute for Employment, Creative Space Management, British Chamber, NESTA, Liverpool John Moores University, Joseph Rowntree Foundation, South Downs National Park, Transport Times, Igloo Regeneration, Westminster City Council, Transport  for Greater Manchester, HBJ Gateway, British Land, Environment Services Cambridge County Council, London School of Economics, Centre for Cities ",To discuss skills and cities
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",IBM Ltd,To discuss careers guidance
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",Association of Employment and Learning Providers,Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",Lloyds Banking Group,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012",Santander Bank ,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","Aon Ltd, Ernst & Young",To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","January, 2012","London College of Beauty Therapy, City of Westminster College, Westminster Kingsway College, De Vere Academy, The Creative Society, National Apprenticeship Service, The London Apprenticeship Academy, Financial Service Apprenticeship Scheme, Recruitment for Internships, London School of Economics, London Early Years Foundation, Centre for Social Justice, Vital Regeneration, Cardinal Hume Centre, Sir Simon Milton Foundation, Westminster City Council ",To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012",Construction Industry Training Board,Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012","Deutsche Bank, Lloyds Banking Group, Accenture, Credit Suisse, Barclays, Barclays Business, Citibank, Capita Learning & Development, Prudential, Bank of America/Merill Lynch, Royal Bank of Scotland, Santander, HSBC, National Apprenticeship Service, Financial Skills Partnership ",To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012","Association of Chief Executives of Voluntary Organisations, Barnados, BTCV, Citizenís Advice, Culture Quarter, Fair Train, Forum Housing Association, Groundwork, Mind, National Association for Voluntary and Community Action, National Housing Federation, National Council for Voluntary Organisations, National Society for the Prevention of Cruelty to Children, Princes Trust, Rathbone, Skills Third Sector, Social Enterprise UK, Third Sector National Learning Alliance",To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012",Manchester College ,To discuss  learning
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012",Adecco UK,To discuss skills and unemployment
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012","University and College Union, Association of Teachers & Lecturers, Association of School and College Leaders ",To discuss further education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012","Leicester College, Association of  Employment and Learning Providers, 157 Group, Learning and Skills Improvement Service, National Institute Adult Continuing Education, Trades Union Congress, Federation of Small Business, British Chamber of Commerce, Confederation of British Industry, Forum of Private Business, British Retail Consortium, Chartered Institute of Personnel and Development ",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012","Sembcorp, North East of England  Process Industry Cluster, National Skills Academy for Process Industry, Tom Blenkinsop MP, Iain  Wright MP ",To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012","Unite the Union, Pauline Latham MP",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012",Association  of Colleges,Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012",CEL Public Services/Ixion Holdings ,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","February, 2012",Go On UK,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012","Burton and South Derbyshire College, First4Skills, Lord Lingfield",To discuss further education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012","Veolia Environment, Barchester Healthcare, Siemens, UK Commission for Employment and Skills, Organisation for Economic Co-operation Development",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012","Skills and Employment Partnership, British Telecom, Albatross Group, UK Commission for Employment and Skills",To discuss employment
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012",Apprenticeship Ambassadorís Network ,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012",Learning and Skills Improvement Service,Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012","Careers England, Careers Profession Taskforce",To discuss quality in career standards
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012","Aylesbury College, John Bercow MP",To discuss further education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012","UK Commission for Employment and Skills, People 1st, Hospitality Guild, Skills for Logistics, Institute of the Motor Industry, Skillset, Creative and Cultural Skills, Skills for Care and Development, Lantra, Engineering Council, The Royal Academy of Engineering, British Computer Society, Science Council, City and Guilds, Skills Funding Agency",To discuss guilds
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012",Food and Drink Federation ,To discuss apprenticeships and skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012","Association of Colleges, ",To discuss further education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012",UK Careers Sector Strategic Forum ,To discuss careers
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012",Holt Gems,To discuss apprenticeships
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","March, 2012",Confederation of British Industry,Regular meeting
"Minister of State (Trade and Investment), Lord Green","January, 2012",TheCityUK,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012",Goldman Sachs,General catch up 
"Minister of State (Trade and Investment), Lord Green","January, 2012",InfrastructureUK ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012",Woodward Schools,General catch up 
"Minister of State (Trade and Investment), Lord Green","January, 2012",HSBC,General catch up 
"Minister of State (Trade and Investment), Lord Green","January, 2012",Earlex ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012",British Pig Association ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012",Airbus,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012",GL Garrad Hassan,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012",Lloyds of London,To discuss UK economy
"Minister of State (Trade and Investment), Lord Green","January, 2012",Amazon,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012",The Financial Times ,General catch up 
"Minister of State (Trade and Investment), Lord Green","January, 2012",Rolls Royce,General catch up 
"Minister of State (Trade and Investment), Lord Green","January, 2012",Macquarie Group ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012","German Industry UK, Siemens, KfW IPEX-Bank, Demag Cranes & Components, ThyssenKrupp UK, Robert Bosch, AKG UK, RWE npower, RWE Innogy UK, BMW UK Manufacturing, BMW UK, SCHOTT Solar, E.on UK",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012","Tesco, Confederation of British Industry, Rolls Royce, McKinsey & Company, Shell International, Finmeccanica S.P.A, Brunswick Group, University College London, Hammerson, Prudential, The Sorrell Foundation",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012",Genel Energy,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012",Lonrho,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","January, 2012","Lord Mayor of London, Barbican Centre, Maritime London, Freemen's School, St Lawrence Jewry, JLT Insurance Management (Guernsey), London Symphony Orchestra, St Olave Hart St Parochial Church Council, Barclays, House of Commons Maintenance Ltd, Moore Stephens, Specialist Schools & Academies Trust, Niche Solutions, NM Rothschild & Sons, Cornwall and Isles of Scilly Local Enterprise Partnership, Allied Irish Bank (GB), Gresham College, Accenture, Liberata, Deloitte, Crowe Clark Whitehill, International Centre for Financial Regulation, Euroclear SA/NV, Chartered Institute of Public Finance and Accountancy, Association of Chartered Certified Accountants, The Irish Society, Agilisys ","To discuss UK economy, trade and investment"
"Minister of State (Trade and Investment), Lord Green","February, 2012",Spiritual Capital Foundation ,Introductory meeting 
"Minister of State (Trade and Investment), Lord Green","February, 2012",Fajr capital,General catch up
"Minister of State (Trade and Investment), Lord Green","February, 2012",The Chairmans Club,To discuss trade and investment 
"Minister of State (Trade and Investment), Lord Green","February, 2012",Alfa-Bank ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012",Business Advisory Group,To discuss business
"Minister of State (Trade and Investment), Lord Green","February, 2012",Brunswick Group,General catch up 
"Minister of State (Trade and Investment), Lord Green","February, 2012","DLA Piper, Avio, MIH Internet Europe, The Cohen Group, Accenture, Birds Eye, Iglo Group, Thomas Cook Group, Irdeto B.V., Barclays, HSBC, CSC Computer Sciences, JP Morgan, EuroCloud UK, Verizon, Western Europe Huawei Technologies",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012","Arab-British Chamber of Commerce, Arup Group, Atkins, Babcock International Group, Cobham, Cyril Sweett Group, The Edge Picture Company, Finmeccanica S.P.A, HSBC, Imperial College, Kier Group, KPMG, Middle East Association, Mothercare, Mott MacDonald Group, Olive Group, Serco Group, Specialist Schools and Academies Trust, Thales UK, Ultra Electronics, University College London, University of Exeter, Williams F1, AMEC, Carillion Private Finance, Shell International",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012",Bank of England,General catch up 
"Minister of State (Trade and Investment), Lord Green","February, 2012",ICAP Group,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012","Food and Drink Federation, Nestle",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012",Federation of Indian Chambers of Commerce and Industry,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012","Serco Group, BT, The Open University, G4S, Currie & Brown Group, J C Bamford Excavators, British Arab Commercial Bank, Luton & Bedfordshire Primary Healthcare Trust, Arup Group, Parsons Brinckerhoff, Pricewaterhousecoopers, Ernst & Young Global, Mott MacDonald Group, BP",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012","Siemens, KfW IPEX-Bank, Demag Cranes & Components, ThyssenKrupp UK, Robert Bosch, AKG UK, RWE npower, RWE Innogy UK, BMW UK Manufacturing, BMW UK, SCHOTT Solar, E.on UK",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012","Confederation of British Industry, Benoy, Aon, Motorola Solutions Inc, Renewable Energy Systems, Ingeus UK, Ingeus Europe, DP World London Gateway, Cable & Wireless Worldwide, Pentland Group, Redwood Technologies ",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012",3M,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","February, 2012",Karachi Education Initiative,Introductory meeting
"Minister of State (Trade and Investment), Lord Green","February, 2012",Shanghai Tang,To discuss trade and investment
