Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Sheridan Westlake,13-May-11,Barratt Homes,Dinner
Giles Kenningham,Nil Return,Nil Return,Nil Return

"*Does not normally include attendance at functions hosted by HM Government; attendance at ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences and seminars; working meals; light refreshments; attendance at lunches, dinners and receptions by professional bodies and their equivalents in local government and in the non-governmental public sector; meals provided at a conference; when accompanying ministers in the course of their official duties; and offers of hospitality which were declined.",,,
