CONTRACTS WHERE THE GPC IS THE PAYMENT METHOD,
SUMMARY OF EXPENDITURE,


,Apr-12
STATIONERY CONTRACT,"1,301.64"
PAPER CONTRACT,0
IT CONSUMBLES CONTRACT,"384,507.26"
NEW STATIONERY CONTRACT,"369,078.52"

DEFENCE TRAVEL CONTRACT - HOTELS,"70,683.82"
DEFENCE TRAVEL CONTRACT - SCHEDULE AIRLINES,"4,861,126.27"
DEFENCE TRAVEL CONTRACT - LOW COST AIRLINES,"802,986.56"
DEFENCE TRAVEL CONTRACT - RAIL,"1,869,260.46"
DEFENCE TRAVEL CONTRACT - OVERSEAS CAR HIRE,"217,838.30"
DEFENCE TRAVEL CONTRACT - EBIS BOOKING FEES,"56,026.86"
