Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Parliamentary Under-Secretary of State, Alistair Burt MP",29-Sep,Next Century Foundation,Dinner*
"Minister of State, The Rt Hon Lord Howell of Guildford",08-Jul,The Ramphal Centre,Dinner
"Minister of State, The Rt Hon Lord Howell of Guildford",13-Sep,Hong Kong Association,Lunch
"Minister of State, The Rt Hon Lord Howell of Guildford",20-Sep,Oxford Institute for Energy Studies,Dinner (giving a speech)
"Minister of State, David Lidington MP",13-Jul,ITV,Parliamentary Reception
"Minister of State, David Lidington MP",07-Sep,Financial Times,Lunch
"Minister of State, David Lidington MP",26-Sep,The City of London,Lunch
"Minister of State, Jeremy Browne MP",18-Jul,The Herald,Lunch
"Minister of State, Jeremy Browne MP",21-Jul,The Daily Telegraph,Lunch
"Minister of State, Jeremy Browne MP",24-Aug,Bell Pottinger,Lunch
"Minister of State, Jeremy Browne MP",22-Sep,Canning House,Dinner
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
