Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Foreign Secretary, Rt Hon William Hague MP",23-Aug,"Helsinki, Finland","Bilateral with Alexander Stubb, PM Kiviniemi and various Cabinet Ministers",Scheduled,,£905
"Foreign Secretary, Rt Hon William Hague MP",31 Aug–01 Sep,"Belgrade, Serbia",Bilateral with Foreign Minister Vuk Jeremic,Charter (Belgrade -Rome)/ Scheduled,7,"£11,545"
"Foreign Secretary, Rt Hon William Hague MP",10 -11 Sept,"Brussels, Belgium",GYMNICH Informal meeting of Foreign Ministers,Eurostar,,£387
"Foreign Secretary, Rt Hon William Hague MP",15-16 Sept,"Brussels, Belgium",European Council Meeting,Eurostar,,£387
"Foreign Secretary, Rt Hon William Hague MP",21-28 Sept,"New York, USA",United Nations General Assembly,Scheduled,,"£13,017"
"Minister of State, Jeremy Browne MP",6-7 Aug,"Bogota, Cartagena, Colombia; Santiago, Chile",Meetings with Ministers & Senior Officials,Scheduled,,"£3,698"
"Minister of State, Jeremy Browne MP",8-16 Sept,"Tokyo, Osaka, Japan; Shanghai, Ningbo, Beijing, China",Meetings with Ministers & Senior Officials,Scheduled,,"£3,711"
"Minister of State, David Lidington MP",1-3 Sept,"Vilnius, Lithuania",Bilateral Visit,Scheduled,,£299
"Minister of State, David Lidington MP",6-8 Sept,"Paris/Strasbourg, France ",Bilateral Visit and meetings at European Parliament,Scheduled,,£608
"Minister of State, David Lidington MP",13-Sep,"Brussels, Belgium",General Affairs Council,Scheduled,,£294
"Minister of State, David Lidington MP",20-23 Sept ,"Chisinau, Moldova/ Bucharest, Romania ",Joint visit with German Europe Minister ,Scheduled,,£948
"Minister of State, The Rt Hon Lord Howell of Guildford",1-13 Aug,"Vanuatu, Australia, New Zealand & Malaysia",Pacific Island Forum,Scheduled and New Zealand Air Force Flight,1,"£9,240"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",19-27 Sept,"Turks & Caicos Islands, Anguilla, New York (USA) and Madrid","Bilateral visits, Attendance at UN General Assembly and Somalia Conference",Scheduled Charter for Anguilla (in country transfer),1,"£7,285"
"Parliamentary Under-Secretary of State, Alistair Burt MP",7-8 Sept,"Berlin, Germany",Yemen – Gulf Initiative,Scheduled,,£451
"Parliamentary Under-Secretary of State, Alistair Burt MP",14 – 16 Sept,UAE,UAE Task Force   Gulf Initiative,Scheduled,,"£3,436"
"Parliamentary Under-Secretary of State, Alistair Burt MP",22 Sept -  1 Oct,"New York, USA",UN General Assembly,Scheduled,,"£4,322"
