Minister,Gifts received over £140,Gifts given over £140,Date received/given,From/to,Value,Outcome
Attorney General Dominic Grieve QC MP,Nil return,Nil return,,,,

Solicitor General Edward Garnier QC MP,Nil return,Nil return,,,,
