Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",09-Jul-11,Lancashire County Cricket Club,Tickets for one day international cricket match; breakfast and lunch*
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",13-Jul,The Independent,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",13-Jul-11,ITV,Reception
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",06-Sep-11,Iqbal Wahhab   ,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",14-Sep-11,Holocaust Educational Trust ,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",21-Sep-11,British Retail Consortium,Dinner
"Rt Hon Greg Clark MP, Minister of State (Decentralisation and Cities)",Nil Return,Nil Return,Nil Return
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",05-Jul-11,Royal Institute of British Architects  ,Dinner
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return
"Bob Neill MP, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return


"‘Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.’ ",,,
