Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,12-Jul-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,GENESIS,2007491," 28,586.84 ",
FCO,FCO,12-Jul-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,GENESIS,2007491,"-28,586.84 ",
FCO,FCO,12-Jul-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,GENESIS,2007491," 27,231.89 ",
FCO,FCO,06-Jul-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,MINISTERIO DA JUSTICA,13000179," 31,611.14 ",
FCO,FCO,25-Jul-11,General Information Services,DG CHANGE & DELIVERY,CBS OUTDOOR LIMITED,1022411," 23,400.00 ",
FCO,FCO,25-Jul-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CBS OUTDOOR LIMITED,1022411," 4,680.00 ",
FCO,FCO,11-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,PEPCO ENERGY SERVICES INC,1003803," 31,149.12 ",
FCO,FCO,26-Jul-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,MINES ADVISORY GROUP,1022563," 112,061.00 ",
FCO,FCO,29-Jul-11,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1022854," 26,854.00 ",
FCO,FCO,29-Jul-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1022854," 5,370.80 ",
FCO,FCO,13-Jul-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,INTERNEWS SERVICE CENTRE,200003180," 27,217.45 ",
FCO,FCO,13-Jul-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,INTERNEWS SERVICE CENTRE,200003180,"-27,217.45 ",
FCO,FCO,13-Jul-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,INTERNEWS SERVICE CENTRE,200003180," 27,365.97 ",
FCO,FCO,07-Jul-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,ACTIONAID MYANMAR,100002087," 25,538.96 ",
FCO,FCO,11-Jul-11,General Information Services,DG CHANGE & DELIVERY,GRAYLING UK LIMITED,1021371," 21,535.80 ",
FCO,FCO,11-Jul-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,GRAYLING UK LIMITED,1021371," 4,307.16 ",
FCO,FCO,22-Jul-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1022350," 33,941.00 ",
FCO,FCO,22-Jul-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1022350," 1,018.23 ",
FCO,FCO,22-Jul-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1022350, 203.65 ,
FCO,FCO,26-Jul-11,Information Systems Under £3000,DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1022638," 25,250.00 ",
FCO,FCO,26-Jul-11,Information Systems Under £3000,DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1022638," 2,107.00 ",
FCO,FCO,26-Jul-11,Information Systems Under £3000,DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1022638," 3,225.00 ",
FCO,FCO,26-Jul-11,Information Systems Under £3000,DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1022638, 18.00 ,
FCO,FCO,26-Jul-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1022638," 6,120.00 ",
FCO,FCO,21-Jul-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1022262," 8,032.50 ",
FCO,FCO,21-Jul-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1022262," 14,190.00 ",
FCO,FCO,21-Jul-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1022262," 16,320.00 ",
FCO,FCO,21-Jul-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1022262," 13,770.00 ",
FCO,FCO,21-Jul-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1022262," 12,470.00 ",
FCO,FCO,21-Jul-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1022262," 5,950.00 ",
FCO,FCO,21-Jul-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1022262," 6,880.00 ",
FCO,FCO,21-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1022262," 8,670.00 ",
FCO,FCO,21-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1022262," 6,120.00 ",
FCO,FCO,21-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1022262," 5,250.00 ",
FCO,FCO,21-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1022262," 12,470.00 ",
FCO,FCO,21-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1022262," 15,050.00 ",
FCO,FCO,21-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1022262," 11,857.50 ",
FCO,FCO,21-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1022262," 14,620.00 ",
FCO,FCO,21-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1022262," 13,770.00 ",
FCO,FCO,21-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1022262," 11,475.00 ",
FCO,FCO,21-Jul-11,Overseas Duty Travel,DG CENTRAL GROUP,KPMG LLP,1022262, 910.74 ,
FCO,FCO,21-Jul-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1022262," 35,561.15 ",
FCO,FCO,05-Jul-11,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020814," 12,000.00 ",
FCO,FCO,05-Jul-11,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020814," 8,000.00 ",
FCO,FCO,05-Jul-11,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020814," 2,200.00 ",
FCO,FCO,05-Jul-11,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020814, 880.00 ,
FCO,FCO,05-Jul-11,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020814, 240.00 ,
FCO,FCO,05-Jul-11,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020814, 146.00 ,
FCO,FCO,05-Jul-11,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020814, 129.00 ,
FCO,FCO,05-Jul-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1020814," 4,719.00 ",
FCO,FCO,05-Jul-11,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020814,-129.00 ,
FCO,FCO,05-Jul-11,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020814, 129.00 ,
FCO,FCO,13-Jul-11,Aslc Contribution,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4000448," 3,294,930.43 ",
FCO,FCO,13-Jul-11,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4000448," 390,862.15 ",
FCO,FCO,13-Jul-11,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,4000448," 61,585.50 ",
FCO,FCO,01-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1020702," 140,000.00 ",
FCO,FCO,01-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1020702," 28,000.00 ",
FCO,FCO,06-Jul-11,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1020967," 69,563.30 ",
FCO,FCO,06-Jul-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1020967," 13,912.66 ",
FCO,FCO,25-Jul-11,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,CAPGEMINI  UK PLC,1022409," 35,000.00 ",
FCO,FCO,25-Jul-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1022409," 7,000.00 ",
FCO,FCO,25-Jul-11,Information Systems Maintenance,DG FINANCE,CAPGEMINI  UK PLC,1022409," 11,800.00 ",
FCO,FCO,25-Jul-11,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,CAPGEMINI  UK PLC,1022409," 23,600.00 ",
FCO,FCO,25-Jul-11,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,CAPGEMINI  UK PLC,1022409,"-35,000.00 ",
FCO,FCO,25-Jul-11,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,CAPGEMINI  UK PLC,1022409,"-23,600.00 ",
FCO,FCO,25-Jul-11,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,CAPGEMINI  UK PLC,1022409," 23,200.00 ",
FCO,FCO,25-Jul-11,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,CAPGEMINI  UK PLC,1022409,"-23,200.00 ",
FCO,FCO,25-Jul-11,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,CAPGEMINI  UK PLC,1022409," 23,200.00 ",
FCO,FCO,26-Jul-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1022461," 36,550.60 ",
FCO,FCO,26-Jul-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1022461," 7,310.12 ",
FCO,FCO,27-Jul-11,Verbatims and Press Summaries,DG CENTRAL GROUP,COI - CENTRAL OFFICE OF INFORMATION AND COMMUNICATIONS LTD,4000503," 40,000.00 ",
