Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Parliamentary Under-Secretary of State, Alistair Burt MP",27-Oct,Anglo - Omani Society ,Lunch
"Parliamentary Under-Secretary of State, Alistair Burt MP",07-Nov,UK - Bahrain Society ,Dinner
"Parliamentary Under-Secretary of State, Alistair Burt MP",28-Nov,Archbishop of Canterbury,Breakfast
"Minister of State, The Rt Hon Lord Howell of Guildford",10-Oct,International Herald Tribune,Dinner
"Minister of State, The Rt Hon Lord Howell of Guildford",14-Oct,Asia House,Giving speech – lunch included
"Minister of State, The Rt Hon Lord Howell of Guildford",14-Oct,Anglo-Korean Society,Dinner
"Minister of State, The Rt Hon Lord Howell of Guildford",18-Oct,Man Booker Prize,Dinner
"Minister of State, The Rt Hon Lord Howell of Guildford",10-Nov,Royal Over-Seas League (ROSL),Lunch
"Minister of State, The Rt Hon Lord Howell of Guildford",11-Nov,Atlantic Partnership,Breakfast
"Minister of State, The Rt Hon Lord Howell of Guildford",16-Nov,The Spectator Parliamentarian Awards,Dinner
"Minister of State, The Rt Hon Lord Howell of Guildford",29-Nov,Global Strategy Forum,Commonwealth lecture and lunch
"Minister of State, The Rt Hon Lord Howell of Guildford",01-Dec,Chatham House,Dinner
"Minister of State, The Rt Hon Lord Howell of Guildford",3-6 Dec,"Ministry of Energy & Industry office, Government of Qatar",Accommodation at World Petroleum Council Congress
"Parliamentary Under-Secretary of State, Henry Bellingham MP",11-Oct,Bank of America Merrill Lynch,Lunch
"Parliamentary Under-Secretary of State, Henry Bellingham MP",28-Nov,Archbishop of Canterbury,Breakfast
"Parliamentary Under-Secretary of State, Henry Bellingham MP",20-Dec,Prince Asfa Wossen Asserate Kassa,Lunch to discuss Ethiopia
"Minister of State, David Lidington MP",17-Oct,"The Telegraph, the Guardian",Lunch
"Minister of State, David Lidington MP",03-Nov,Centre for European Reform,Dinner
"Minister of State, David Lidington MP",14-Nov,The Times,Lunch
"Minister of State, David Lidington MP",22-Nov,Future and Options Association,Breakfast
"Minister of State, David Lidington MP",22-Nov,"The Daily Mail, The Sun",Lunch
"Minister of State, David Lidington MP",20-Dec,BBC,Lunch
"Jeremy Browne MP, Minister of State",03-Oct,China Association,Lunch
"Jeremy Browne MP, Minister of State",04-Oct,Hong Kong Association,Lunch
"Jeremy Browne MP, Minister of State",13-Oct,The Independent,Lunch
"Jeremy Browne MP, Minister of State",27-Oct,London Evening Standard,Lunch
"Jeremy Browne MP, Minister of State",25-Nov,The Economist,Lunch
"Jeremy Browne MP, Minister of State",01-Dec,London Evening Standard,Lunch
"Jeremy Browne MP, Minister of State",13-Dec,Parkinsons UK/APPG on Parkinsons,Dinner
"Jeremy Browne MP, Minister of State",21-Dec,Sky News,Lunch
