Post Date,Publishable Label,Transaction Amount,"Publishable Label is provided by the Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary",,
12/07/12,Airlines,3995.59,,,
12/07/12,Airlines,731.39,,,
12/07/12,Airlines,1519.39,,,
12/07/12,Airlines,1070.49,,,
12/07/12,Airlines,1102.41,,,
12/07/12,Airlines,2210.09,,,
12/07/12,Airlines,2210.09,,,
12/07/12,Airlines,-642.00,,,
12/07/12,Airlines,510.00,,,
13/07/12,Airlines,636.79,,,
13/07/12,Airlines,1684.19,,,
13/07/12,Airlines,1346.00,,,
13/07/12,Airlines,3150.49,,,
13/07/12,Airlines,3520.79,,,
13/07/12,Airlines,784.89,,,
13/07/12,Airlines,2556.89,,,
13/07/12,Airlines,1167.83,,,
13/07/12,Airlines,2900.76,,,
13/07/12,Airlines,2900.76,,,
13/07/12,Airlines,2900.76,,,
13/07/12,Airlines,728.09,,,
13/07/12,Airlines,728.09,,,
13/07/12,Airlines,566.89,,,
13/07/12,Airlines,2882.49,,,
13/07/12,Airlines,-1226.36,,,
13/07/12,Airlines,-2590.59,,,
13/07/12,Airlines,2376.59,,,
13/07/12,Airlines,2064.39,,,
13/07/12,Airlines,649.90,,,
13/07/12,Airlines,1721.39,,,
13/07/12,Airlines,1721.39,,,
13/07/12,Airlines,1230.40,,,
13/07/12,Airlines,3359.21,,,
13/07/12,Airlines,1019.42,,,
16/07/12,Airlines,1792.58,,,
16/07/12,Airlines,2112.39,,,
16/07/12,Airlines,707.29,,,
16/07/12,Airlines,3871.49,,,
16/07/12,Airlines,1071.26,,,
16/07/12,Airlines,3420.79,,,
16/07/12,Airlines,649.90,,,
16/07/12,Airlines,3877.99,,,
16/07/12,Airlines,675.00,,,
16/07/12,Airlines,632.55,,,
16/07/12,Airlines,924.93,,,
16/07/12,Airlines,2309.89,,,
16/07/12,Airlines,915.30,,,
16/07/12,Airlines,852.29,,,
17/07/12,Airlines,672.30,,,
17/07/12,Airlines,929.00,,,
17/07/12,Airlines,1380.88,,,
17/07/12,Airlines,1014.00,,,
17/07/12,Airlines,598.60,,,
17/07/12,Airlines,541.34,,,
18/07/12,Airlines,541.34,,,
18/07/12,Airlines,777.00,,,
18/07/12,Airlines,564.10,,,
18/07/12,Airlines,564.10,,,
18/07/12,Airlines,1270.59,,,
18/07/12,Airlines,528.05,,,
18/07/12,Airlines,1505.70,,,
18/07/12,Airlines,516.09,,,
18/07/12,Airlines,2227.05,,,
18/07/12,Airlines,792.29,,,
18/07/12,Airlines,-769.59,,,
18/07/12,Airlines,837.93,,,
