Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,01/07/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,LONDON BOROUGH HARINGEY,,,,2100205345,Groth/HMR Transitional Fund,"90,157.89",Yes
Communities & Local Government,DCLG,01/07/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,LUTON BOROUGH COUNCIL,,Large,,2100205344,Groth/HMR Transitional Fund,"65,158.00",Yes
Communities & Local Government,DCLG,01/07/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SHEFFIELD CITY COUNCIL,,Large,,2100205346,Groth/HMR Transitional Fund,"90,157.89",Yes
Communities & Local Government,DCLG,01/07/2011,Domestic Services,Treasury,PHS GROUP LTD,,Large,,5106165320,PHS - Toilet supplies,"1,100.56",
Communities & Local Government,DCLG,01/07/2011,Electricity,Treasury,BRUNTWOOD ESTATES BETA PORTFOLIO LT,,Large,,5106165303,Elec bill for April - NRAP hold contract,520.67,
Communities & Local Government,DCLG,01/07/2011,Electricity,Treasury,BRUNTWOOD ESTATES BETA PORTFOLIO LT,,Large,,5106165303,Elec bill for May - NRAP hold contract,525.97,
Communities & Local Government,DCLG,01/07/2011,EU Cur Grnt to Priv Sect-Persons & NPISH,Treasury,CALDERDALE MBC,,,,7500028676,CMDC/3C/URB/clw4879,"-69,526.71",Yes
Communities & Local Government,DCLG,01/07/2011,EU Cur Grnt to Priv Sect-Persons & NPISH,Treasury,CALDERDALE MBC,,,,7500029299,CMDC/6C/URB/clw5160,"-7,360.16",Yes
Communities & Local Government,DCLG,01/07/2011,EU Cur Grnt to Priv Sect-Persons & NPISH,Treasury,CALDERDALE MBC,,,,7500029303,CMDC/1C/URB/clw5158,"-2,098.14",Yes
Communities & Local Government,DCLG,01/07/2011,EU Gts (Cap) to Prvt/Sec Persons & NPISH,Finance & Corporate Services,CALDERDALE MBC,,,,7500028709,CMDC/2C/URB/clw4882,"-20,535.72",Yes
Communities & Local Government,DCLG,01/07/2011,EU Gts (Cap) to Prvt/Sec Persons & NPISH,Treasury,CALDERDALE MBC,,,,7500029301,CMDC/4C/UBR/clw5159,"-3,615.23",Yes
Communities & Local Government,DCLG,01/07/2011,Fixed Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,5106165234,New Dimension - Consumables,"37,486.30",
Communities & Local Government,DCLG,01/07/2011,Fixed Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,5106165236,New Dimension - Consumables,"37,708.75",
Communities & Local Government,DCLG,01/07/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,,,,2100205343,Admin Costs for Homes & Communities Agency,"5,863,370.00",Yes
Communities & Local Government,DCLG,01/07/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,IPC MAIN ACCOUNT,,,,2100205319,To determine application for major infrastructure project.,"392,000.00",Yes
Communities & Local Government,DCLG,01/07/2011,Insurance,Localism,MARSH LTD,,Large,,5106165242,New Dimension Fleet Insurance 8/5/11-07/11/11,"33,709.59",
Communities & Local Government,DCLG,01/07/2011,IT Maintenance,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106165299,Non Standard Change,"5,235.36",
Communities & Local Government,DCLG,01/07/2011,IT Maintenance,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106165301,Non Standard Change,"11,612.60",
Communities & Local Government,DCLG,01/07/2011,IT Maintenance,Treasury,LA INT COMPUTER CONSULTANTS LTD,,Medium,,5106165016,2010-2011,"8,790.80",
Communities & Local Government,DCLG,01/07/2011,IT Maintenance,Treasury,LA INT COMPUTER CONSULTANTS LTD,,Medium,,5106165029,2010-2011,"8,790.80",
Communities & Local Government,DCLG,01/07/2011,IT SUPPORT,Finance & Corporate Services,VERIZON UK LTD,,Large,,5106165346,Charges for Places 11/12,"3,590.88",
Communities & Local Government,DCLG,01/07/2011,IT SUPPORT,Neighbourhoods,CENTRAL OFFICE OF INFORMATION,,,,5106165342,Audit of website,"3,084.00",
Communities & Local Government,DCLG,01/07/2011,Legal Fees,Localism,CONTROL CENTRE LTD PARTNERSHIP,,Micro,Yes,5106165307,Fees for Y&H Licence to underlet to YAS,"1,800.00",
Communities & Local Government,DCLG,01/07/2011,Rates,Finance & Corporate Services,DACORUM BC,,Large,,5106165326,Hemel Hempstead Rates 11-12 TOP-UP,"32,985.74",
Communities & Local Government,DCLG,01/07/2011,Training,Finance & Corporate Services,NATIONAL SCHOOL OF GOVERNMENT,,,,5106165311,Traininng - LEGAL 09/10,825.00,
Communities & Local Government,DCLG,01/07/2011,Training,Finance & Corporate Services,NATIONAL SCHOOL OF GOVERNMENT,,,,5106165313,Traininng - LEGAL 09/10,825.00,
Communities & Local Government,DCLG,01/07/2011,Training,Finance & Corporate Services,NATIONAL SCHOOL OF GOVERNMENT,,,,5106165314,Traininng - LEGAL 09/10,825.00,
Communities & Local Government,DCLG,01/07/2011,Training,Finance & Corporate Services,NATIONAL SCHOOL OF GOVERNMENT,,,,5106165327,Traininng - LEGAL 09/10,825.00,
Communities & Local Government,DCLG,01/07/2011,Vehicle hire,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,,,,5106165343,Government Car Services,930.00,
Communities & Local Government,DCLG,01/07/2011,Vehicle Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,5106165235,Unplanned Maintenance costs,"1,965.63",
Communities & Local Government,DCLG,04/07/2011,Accommodation,Finance & Corporate Services,DCLG GOVERNMENT PROCUREMENT CARD,,,,1000003321,"HOTELS, MOTELS & RESORTS","3,520.96",
Communities & Local Government,DCLG,04/07/2011,Agency Staff,Finance & Corporate Services,ALLEN LANE FINANCIAL RECRUITMENT,,,Yes,5106165361,Oct/Nov/Dec/Invoices,"3,240.00",
Communities & Local Government,DCLG,04/07/2011,Current Grants to Non Profit Bodies,Localism,COMMUNITY DEVELOPMENT FOUNDATION,,,,2300001767,Payment recovery request - Faith in Action unspent,"-62,526.50",Yes
Communities & Local Government,DCLG,04/07/2011,Fixed Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,5106164793,Rebate on contract costs,"-33,787.46",
Communities & Local Government,DCLG,04/07/2011,Fixed Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,5106164884,Rebate on contract costs,"-172,565.71",
Communities & Local Government,DCLG,04/07/2011,Fixed Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,5106165371,Planned maintenance costs,"440,306.52",
Communities & Local Government,DCLG,04/07/2011,Fixed Maintenance,Localism,FLAGSHIP TRAINING LIMITED,,Large,,5106165096,London RCC Cat Servs 11/12,"8,364.98",
Communities & Local Government,DCLG,04/07/2011,Fixed Maintenance,Localism,FLAGSHIP TRAINING LIMITED,,Large,,5106165334,20% EoE FM Fixed Service Yr 3,"47,204.52",
Communities & Local Government,DCLG,04/07/2011,Management Consultancy,Neighbourhoods,CEL GROUP,,Medium,,5106165349,April-Oct payment,"96,265.72",
Communities & Local Government,DCLG,04/07/2011,Medals,Localism,ROYAL MINT,,,,5106165402,20% Long service medal,504.90,
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON & SOMERSET POLICE AUTHORITY,,,,5000167164,Grant Payable by Exchequer,"2,334,700.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON FIRE AUTHORITY,,,,5000167169,Grant Payable by Exchequer,"817,880.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARKING & DAGENHAM LB,,,,5000167199,Grant Payable by Exchequer,"3,847,942.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARNSLEY MBC,,,,5000167219,Grant Payable by Exchequer,"3,975,685.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDFORDSHIRE POLICE AUTH,,,,5000167279,Grant Payable by Exchequer,"1,061,934.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDS & LUTON FIRE & RESCUE SERVICE,,,,5000167274,Grant Payable by Exchequer,"394,763.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BIRMINGHAM CITY CNCL,,,,5000167303,Grant Payable by Exchequer,"25,079,983.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKBURN WITH DARWEN BC,,,,5000167318,Grant Payable by Exchequer,"2,995,303.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKPOOL BC,,,,5000167333,Grant Payable by Exchequer,"3,135,552.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BOLTON MBC,,,,5000167352,Grant Payable by Exchequer,"4,645,990.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRADFORD MBC,,,,5000167393,Grant Payable by Exchequer,"9,937,171.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRENT LB,,,,5000167418,Grant Payable by Exchequer,"6,019,971.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKINGHAMSHIRE CC,,,,5000167517,Grant Payable by Exchequer,"2,411,285.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKS & MILTON KEYNES FIRE AUTH,,,,5000167512,Grant Payable by Exchequer,"379,904.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,BURY MBC,,,,5000167537,Grant Payable by Exchequer,"2,460,535.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CALDERDALE MBC,,,,5000167541,Grant Payable by Exchequer,"2,988,848.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE COUNTY CNCL,,,,5000167571,Grant Payable by Exchequer,"4,359,262.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE POLICE AUT,,,,5000167566,Grant Payable by Exchequer,"1,077,895.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBS & PETERBOROUGH FIRE AUTHORITY,,,,5000167561,Grant Payable by Exchequer,"474,285.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE FIRE AUTHORITY,,,,5000167666,Grant Payable by Exchequer,"677,391.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE POLICE AUTHORITY,,,,5000167671,Grant Payable by Exchequer,"1,931,487.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND FIRE AUTHORITY,,,,5000167747,Grant Payable by Exchequer,"734,955.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND POLICE AUTHORITY,,,,5000167752,Grant Payable by Exchequer,"1,678,661.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CO DURHAM & DARLINGTON FIRE AND RES,,,,5000167233,Grant Payable by Exchequer,"477,102.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CORNWALL COUNCIL,,,,5000167781,Grant Payable by Exchequer,"7,875,380.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,COVENTRY CITY CNCL,,,,5000167797,Grant Payable by Exchequer,"5,743,248.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA COUNTY CNCL,,,,5000167836,Grant Payable by Exchequer,"5,752,172.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA POLICE AUTHORITY,,,,5000167840,Grant Payable by Exchequer,"1,310,831.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DARLINGTON BC,,,,5000167113,Grant Payable by Exchequer,"1,497,513.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBY CITY CNCL,,,,5000167138,Grant Payable by Exchequer,"4,104,261.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE COUNTYCOUNCIL,,,,5000167158,Grant Payable by Exchequer,"7,464,910.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE FIRE AUTHORITY,,,,5000167148,Grant Payable by Exchequer,"654,056.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE POLICE AUTHORITY,,,,5000167153,Grant Payable by Exchequer,"1,663,309.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & CORNWALL POLICE A,,,,5000167173,Grant Payable by Exchequer,"2,622,643.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,,,,5000167182,Grant Payable by Exchequer,"1,120,990.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON COUNTY CNCL,,,,5000167176,Grant Payable by Exchequer,"6,744,807.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DONCASTER MBC,,,,5000167187,Grant Payable by Exchequer,"5,259,053.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET COUNTY CNCL,,,,5000167197,Grant Payable by Exchequer,"2,373,292.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET FIRE AUTHORITY,,,,5000167202,Grant Payable by Exchequer,"394,892.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET POLICE AUTHORITY,,,,5000167207,Grant Payable by Exchequer,"762,984.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DUDLEY MBC,,,,5000167228,Grant Payable by Exchequer,"4,648,571.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM COUNTY COUNCIL,,,,5000167795,Grant Payable by Exchequer,"8,543,421.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM POLICE AUTHORITY,,,,5000167238,Grant Payable by Exchequer,"1,610,131.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST RIDING OF YORKS,,,,5000167325,Grant Payable by Exchequer,"3,720,650.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX COUNTY CNCL,,,,5000167344,Grant Payable by Exchequer,"4,274,856.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX FIRE AUTHORITY,,,,5000167349,Grant Payable by Exchequer,"501,973.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,ENFIELD LB,,,,5000167394,Grant Payable by Exchequer,"4,754,626.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX COUNTY CNCL,,,,5000167433,Grant Payable by Exchequer,"10,294,383.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX FIRE AUTHORITY,,,,5000167438,Grant Payable by Exchequer,"1,172,530.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX POLICE AUTHORITY,,,,5000167443,Grant Payable by Exchequer,"2,383,554.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,GATESHEAD MBC,,,,5000167508,Grant Payable by Exchequer,"3,842,656.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,GLOUCESTERSHIRE COUNTY CNCL,,,,5000167545,Grant Payable by Exchequer,"5,001,299.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,GLOUCESTERSHIRE POLICE AUTHORITY,,,,5000167550,Grant Payable by Exchequer,"811,173.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER LONDON AUTHORITY,,,,5000167528,Grant Payable by Exchequer,"32,577,710.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER LONDON AUTHORITY-FIRE,,,,5000167743,Grant Payable by Exchequer,"9,131,271.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER MANCHESTER FIRE,,,,5000167422,Grant Payable by Exchequer,"2,473,792.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER MANCHESTER POL AUTH,,,,5000167427,Grant Payable by Exchequer,"7,983,704.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREENWICH LB,,,,5000167590,Grant Payable by Exchequer,"6,023,703.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HALTON BC,,,,5000167621,Grant Payable by Exchequer,"2,431,728.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE COUNTY COUNCIL,,,,5000167645,Grant Payable by Exchequer,"6,736,282.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,,,,5000167650,Grant Payable by Exchequer,"1,064,305.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE POLICE AUTHORITY,,,,5000167657,Grant Payable by Exchequer,"2,695,515.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARINGEY LB,,,,5000167672,Grant Payable by Exchequer,"5,559,539.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARROW LB,,,,5000167701,Grant Payable by Exchequer,"2,544,463.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARTLEPOOL BOROUGH COUNCIL,,,,5000167726,Grant Payable by Exchequer,"1,887,138.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HEREFORD WORCESTER FIRE BRIGADE,,,,5000167761,Grant Payable by Exchequer,"377,616.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HEREFORDSHIRE DISTRICT COUNCIL,,,,5000167766,Grant Payable by Exchequer,"2,183,980.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HERTFORDSHIRE CONTY CNCL,,,,5000167780,Grant Payable by Exchequer,"7,282,849.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HERTFORDSHIRE POLICE AUTH,,,,5000167775,Grant Payable by Exchequer,"1,615,388.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HULL CITY COUNCIL,,,,5000167203,Grant Payable by Exchequer,"5,657,546.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,,,,5000167845,Grant Payable by Exchequer,"929,811.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,HUMBERSIDE POLICE,,,,5000167848,Grant Payable by Exchequer,"2,015,172.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,ISLE OF WIGHT CNCL,,,,5000167122,Grant Payable by Exchequer,"2,307,492.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,ISLES OF SCILLY COUNCIL,,,,5000167137,Grant Payable by Exchequer,"94,303.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,,,,5000167172,Grant Payable by Exchequer,"1,031,110.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT COUNTY CNCL,,,,5000167167,Grant Payable by Exchequer,"11,465,407.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT POLICE AUTHORITY,,,,5000167178,Grant Payable by Exchequer,"2,961,759.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,KIRKLEES MBC,,,,5000167222,Grant Payable by Exchequer,"5,776,632.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,KNOWSLEY MBC,,,,5000167236,Grant Payable by Exchequer,"4,291,778.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,,,,5000167256,Grant Payable by Exchequer,"1,134,015.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE COUNTY CNCL,,,,5000167251,Grant Payable by Exchequer,"12,107,482.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE POLICE AUTHORITY,,,,5000167262,Grant Payable by Exchequer,"3,365,290.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTER CITY CNCL,,,,5000167287,Grant Payable by Exchequer,"6,888,559.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTERSHIRE COUNTY CNCL,,,,5000167307,Grant Payable by Exchequer,"3,948,323.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTERSHIRE POLICE AUTHORITY,,,,5000167302,Grant Payable by Exchequer,"1,740,837.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICS LEICESTERSHIRE RUTLAND CFA,,,,5000167297,Grant Payable by Exchequer,"660,792.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEWISHAM LB,,,,5000167322,Grant Payable by Exchequer,"6,769,301.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LINCOLNSHIRE COUNTY CNCL,,,,5000167357,Grant Payable by Exchequer,"7,668,289.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LINCOLNSHIRE POLICE AUTH,,,,5000167353,Grant Payable by Exchequer,"893,117.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LIVERPOOL CITY COUNCIL,,,,5000167362,Grant Payable by Exchequer,"12,337,682.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF HACKNEY,,,,5000167606,Grant Payable by Exchequer,"8,161,818.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF LAMBETH,,,,5000167246,Grant Payable by Exchequer,"8,011,396.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF NEWHAM,,Large,,5000167608,Grant Payable by Exchequer,"7,979,615.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF REDBRIDGE,,,,5000167177,Grant Payable by Exchequer,"3,667,858.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,LUTON BC,,,,5000167377,Grant Payable by Exchequer,"3,307,709.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,MERSEYSIDE FIRE & RESCUE SERVICE,,,,5000167474,Grant Payable by Exchequer,"1,520,528.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,MERSEYSIDE POLICE AUTH,,,,5000167479,Grant Payable by Exchequer,"4,843,371.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,MIDDLESBROUGH BC,,,,5000167530,Grant Payable by Exchequer,"3,132,972.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORFOLK COUNTY COUNCIL,,,,5000167613,Grant Payable by Exchequer,"9,322,653.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORFOLK POLICE AUTHORITY,,,,5000167618,Grant Payable by Exchequer,"1,201,937.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH TYNESIDE MBC,,,,5000167703,Grant Payable by Exchequer,"3,285,455.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE CC,,,,5000167724,Grant Payable by Exchequer,"4,435,829.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE FIRE & RESCUE AUTH,,,,5000167729,Grant Payable by Exchequer,"442,867.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE POLICE AUTHORITY,,,,5000167734,Grant Payable by Exchequer,"1,150,489.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHAMPTONSHIRE COUNTY COUNCIL,,,,5000167748,Grant Payable by Exchequer,"6,114,613.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHAMPTONSHIRE POLICE AUTH,,,,5000167753,Grant Payable by Exchequer,"1,045,478.00",Yes
Communities & Local Government,DCLG,04/07/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHUMBERLAND,,,,5000167800,Grant Payable by Exchequer,"4,682,847.00",Yes
