Department Family,Entity,Payment Date,Expense Type,Budget Holder,Expense Area,Supplier Name,Transactions Number, Amount (£) ,VAT Registration Number
FCO,FCO,11-May-11,Rates Taxes Non-Residential,14657,DG CHANGE & DELIVERY,CITY OF WESTMINSTER,1016704,"-257,848.30",
FCO,FCO,11-May-11,Rates Taxes Non-Residential,14657,DG CHANGE & DELIVERY,CITY OF WESTMINSTER,1016704,"1,357,041.48",
FCO,FCO,11-May-11,Rates Taxes Non-Residential,14657,DG CHANGE & DELIVERY,CITY OF WESTMINSTER,1016704,"-1,357,041.48",
FCO,FCO,11-May-11,Rates Taxes Non-Residential,14657,DG CHANGE & DELIVERY,CITY OF WESTMINSTER,1016704,"1,289,241.48",
FCO,FCO,11-May-11,Rates Taxes Non-Residential,14657,DG CHANGE & DELIVERY,CITY OF WESTMINSTER,1016704,"67,799.52",
FCO,FCO,11-May-11,Rates Taxes Non-Residential,14657,DG CHANGE & DELIVERY,CITY OF WESTMINSTER,1016704,0.48,
FCO,FCO,12-May-11,Rates Taxes Non-Residential,14657,DG CHANGE & DELIVERY,CITY OF WESTMINSTER,1016796,"3,209,171.01",
FCO,FCO,12-May-11,Rates Taxes Non-Residential,14657,DG CHANGE & DELIVERY,CITY OF WESTMINSTER,1016796,"167,200.00",
FCO,FCO,05-May-11,Programme and Project Management Consultancy,14465,DG FINANCE,CONCERTO CONSULTING LTD,1016104,"10,200.00",
FCO,FCO,05-May-11,Overseas Duty Travel,14465,DG FINANCE,CONCERTO CONSULTING LTD,1016104,"1,665.68",
FCO,FCO,05-May-11,Programme and Project Management Consultancy,14465,DG FINANCE,CONCERTO CONSULTING LTD,1016104,"21,675.00",
FCO,FCO,05-May-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1016104,"6,375.00",
FCO,FCO,05-May-11,Overseas Duty Travel,14465,DG FINANCE,CONCERTO CONSULTING LTD,1016104,333.14,
FCO,FCO,30-May-11,Programme Spend (Oracle Projects Control Account),20301,DG DEFENCE AND INTELLIGENCE,CTBTO,4000430,"29,000.00",
FCO,FCO,26-May-11,Nursery Childcare Subsidy,18705,DG CHANGE & DELIVERY,EDENRED,2000317,"35,431.00",
FCO,FCO,26-May-11,Nursery Childcare Subsidy,18705,DG CHANGE & DELIVERY,EDENRED,2000317,"1,062.93",
FCO,FCO,26-May-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,EDENRED,2000317,212.59,
FCO,FCO,20-May-11,Telephone/Telex Usage,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1017529,"48,219.55",
FCO,FCO,20-May-11,Telephone/Telex Usage,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1017529,"9,643.91",
FCO,FCO,12-May-11,Commercial Partners (Visa),16554,UK VISAS DIRECTORATE,GUANGDONG CTS VISA CONSULTING SERVICE CO. LTD,2077498,"35,371.42",
FCO,FCO,16-May-11,Property and Construction Consultancy,14655,DG CHANGE & DELIVERY,HALIFAX ASSOCIATES,1001493,"31,874.82",
FCO,FCO,11-May-11,Fco Healthcare Scheme,18705,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1016725,"112,184.44",
FCO,FCO,11-May-11,Fco Healthcare Scheme,18705,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1016725,"22,436.89",
FCO,FCO,16-May-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1017055,"202,287.05",
FCO,FCO,16-May-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1017055,"35,400.23",
FCO,FCO,11-May-11,P.A.Y.E Income Tax (Oracle PAY Control Account),0,NON CASH & UNALLOCATED COSTS,HM REVENUE AND CUSTOMS,4000205,"15,038.59",
FCO,FCO,11-May-11,National Insurance (NI) (Oracle PAY Control Account),0,NON CASH & UNALLOCATED COSTS,HM REVENUE AND CUSTOMS,4000205,"12,077.79",
FCO,FCO,18-May-11,P.A.Y.E Income Tax (Oracle PAY Control Account),0,NON CASH & UNALLOCATED COSTS,HM REVENUE AND CUSTOMS,4000238,"3,574,144.28",
FCO,FCO,18-May-11,National Insurance (NI) (Oracle PAY Control Account),0,NON CASH & UNALLOCATED COSTS,HM REVENUE AND CUSTOMS,4000238,"2,207,807.06",
FCO,FCO,04-May-11,Ministerial Visits,10603,DG CENTRAL GROUP,HUNT & PALMER PLC,1015986,"57,700.00",
FCO,FCO,10-May-11,Programme Spend (Oracle Projects Control Account),20553,DG EUROPE AND GLOBALISATION,INDIRA GANDHI INSTITUTE OF DEVELOPMENT RESEARCH,25174,"17,904.02",
FCO,FCO,10-May-11,Programme Spend (Oracle Projects Control Account),20553,DG EUROPE AND GLOBALISATION,INDIRA GANDHI INSTITUTE OF DEVELOPMENT RESEARCH,25174,"31,866.75",
FCO,FCO,04-May-11,Programme Spend (Oracle Projects Control Account),20553,DG EUROPE AND GLOBALISATION,INFRASTRUCTURE UK,1015988,"61,866.48",
FCO,FCO,18-May-11,Post National Insurance Contributions,14201,DG FINANCE,INLAND REVENUE,4000239,"10,899.46",
FCO,FCO,18-May-11,Post National Insurance Contributions,14201,DG FINANCE,INLAND REVENUE,4000239,"23,248.24",
FCO,FCO,18-May-11,Post National Insurance Contributions,14201,DG FINANCE,INLAND REVENUE,4000239,"32,737.22",
FCO,FCO,18-May-11,Post National Insurance Contributions,14201,DG FINANCE,INLAND REVENUE,4000239,"5,010.01",
FCO,FCO,18-May-11,Post National Insurance Contributions,14201,DG FINANCE,INLAND REVENUE,4000239,"14,180.10",
FCO,FCO,18-May-11,Post National Insurance Contributions,14201,DG FINANCE,INLAND REVENUE,4000239,"3,917.89",
FCO,FCO,18-May-11,Post National Insurance Contributions,14201,DG FINANCE,INLAND REVENUE,4000239,"10,009.74",
FCO,FCO,18-May-11,Post National Insurance Contributions,14201,DG FINANCE,INLAND REVENUE,4000239,"1,954.51",
FCO,FCO,18-May-11,Post National Insurance Contributions,14201,DG FINANCE,INLAND REVENUE,4000239,"1,744.49",
FCO,FCO,18-May-11,Post National Insurance Contributions,14201,DG FINANCE,INLAND REVENUE,4000239,"2,314.50",
FCO,FCO,05-May-11,Programme Spend (Oracle Projects Control Account),20553,DG EUROPE AND GLOBALISATION,INSTITUTE FOR MODERNISATION OF PUBLIC AND MUNICIPAL ADMINISTRATION,2006872,"46,489.29",
FCO,FCO,17-May-11,Programme Spend (Oracle Projects Control Account),451001,DG POLITICAL,INTERNATIONAL PEACE COOPERATION CENTER,600000379,"3,155.80",
FCO,FCO,17-May-11,Programme Spend (Oracle Projects Control Account),451001,DG POLITICAL,INTERNATIONAL PEACE COOPERATION CENTER,600000379,"66,358.26",
FCO,FCO,06-May-11,Maintenance M and E,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,"2,468.00",
FCO,FCO,06-May-11,Maintenance B and Ce,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,273.9,
FCO,FCO,06-May-11,Minor New Works <10K,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,957.46,
FCO,FCO,06-May-11,Grounds Mainteance,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,245.29,
FCO,FCO,06-May-11,Cleaning,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,"10,781.46",
FCO,FCO,06-May-11,Cleaning,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,350.98,
FCO,FCO,06-May-11,Miscellaneous Expenditure,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,121.76,
FCO,FCO,06-May-11,Waste Disposal,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,274.25,
FCO,FCO,06-May-11,Reception Services,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,"7,324.05",
FCO,FCO,06-May-11,Contract Porterage,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,"5,738.82",
FCO,FCO,06-May-11,Stationery - General,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,"1,831.01",
FCO,FCO,06-May-11,Corporate Strategy Consultancy,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,158.6,
FCO,FCO,06-May-11,Property and Construction Consultancy,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,"12,356.68",
FCO,FCO,06-May-11,Rematching / Reinstatement,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,187.27,
FCO,FCO,06-May-11,Contract Fees,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10512,"6,463.60",
FCO,FCO,06-May-11,Maintenance M and E,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,"2,468.00",
FCO,FCO,06-May-11,Maintenance B and Ce,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,273.9,
FCO,FCO,06-May-11,Minor New Works <10K,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,957.46,
FCO,FCO,06-May-11,Grounds Mainteance,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,245.29,
FCO,FCO,06-May-11,Cleaning,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,"10,781.46",
FCO,FCO,06-May-11,Cleaning,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,350.98,
FCO,FCO,06-May-11,Miscellaneous Expenditure,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,121.76,
FCO,FCO,06-May-11,Waste Disposal,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,274.25,
FCO,FCO,06-May-11,Reception Services,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,"7,324.05",
FCO,FCO,06-May-11,Contract Porterage,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,"5,738.82",
FCO,FCO,06-May-11,Stationery - General,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,"1,831.01",
FCO,FCO,06-May-11,Corporate Strategy Consultancy,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,158.6,
FCO,FCO,06-May-11,Property and Construction Consultancy,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,"12,356.68",
FCO,FCO,06-May-11,Rematching / Reinstatement,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,187.27,
FCO,FCO,06-May-11,Contract Fees,14679,DG CHANGE & DELIVERY,INTERSERVE FM LTD,10514,"6,463.60",
FCO,FCO,03-May-11,Maintenance M and E,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"113,226.55",
FCO,FCO,03-May-11,Maintenance B and Ce,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"2,377.61",
FCO,FCO,03-May-11,Minor New Works <10K,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"45,799.82",
FCO,FCO,03-May-11,Grounds Mainteance,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"7,157.58",
FCO,FCO,03-May-11,Cleaning,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"138,291.01",
FCO,FCO,03-May-11,Miscellaneous Expenditure,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"2,503.75",
FCO,FCO,03-May-11,Waste Disposal,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"6,047.09",
FCO,FCO,03-May-11,Contract Porterage,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"41,908.79",
FCO,FCO,03-May-11,Stationery - General,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"4,594.11",
FCO,FCO,03-May-11,Corporate Strategy Consultancy,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"2,608.63",
FCO,FCO,03-May-11,Rematching / Reinstatement,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"10,442.48",
FCO,FCO,03-May-11,Contract Fees,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"48,997.97",
FCO,FCO,03-May-11,Interim Helpdesk,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1015903,"39,248.91",
FCO,FCO,03-May-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,INTERSERVE FM LTD,1015903,"92,640.86",
FCO,FCO,09-May-11,FM Interserve Works,14612,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,"15,184.89",
FCO,FCO,09-May-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,INTERSERVE FM LTD,1016488,"6,399.00",
FCO,FCO,09-May-11,FM Interserve Building Fabric Maintenance,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,"7,350.65",
FCO,FCO,09-May-11,FM Interserve Works,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,"49,973.10",
FCO,FCO,09-May-11,FM Interserve BES Maintenance,14612,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,373.62,
FCO,FCO,09-May-11,Project Works>10K,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,54.34,
FCO,FCO,09-May-11,FM Interserve Works,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,"3,691.77",
FCO,FCO,09-May-11,FM Interserve BES Maintenance,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,"1,383.38",
FCO,FCO,09-May-11,FM Interserve BES Maintenance,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,"1,493.10",
FCO,FCO,09-May-11,FM Interserve BES Maintenance,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,409.44,
FCO,FCO,09-May-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,INTERSERVE FM LTD,1016488,"16,438.72",
FCO,FCO,09-May-11,FM Interserve BES Maintenance,14612,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,74.72,
FCO,FCO,09-May-11,Project Works>10K,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,10.87,
FCO,FCO,09-May-11,FM Interserve Works,14611,DG CHANGE & DELIVERY,INTERSERVE FM LTD,1016488,738.35,
FCO,FCO,20-May-11,Corporate Strategy Consultancy,14805,#N/A,ISS FACILITY SERVICES LTD FCO OP,10588,"29,022.40",
FCO,FCO,23-May-11,Programme Spend (Oracle Projects Control Account),401009,DG EUROPE AND GLOBALISATION,KIPRED,3002764,"40,000.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"2,800.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"15,050.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"15,480.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"19,380.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"15,300.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"14,994.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"13,770.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"14,300.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"5,250.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"12,240.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"7,740.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"16,340.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"16,340.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"13,770.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"15,910.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"3,440.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"13,260.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"10,320.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"18,920.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"14,535.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"8,170.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"-14,300.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"7,000.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"-13,770.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"15,480.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,658.02,
FCO,FCO,10-May-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,KPMG LLP,1016615,"52,475.40",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"-10,320.00",
FCO,FCO,10-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1016615,"-15,480.00",
FCO,FCO,10-May-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,KPMG LLP,1016615,"15,480.00",
FCO,FCO,10-May-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,KPMG LLP,1016615,"10,320.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"17,200.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"17,200.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"19,380.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"14,152.50",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"14,917.50",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"14,535.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"3,150.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"14,535.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"17,200.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"17,200.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"7,740.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"9,690.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"11,092.50",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"15,480.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"14,917.50",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"12,240.00",
FCO,FCO,26-May-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,KPMG LLP,1017966,"16,770.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"7,000.00",
FCO,FCO,26-May-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,KPMG LLP,1017966,"48,880.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,474.4,
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,94.88,
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"-11,092.50",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"-14,535.00",
FCO,FCO,26-May-11,IT/IS Consultancy,11316,DG CENTRAL GROUP,KPMG LLP,1017966,"14,535.00",
FCO,FCO,26-May-11,Assets Under Construction (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,KPMG LLP,1017966,"11,092.50",
FCO,FCO,25-May-11,Programme Spend (Oracle Projects Control Account),401009,DG EUROPE AND GLOBALISATION,LEVIZJA FOL,3002767,"26,997.42",
FCO,FCO,31-May-11,IT/IS Consultancy,11361,DG CENTRAL GROUP,LOGICA UK LTD,1018187,"808,986.00",
FCO,FCO,31-May-11,IT/IS Consultancy,11361,DG CENTRAL GROUP,LOGICA UK LTD,1018187,"173,184.84",
FCO,FCO,31-May-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,LOGICA UK LTD,1018187,"196,434.17",
FCO,FCO,12-May-11,Specialist Training (Devolved),12201,DG EUROPE AND GLOBALISATION,LSE ENTERPRISE LIMITED,1016848,"27,086.85",
FCO,FCO,12-May-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,LSE ENTERPRISE LIMITED,1016848,"5,417.37",
FCO,FCO,24-May-11,Insurance Of Personal Effects,18614,DG CHANGE & DELIVERY,MARSH UK LTD,1017755,"33,950.00",
FCO,FCO,24-May-11,Insurance Of Personal Effects,18614,DG CHANGE & DELIVERY,MARSH UK LTD,1017755,"6,790.00",
FCO,FCO,24-May-11,Insurance Of Personal Effects,18614,DG CHANGE & DELIVERY,MARSH UK LTD,1017755,"-33,950.00",
FCO,FCO,24-May-11,Insurance Of Personal Effects,18614,DG CHANGE & DELIVERY,MARSH UK LTD,1017755,"-6,790.00",
