Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1003522,2491
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1003066,2802.375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1004816,6227.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/08/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,ERNST & YOUNG LLP,1004558,7343.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/08/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,ERNST & YOUNG LLP,1004555,7343.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2010,Technical Support,Business Group - Advanced Manufacturing Industries,ELIZABETH BRIGNALL,1003636,12337.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2010,Technical Support,Business Group - Advanced Manufacturing Industries,MICHAEL J RUSSELL LTD,1003309,13982.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Publications (Programme),Business Group - Advanced Manufacturing Industries,CONSENSUS ECONOMICS INC,1004156,-540.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Publications (Programme),Business Group - Advanced Manufacturing Industries,CONSENSUS ECONOMICS INC,1004156,540.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/08/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Fair Markets Group Summary - Employment Relations,ACAS,1002978,3900000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Grants - Non Statutory - Current - Other,Universities and Skills Group - Learners,HIGHER EDUCATION FUNDING COUNCIL FOR ENGLAND,1004262,10000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2010,Grants - Non Statutory - Current - Other,Universities and Skills Group - Learners,HIGHER EDUCATION FUNDING COUNCIL FOR ENGLAND,1004262,23990000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Media and Design Services,Universities and Skills Group - Higher Education,COI COMMUNICATIONS,1005101,68305.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,Media and Design Services,Universities and Skills Group - Higher Education,COI COMMUNICATIONS,1005372,68305.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2010,Air Fares  - Overseas (Programme),Business Group - Advanced Manufacturing Industries,NATIONAL RESEARCH COUNCIL CANADA,1005035,3337.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,ONE NORTH EAST,1005302,164886.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,ONE NORTH EAST,1004324,210852.29
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2010,Capital Grants - Other,Business Group - Advanced Manufacturing Industries,ONE NORTH EAST,1004255,430987.39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,Capital Grants - Other,Business Group - Advanced Manufacturing Industries,ONE NORTH EAST,1005305,513141.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,SOUTH EAST ENGLAND DEVELOPMENT AGENCY,1003300,44410
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2010,Capital Grants - Other,Business Group - Life Sciences,STEVENAGE BIOSCIENCE PARK,1003494,284491
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2010,Capital Grants - Other,Business Group - Advanced Manufacturing Industries,SOUTH WEST OF ENGLAND REGIONAL DEVELOPMENT AGENCY,1005351,776984.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2010,Technical Advice,Fair Markets Group Summary - Employment Relations,WEIGHTMANS,1003403,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2010,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1005153,300000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2010,Grants - Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,BROOK STREET (UK) LTD,1003994,503.6285
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/08/2010,Grants - Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,BROOK STREET (UK) LTD,1005410,503.6285
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/08/2010,Grants - Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,BROOK STREET (UK) LTD,1005099,503.6285
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2010,Hospitality - UK (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",CITY INN WESTMINSTER,1002764,-404.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2010,Hospitality - UK (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",BAXTERSTOREY LTD,1003818,-291.69375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2010,Hospitality - UK (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",BAXTERSTOREY LTD,1003818,-0.3525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/08/2010,Hospitality - UK (Programme),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",BAXTERSTOREY LTD,1003833,881.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2010,Media and Design Services,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ENERGY DATA SERVICES LTD T/A PRECISE,1002788,653.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/08/2010,Media and Design Services,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ENERGY DATA SERVICES LTD T/A PRECISE,1004827,1024.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2010,Media and Design Services,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ENERGY DATA SERVICES LTD T/A PRECISE,1002750,1510.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2010,Media and Design Services,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ENERGY DATA SERVICES LTD T/A PRECISE,1002759,2184.5
