Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,DCLG,12/05/2010,Post,Finance and Corporate Services,NEOPOST LTD,5106133676,"2,000.00"
Communities & Local Government,DCLG,12/05/2010,Professional services,Finance and Corporate Services,MICHAEL PAGE INTERNATIONAL,5106133492,"2,099.26"
Communities & Local Government,DCLG,12/05/2010,Publicity,Housing and Planning,G W S LTD,5106133644,"2,596.75"
Communities & Local Government,DCLG,12/05/2010,Publicity,Communities Group,MEDIA MOGULS,5106133600,"4,621.50"
Communities & Local Government,DCLG,12/05/2010,Security,Finance and Corporate Services,MITIE SECURITY LTD,5106133615,710.14
Communities & Local Government,DCLG,12/05/2010,Security,Communities Group,ADT FIRE & SECURITY PLC,5106133637,"1,012.49"
Communities & Local Government,DCLG,12/05/2010,Subscriptions,Communities Group,JONES YARRELL LEADENHALL LTD,5106133747,691.03
Communities & Local Government,DCLG,12/05/2010,Training,Housing and Planning,HIGHGATE HOUSE,5106133594,"2,938.00"
Communities & Local Government,DCLG,12/05/2010,Training,Human Resources,ALPHA CONSOLIDATED TRAINING LTD,5106133606,840.00
Communities & Local Government,DCLG,12/05/2010,Training,Human Resources,BATH CONSULTANCY GROUP,5106133621,"5,500.00"
Communities & Local Government,DCLG,12/05/2010,Mobile phone costs,Communities Group,AIRWAVE SOLUTIONS LTD,5106133414,"15,064.40"
Communities & Local Government,DCLG,12/05/2010,Office machinery consumables,Housing and Planning,PITNEY BOWES PURCHASE POWER,5106133638,387.66
Communities & Local Government,DCLG,12/05/2010,EU Cur Grnt to Priv Sect-Persons & NPISH,Regions and Communities,SUNDERLAND UNIVERSITY,7500027916,-545.12
Communities & Local Government,DCLG,12/05/2010,EU Gts (Cap) to Prvt/Sec Persons & NPISH,Regions and Communities,SW INVESTMENT GROUP,7500028940,"-4,030.22"
Communities & Local Government,DCLG,12/05/2010,EU Gts (Cap) to Prvt/Sec Persons & NPISH,Regions and Communities,SW INVESTMENT GROUP,7500028944,"-50,000.00"
Communities & Local Government,DCLG,12/05/2010,Purchase of Consultancy Services,Regions and Communities,PRICEWATERHOUSECOOPERS,2100190392,"-28,498.15"
Communities & Local Government,DCLG,12/05/2010,Purchase of Consultancy Services,Regions and Communities,PRICEWATERHOUSECOOPERS,5106118431,"28,498.15"
Communities & Local Government,DCLG,12/05/2010,Purchase of Consultancy Services,Communities Group,FIRE SERVICE COLLEGE,2100190355,"-5,085.40"
Communities & Local Government,DCLG,12/05/2010,Purchase of Consultancy Services,Communities Group,FIRE SERVICE COLLEGE,5106130302,"5,085.40"
Communities & Local Government,DCLG,12/05/2010,Grant in Aid to NDPBs (non budget),Housing and Planning,HOMES & COMMUNITIES AGENCY,2100190206,"12,858,412.00"
Communities & Local Government,DCLG,12/05/2010,Steady State Service Provision,Human Resources,HAYS SPECIALIST RECRUITMENT LTD,5106133339,"3,720.46"
Communities & Local Government,DCLG,12/05/2010,Steady State Service Provision,Human Resources,HAYS SPECIALIST RECRUITMENT LTD,5106133346,"2,232.28"
Communities & Local Government,DCLG,12/05/2010,Management Consultancy,Finance and Corporate Services,LA INT COMPUTER CONSULTANTS LTD,5106133632,"26,787.32"
Communities & Local Government,DCLG,12/05/2010,Legal Consultancy,Communities Group,DENTON WILDE SAPTE LLP,5106133598,"14,086.86"
Communities & Local Government,DCLG,13/05/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",OFFICE OF THE PAYMASTER GENERAL (NN,2100190354,"1,400,411,589.00"
Communities & Local Government,DCLG,13/05/2010,NNDR Central List Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",OFFICE OF THE PAYMASTER GENERAL (NN,2100190354,"101,558,760.08"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Finance and Corporate Services,MICHAEL PAGE INTERNATIONAL,5106133748,"2,961.08"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Finance and Corporate Services,SQUARE ONE RESOURCES LTD,5106133478,"3,110.34"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Finance and Corporate Services,SBS GROUP (UK) LTD,5106133836,"13,635.41"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Finance and Corporate Services,VENN GROUP,5106133743,"1,768.39"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Finance and Corporate Services,CAPITA RESOURCING LTD,5106133717,"9,424.97"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Finance and Corporate Services,CAPITA RESOURCING LTD,5106133732,"42,359.71"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Finance and Corporate Services,CAPITA RESOURCING LTD,5106133738,"17,987.72"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Communities Group,TURNER & TOWNSEND,5106133797,"9,668.76"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Communities Group,CAPITA COMMUNICATIONS,5106133533,"6,803.49"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Communities Group,ALPINE RESOURCING LTD,5106133146,"18,615.00"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Communities Group,CAPITA RESOURCING LTD,5106133730,"9,018.00"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Human Resources,CAPITA RESOURCING LTD,5106133715,"2,875.11"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Human Resources,CAPITA RESOURCING LTD,5106133734,"3,116.10"
Communities & Local Government,DCLG,13/05/2010,Agency Staff,Human Resources,CAPITA RESOURCING LTD,5106133736,"3,895.13"
Communities & Local Government,DCLG,13/05/2010,Conferences,Housing and Planning,*OCEAN MEDIA GROUP LTD,5106133860,"5,651.75"
Communities & Local Government,DCLG,13/05/2010,Hospitalty,Housing and Planning,MITIE CATERING SERVICES LTD,2100190360,"3,395.05"
Communities & Local Government,DCLG,13/05/2010,Hospitalty,Housing and Planning,MITIE CATERING SERVICES LTD,2100190363,"1,381.12"
Communities & Local Government,DCLG,13/05/2010,Hospitalty,Finance and Corporate Services,MITIE CATERING SERVICES LTD,2100190362,"1,137.34"
Communities & Local Government,DCLG,13/05/2010,Hospitalty,Finance and Corporate Services,MITIE CATERING SERVICES LTD,2100190363,31.31
Communities & Local Government,DCLG,13/05/2010,Hospitalty,Communities Group,MITIE CATERING SERVICES LTD,2100190359,644.65
Communities & Local Government,DCLG,13/05/2010,Hospitalty,Communities Group,MITIE CATERING SERVICES LTD,2100190362,842.68
Communities & Local Government,DCLG,13/05/2010,Hospitalty,Communities Group,MITIE CATERING SERVICES LTD,2100190363,82.12
Communities & Local Government,DCLG,13/05/2010,Hospitalty,"Local Gov & Reg(LG DEL,AME, RfR2)",MITIE CATERING SERVICES LTD,2100190363,101.79
Communities & Local Government,DCLG,13/05/2010,Hospitalty,Human Resources,MITIE CATERING SERVICES LTD,2100190363,"1,648.59"
Communities & Local Government,DCLG,13/05/2010,Hospitalty,Strategic Future Unit,MITIE CATERING SERVICES LTD,2100190363,512.77
Communities & Local Government,DCLG,13/05/2010,IT Maintenance,Housing and Planning,BRAMBLE. CC,5106133773,"58,268.25"
Communities & Local Government,DCLG,13/05/2010,IT Maintenance,Finance and Corporate Services,STERIA LIMITED,5106132365,"3,684.14"
Communities & Local Government,DCLG,13/05/2010,IT Maintenance,Finance and Corporate Services,STERIA LIMITED,5106133566,"390,088.50"
Communities & Local Government,DCLG,13/05/2010,Fixed Maintenance,Finance and Corporate Services,BANNER BUSINESS SUPPLIES LTD,5106133765,5.22
Communities & Local Government,DCLG,13/05/2010,Fixed Maintenance,Finance and Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,5106133875,"1,765.80"
Communities & Local Government,DCLG,13/05/2010,Media,Communities Group,DURRANTS LTD,5106133148,"8,353.12"
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Housing and Planning,REDFERN TRAVEL LIMITED,2100190364,943.91
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Housing and Planning,REDFERN TRAVEL LIMITED,2100190365,"1,087.12"
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Housing and Planning,REDFERN TRAVEL LIMITED,2100190366,382.67
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Housing and Planning,REDFERN TRAVEL LIMITED,2100190367,"12,668.11"
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Housing and Planning,REDFERN TRAVEL LIMITED,2100190368,159.07
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Housing and Planning,REDFERN TRAVEL LIMITED,2100190372,34.48
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Housing and Planning,REDFERN TRAVEL LIMITED,2100190373,943.91
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Housing and Planning,REDFERN TRAVEL LIMITED,2100190374,"1,097.15"
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Regions and Communities,REDFERN TRAVEL LIMITED,2100190365,"1,917.85"
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Regions and Communities,REDFERN TRAVEL LIMITED,2100190372,478.17
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Finance and Corporate Services,REDFERN TRAVEL LIMITED,2100190365,"1,038.33"
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Finance and Corporate Services,REDFERN TRAVEL LIMITED,2100190366,137.65
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Finance and Corporate Services,REDFERN TRAVEL LIMITED,2100190368,"8,043.29"
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Finance and Corporate Services,REDFERN TRAVEL LIMITED,2100190371,268.76
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Communities Group,REDFERN TRAVEL LIMITED,2100190365,"21,812.68"
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Communities Group,REDFERN TRAVEL LIMITED,2100190366,50.47
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Communities Group,REDFERN TRAVEL LIMITED,2100190371,31.09
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,"Local Gov & Reg(LG DEL,AME, RfR2)",REDFERN TRAVEL LIMITED,2100190365,273.81
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,"Local Gov & Reg(LG DEL,AME, RfR2)",REDFERN TRAVEL LIMITED,2100190371,"2,476.23"
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,"Local Gov & Reg(LG DEL,AME, RfR2)",REDFERN TRAVEL LIMITED,2100190372,946.00
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Human Resources,REDFERN TRAVEL LIMITED,2100190365,276.39
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Human Resources,REDFERN TRAVEL LIMITED,2100190368,44.29
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Human Resources,REDFERN TRAVEL LIMITED,2100190369,665.03
Communities & Local Government,DCLG,13/05/2010,Travel and Subsistence Account,Not assigned,REDFERN TRAVEL LIMITED,2100190365,308.41
Communities & Local Government,DCLG,13/05/2010,IT Consumables,Communities Group,BANNER BUSINESS SUPPLIES LTD,5106133766,886.89
Communities & Local Government,DCLG,13/05/2010,IT Consumables,"Local Gov & Reg(LG DEL,AME, RfR2)",BANNER BUSINESS SUPPLIES LTD,5106133951,745.91
Communities & Local Government,DCLG,13/05/2010,Current (non AEF) Grants to Local Authorities,Housing and Planning,GRAVESHAM BC,2100190315,"9,640.00"
Communities & Local Government,DCLG,13/05/2010,Current (non AEF) Grants to Local Authorities,Housing and Planning,ESSEX COUNTY COUNCIL,2100190313,"2,617.87"
Communities & Local Government,DCLG,13/05/2010,Current (non AEF) Grants to Local Authorities,Housing and Planning,KIRKLEES MBC,2100190314,"4,820.00"
Communities & Local Government,DCLG,13/05/2010,Current (non AEF) Grants to Local Authorities,Housing and Planning,NORFOLK COUNTY COUNCIL,2100190310,"53,989.08"
Communities & Local Government,DCLG,13/05/2010,Current (non AEF) Grants to Local Authorities,Housing and Planning,PETERBOROUGH COMM SERVICES,2100190309,"27,000.00"
Communities & Local Government,DCLG,13/05/2010,Current (non AEF) Grants to Local Authorities,"Local Gov & Reg(LG DEL,AME, RfR2)",CHESHIRE FIRE AUTHORITY,5000122860,"-320,839.00"
Communities & Local Government,DCLG,13/05/2010,Storage,Housing and Planning,IRON MOUNTAIN (UK) LIMITED,5106133879,"1,412.42"
Communities & Local Government,DCLG,13/05/2010,Publicity,Finance and Corporate Services,ON DEMAND PR AND MARKETING,5106133869,"8,084.00"
Communities & Local Government,DCLG,13/05/2010,Publicity,Communities Group,HEMMING GROUP LTD,5106133886,"1,207.50"
Communities & Local Government,DCLG,13/05/2010,Publicity,Communities Group,HEMMING GROUP LTD,5106133943,"3,084.38"
Communities & Local Government,DCLG,13/05/2010,Research,Housing and Planning,AECOM LTD,5106133939,"11,712.96"
Communities & Local Government,DCLG,13/05/2010,Research,Housing and Planning,AECOM LTD,5106133941,"13,179.36"
Communities & Local Government,DCLG,13/05/2010,Research,Housing and Planning,NETFUNDI LTD,5106132098,"2,956.59"
Communities & Local Government,DCLG,13/05/2010,Research,Housing and Planning,KING STURGE LLP,5106133337,"-49,937.50"
Communities & Local Government,DCLG,13/05/2010,Research,Housing and Planning,KING STURGE LLP,5106133341,"64,319.50"
Communities & Local Government,DCLG,13/05/2010,Research,Finance and Corporate Services,AD RESEARCH & ANALYSIS LTD,5106133834,"2,453.64"
Communities & Local Government,DCLG,13/05/2010,Training,Housing and Planning,R T P I CONFERENCES,5106133814,"3,814.20"
Communities & Local Government,DCLG,13/05/2010,Training,Housing and Planning,UK GREEN BUILDING COUNCIL,5106128320,"74,265.88"
Communities & Local Government,DCLG,13/05/2010,Training,Communities Group,FIRE SERVICE COLLEGE,5106133799,"45,773.61"
Communities & Local Government,DCLG,13/05/2010,Training,Human Resources,NATIONAL SCHOOL OF GOVERNMENT,5106133816,900.00
Communities & Local Government,DCLG,13/05/2010,Training,Human Resources,CABINET OFFICE,5106133822,"57,000.00"
Communities & Local Government,DCLG,13/05/2010,Waste Disposal and pest control,Finance and Corporate Services,GLASDON UK LTD,5106133696,"1,980.78"
Communities & Local Government,DCLG,13/05/2010,Vehicle hire,Housing and Planning,CYCLONE COURIER CO LTD,5106133865,"1,398.69"
Communities & Local Government,DCLG,13/05/2010,Mobile phone costs,Housing and Planning,ORANGE (AIRTIME/LINE RENTAL),2100190399,"1,646.09"
Communities & Local Government,DCLG,13/05/2010,Mobile phone costs,Regions and Communities,ORANGE (AIRTIME/LINE RENTAL),2100190399,157.93
Communities & Local Government,DCLG,13/05/2010,Mobile phone costs,Finance and Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100190399,"1,817.65"
Communities & Local Government,DCLG,13/05/2010,Mobile phone costs,Communities Group,ORANGE (AIRTIME/LINE RENTAL),2100190399,"1,775.61"
Communities & Local Government,DCLG,13/05/2010,Mobile phone costs,"Local Gov & Reg(LG DEL,AME, RfR2)",ORANGE (AIRTIME/LINE RENTAL),2100190399,497.67
Communities & Local Government,DCLG,13/05/2010,Mobile phone costs,Human Resources,ORANGE (AIRTIME/LINE RENTAL),2100190399,73.11
Communities & Local Government,DCLG,13/05/2010,Mobile phone costs,Programme & Project Team,ORANGE (AIRTIME/LINE RENTAL),2100190399,78.00
Communities & Local Government,DCLG,13/05/2010,Mobile phone costs,Strategic Future Unit,ORANGE (AIRTIME/LINE RENTAL),2100190399,17.04
Communities & Local Government,DCLG,13/05/2010,Stationery,Finance and Corporate Services,BANNER BUSINESS SUPPLIES LTD,5106133765,515.81
Communities & Local Government,DCLG,13/05/2010,Services provided by other Govt Orgs,Housing and Planning,MWB CONSULTANCY LTD,5106133827,"2,000.00"
Communities & Local Government,DCLG,13/05/2010,Services provided by other Govt Orgs,Housing and Planning,SPRINGBOARD HOUSING ASSOCIATION,5106133913,"2,443.58"
Communities & Local Government,DCLG,13/05/2010,Purchase of Consultancy Services,Regions and Communities,AMOR BUSINESS TECHNOLOGY SOLUTIONS,2100190429,"-24,808.95"
Communities & Local Government,DCLG,13/05/2010,Purchase of Consultancy Services,Regions and Communities,AMOR BUSINESS TECHNOLOGY SOLUTIONS,5106119343,"24,808.95"
Communities & Local Government,DCLG,13/05/2010,Steady State Service Provision,Housing and Planning,CGI CROUP (EUROPE) LTD,5106133871,"11,750.00"
Communities & Local Government,DCLG,13/05/2010,Steady State Service Provision,Communities Group,AIRWAVE SOLUTIONS LTD,5106132453,"848,307.00"
Communities & Local Government,DCLG,13/05/2010,Steady State Service Provision,Communities Group,AIRWAVE SOLUTIONS LTD,5106132564,"8,370.00"
Communities & Local Government,DCLG,13/05/2010,Steady State Service Provision,Communities Group,INFORMED SOLUTIONS LTD,5106133781,"2,626.13"
Communities & Local Government,DCLG,13/05/2010,Steady State Service Provision,Communities Group,INFORMED SOLUTIONS LTD,5106133783,"1,016.38"
Communities & Local Government,DCLG,13/05/2010,Steady State Service Provision,Communities Group,INFORMED SOLUTIONS LTD,5106133785,"4,670.63"
Communities & Local Government,DCLG,13/05/2010,Steady State Service Provision,Communities Group,INFORMED SOLUTIONS LTD,5106133787,"3,971.50"
Communities & Local Government,DCLG,13/05/2010,Steady State Service Provision,Communities Group,INFORMED SOLUTIONS LTD,5106133789,"5,093.63"
Communities & Local Government,DCLG,13/05/2010,Management Consultancy,Housing and Planning,BUILDING RESEARCH ESTABLISHMENT,5106133839,"2,461.63"
Communities & Local Government,DCLG,13/05/2010,Management Consultancy,Communities Group,REED TECHNOLOGY,5106133436,641.08
Communities & Local Government,DCLG,13/05/2010,Management Consultancy,Communities Group,REED TECHNOLOGY,5106133438,961.62
Communities & Local Government,DCLG,13/05/2010,Management Consultancy,Communities Group,REED TECHNOLOGY,5106133440,641.08
Communities & Local Government,DCLG,13/05/2010,Management Consultancy,Communities Group,REED TECHNOLOGY,5106133442,"1,602.70"
Communities & Local Government,DCLG,13/05/2010,Management Consultancy,Communities Group,FAITH MATTERS,5106133843,"15,190.00"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Housing and Planning,REED SPECIALIST RECRUITMENT LTD,5106133792,708.17
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Housing and Planning,REED SPECIALIST RECRUITMENT LTD,5106134032,697.07
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Housing and Planning,REED SPECIALIST RECRUITMENT LTD,5106134167,738.90
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Housing and Planning,REED SPECIALIST RECRUITMENT LTD,5106134170,557.66
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Housing and Planning,REED SPECIALIST RECRUITMENT LTD,5106134172,664.54
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Housing and Planning,REED SPECIALIST RECRUITMENT LTD,5106134174,697.07
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Finance and Corporate Services,SQUARE ONE RESOURCES LTD,2100190467,"-2,488.27"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Finance and Corporate Services,SQUARE ONE RESOURCES LTD,5106131022,"2,488.27"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Finance and Corporate Services,REED SPECIALIST RECRUITMENT LTD,5106134002,"2,731.42"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Finance and Corporate Services,REED SPECIALIST RECRUITMENT LTD,5106134006,"1,268.79"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Finance and Corporate Services,REED SPECIALIST RECRUITMENT LTD,5106134008,"2,396.60"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Finance and Corporate Services,REED SPECIALIST RECRUITMENT LTD,5106134026,916.35
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Finance and Corporate Services,REED SPECIALIST RECRUITMENT LTD,5106134067,564.02
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Finance and Corporate Services,MORGAN HUNT PUBLIC SECTOR LTD,5106133897,841.77
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Finance and Corporate Services,VENN GROUP,5106133959,"1,212.48"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Finance and Corporate Services,VENN GROUP,5106133971,"1,377.69"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Finance and Corporate Services,ALLEN LANE FINANCIAL RECRUITMENT,5106134160,"3,807.00"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Communities Group,BROOK STREET BUREAU,2100190456,"-1,398.71"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Communities Group,BROOK STREET BUREAU,5106133169,"1,398.71"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Communities Group,BROOK STREET BUREAU,5106133962,"1,259.82"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Communities Group,BROOK STREET BUREAU,5106133965,505.91
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Communities Group,REED SPECIALIST RECRUITMENT LTD,5106133909,624.11
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Communities Group,ACTICA CONSULTING LTD,5106134004,"12,797.69"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Communities Group,ACTICA CONSULTING LTD,5106134013,"14,824.00"
Communities & Local Government,DCLG,14/05/2010,Agency Staff,Communities Group,CAPITA RESOURCING LTD,5106134019,"6,601.90"
