Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",276,248,433,408,1084,1034,439,417,22,21,237,236,"2,491","2,364",13,13,0,0,5,5,2,2,20,20,"2,511","2,384","6,741,655.02","152,266.67","12,427.53","35,143.81","1,727,177.67","576,653.30","9,245,324.00","83,475.09","115,241.56","198,716.65","9,444,040.65",
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,9,0,9,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,0,0,8,7.6,2,1.5,1,1,0,0,11,10,1,1,0,0,0,0,0,0,1,1,12,11,"30,627.12",478.88,0,0,"5,951.83","2,548.78","39,606.61","2,061.58",0,"2,061.58","41,668.19",The Director of Fair Access is on the payroll of the Department for Business innovation and skills
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,10.6,0,11,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",133,127.1,249,239.3,923,907.6,321,305.2,34,31.3,26,26,"1,686","1,637",7,7,1,1,5,5,0,0,13,13,"1,699","1,650","4,769,283.00","166,769.00","7,545.00","140,742.00","1,243,011.00","427,733.00","6,755,083.00","76,562.00",,"76,562.00","6,831,645.00",
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",105,101.7972973,393,381.6845946,532,519.2297297,162,161.4594595,44,43.44594595,2,1.945945946,"1,238","1,210",8,8,0,0,123,123,2,2,133,133,"1,371","1,343","4,155,176.80","109,219.74",0,390.03,"841,440.94","390,648.42","5,496,875.93","1,047,476.10",0,"1,047,476.10","6,544,352.03",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,6,0,6,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,9,0,9,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1330,1223,627,600,91,88.56,11,11,8,8,7,0.96,"2,074","1,932",241,241,0,0,89,89,0,0,330,330,"2,404","2,262","3,665,319.88","88,947.09","6,981.75","111,707.44","296,947.04","287,544.72","4,457,447.92","752,191.00","102,765.00","854,956.00","5,312,403.92",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,41,41,12,12,75,75,6,6,5,5,139,139,15,15,15,15,0,0,0,0,30,30,169,169,"573,703.15","94,202.44",,,"111,703.77","56,351.34","835,960.70","190,962.41",,"190,962.41","1,026,923.11",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",14,13,13,12,49,48,14,14,6,6,0,0,96,93,0,0,0,0,0,0,0,0,0,0,96,93,"315,691.00",0,0,0,"62,542.53","27,960.70","406,194.23",0,0,0,"406,194.23",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",229,200.87,233,221.74,238,231.96,224,210.82,27,27,0,0,951,892,22,22,0,0,28,28,0,0,50,50,"1,001",942,"2,244,962.00","82,725.00","11,766.00","103,944.00","467,631.00","187,425.00","3,098,453.00","107,222.00",,"107,222.00","3,205,675.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,9,9,16,15.8,4,4,1,1,36,36,0,0,0,0,1,1,0,0,1,1,37,37,"128,689.00",,,"3,750.00","28,025.00","12,314.00","172,778.00","10,500.00",,"10,500.00","183,278.00",
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",62,57.48,61,58.81,277,273.58,99,97.75,10,9.6,14,14,523,511,3,3,0,0,346,346,0,0,349,349,872,860,"1,723,382.00",0,"65,586.00","35,878.00","217,164.00","125,158.00","2,167,168.00","1,270,260.00",0,"1,270,260.00","3,437,428.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,13.7,0,14,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Ordance Survey,Non-Ministerial Department,"Department for Business, Innovation & Skills",40,34.2,506,492.84,414,402.92,113,110.56,6,6,3,0.73,"1,082","1,047",41,41,2,2,83,83,0,0,126,126,"1,208","1,173","2,811,148.00","50,106.00","284,969.00","31,151.00","547,220.00","269,728.00","3,994,322.00","881,124.51",,"881,124.51","4,875,446.51",
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,4,3.1,1933,1856.5,"1,937","1,860",16,16,18,18,35,35,0,0,69,69,"2,006","1,929","4,829,720.00","336,161.00","144,880.00","194,615.00","1,023,776.00","443,401.00","6,972,553.00","404,464.00","19,121.00","423,585.00","7,396,138.00",
