Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/05/2011,Publications (Programme),Business & Skills Group - Advanced Manufacturing Industries,THE AIR LETTER,1027048,3140
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/05/2011,Publications (Programme),Business & Skills Group - Advanced Manufacturing Industries,IHS GLOBAL LTD T/A IHS JANES,1027839,642
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/05/2011,Non Grant-in-Aid Funding of Bodies (Departmental and Non-Departmental),Market and Frameworks Group - Employment Relations,ACAS,1025587,4400000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/2011,Taxis- Overseas (Programme),Business & Skills Group - Advanced Manufacturing Industries,"Personal expense, Name withheld",10277492,9.61
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/2011,Mileage Allowances - Overseas (Programme),Business & Skills Group - Advanced Manufacturing Industries,"Personal expense, Name withheld",10277492,50.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/2011,Subsistence Payments- Overseas (Programme),Business & Skills Group - Advanced Manufacturing Industries,"Personal expense, Name withheld",10277492,13.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/2011,Other Overseas Travel & Subsistence (Programme),Business & Skills Group - Advanced Manufacturing Industries,"Personal expense, Name withheld",10277492,9.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/2011,Other Overseas Travel & Subsistence (Programme),Business & Skills Group - Advanced Manufacturing Industries,"Personal expense, Name withheld",10277492,20
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2011,Grants - Non Statutory - Current - Other,Business & Skills Group - Advanced Manufacturing Industries,SOUTH EAST ENGLAND DEVELOPMENT AGENCY,1026523,13830
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2011,Grants - Non Statutory - Current - Other,Business & Skills Group - Advanced Manufacturing Industries,NORTHWEST REGIONAL DEVELOPMENT AGENCY,1026532,24705
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2011,Grants - Non Statutory - Current - Other,Business & Skills Group - Advanced Manufacturing Industries,NORTHWEST REGIONAL DEVELOPMENT AGENCY,1026532,50836
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/2011,Grants - Non Statutory - Current - Other,Business & Skills Group - Advanced Manufacturing Industries,THE LONDON DEVELOPMENT AGENCY LTD,1026977,28622
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/05/2011,Grants - Non Statutory - Current - Other,Business & Skills Group - Advanced Manufacturing Industries,EAST MIDLANDS DEVELOPMENT AGENCY,1027748,24622.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/05/2011,Grants - Non Statutory - Current - Other,Business & Skills Group - Advanced Manufacturing Industries,EAST MIDLANDS DEVELOPMENT AGENCY,1027750,37010
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/05/2011,Grants - Non Statutory - Current - Other,Business & Skills Group - Advanced Manufacturing Industries,THE LONDON DEVELOPMENT AGENCY LTD,1027751,408557.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/05/2011,Grants - Non Statutory - Current - Other,Market and Frameworks Group - Europe and World Trade Directorates,CITY OF LONDON POLICE,1026102,30339.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2011,Grants - Current - Other,Market and Frameworks Group - Europe and World Trade Directorates,GLOBAL ADVICE NETWORK,1026443,35670
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/05/2011,Additions - Enterprise Equity Investments,Business & Skills Group - Enterprise Directorate,BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1026736,200000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/05/2011,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,INITIAL CATERING SERVICES LTD T/A AUTOGRAPH,1026093,18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/05/2011,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1026095,6118.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/05/2011,Computer Equipment - Clearing,Finance & Commercial Group - Commercial Directorate,LOGICA UK LTD,1026121,12426.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/05/2011,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1026161,909.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/05/2011,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1026162,7215.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/05/2011,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1026165,83441.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/05/2011,Leased Buildings - Clearing,Finance & Commercial Group - Commercial Directorate,SECURITY SERVICES GROUP,1026207,15649.57
