Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Net Total 
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Non-Grant in Aid Funding of Bodies (Departmental and Non-Departmental),Market and Frameworks Group - Employment Relations,ACAS,1017780,4800000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,1017744,767.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Season Ticket and Bicycle Loans,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,1017745,3632.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Outsourced Technical Support (Programme),Knowledge and Innovation Group - UK Space Agency,DOCTOR SAM HARBISON,1017985,525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",HM LAND REGISTRY,1018092,84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Maintenance (Programme),Finance & Commercial Group - Information and Workplace Strategies,CHUBB FIRE LTD,1017945,229.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,FIELD FISHER WATERHOUSE,1017980,930
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,FIELD FISHER WATERHOUSE,1017981,1211.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,FIELD FISHER WATERHOUSE,1017982,6136.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,FIELD FISHER WATERHOUSE,1017982,21.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,FIELD FISHER WATERHOUSE,1017983,2988.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,FIELD FISHER WATERHOUSE,1017983,74.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,FIELD FISHER WATERHOUSE,1017984,2029
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,IDEAL CLEANING SERVICES LTD,1017989,4431.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,PROGRAMMED CLEANING & SUPPORT SERVICES LTD,1017990,357.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Water (Programme),Finance & Commercial Group - Information and Workplace Strategies,THAMES WATER UTILITIES LTD,1017992,292.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Water (Programme),Finance & Commercial Group - Information and Workplace Strategies,THAMES WATER UTILITIES LTD,1017992,608.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,OCS GROUP UK LTD t/a CANNON,1017993,373.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,OCS GROUP UK LTD t/a CANNON,1017993,83.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,CRYSTAL SERVICES PLC,1018002,65.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,K CLEANING SERVICES,1018006,1011.71
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Maintenance (Programme),Finance & Commercial Group - Information and Workplace Strategies,RENTOKIL INITIAL UK LTD T/A RENTOKIL PEST CONTROL,1018008,866.39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Gas (Programme),Finance & Commercial Group - Information and Workplace Strategies,E-ON ENERGY LTD,1018045,131.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Project Management Costs (Programme),Market and Frameworks Group - Europe and World Trade Directorates,JOHN MULHOLLAND,1017951,306.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Outsourced Technical Support (Programme),Business & Skills Group - Enterprise Directorate,BETA TECHNOLOGY LTD,1018040,29067.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Publications (Programme),Chief Economic Advisor &BRE Group - Strategic Policy Analysis,BLOOMBERG FINANCE L.P.,1017638,38.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Taxis,Business & Skills Group - Advanced Manufacturing Industries,"Personal Expense, Name Witheld.",10275439,12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Other UK Travel & Subsistence,Business & Skills Group - Advanced Manufacturing Industries,"Personal Expense, Name Witheld.",10275439,3.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1017825,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1017825,56.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1017827,52.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Mobile Phones,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1017827,10.34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1017965,12.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1017965,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1017967,6.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1017967,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1017970,14.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1017970,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1017970,0.25
