OTTERBURN TRAINING AREA MILITARY ACTIVITY FORECAST,,,

15 January to 31 January 2013 ,,,

"Listed below are the dates and times when OTTERBURN and/or REDESDALE Ranges are being used for live firing: OTTERBURN Ranges are the southern part of the ranges, REDESDALE are the northern part.",,,

DATE,TIME,RANGE,ACTIVITY
Tue 15 Jan 13,0900 - 2200,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Wed 16 Jan 13,1000 - 1600,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Thu 17 Jan 13,1000 - 2200,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Fri 18 Jan 13,1000 - 1600,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Sat 19 Jan 13,,Non Firing,
Sun 20 Jan 13,,Non Firing,
Mon 21 Jan 13,1000 - 0200,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Tue 22 Jan 13,0800 - 2200,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Wed 23 Jan 13,1000 - 1600,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Thu 24 Jan 13,1000 - 2200,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Fri 25 Jan 13,1000 - 1600,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Sat 26 Jan 13,,Non Firing,
Sun 27 Jan 13,,Non Firing,
Mon 28 Jan 13,1000 - 1600,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Tue 29 Jan 13,1000 - 2200,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Wed 30 Jan 13,1000 – 1600,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
Thu 31 Jan 13,1000 - 2200,Otterburn/Redesdale/Bellshiel,"Aircraft, Artillery, & Infantry weapons"
