Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary"
01/06/12,Airlines,4630.49,
01/06/12,Airlines,862.49,
01/06/12,Airlines,862.49,
01/06/12,Airlines,724.99,
01/06/12,Airlines,862.49,
01/06/12,Airlines,890.09,
01/06/12,Airlines,890.09,
01/06/12,Airlines,2539.59,
01/06/12,Airlines,2539.59,
01/06/12,Airlines,890.09,
01/06/12,Airlines,-2499.12,
01/06/12,Airlines,645.16,
01/06/12,Airlines,916.77,
01/06/12,Airlines,1655.50,
01/06/12,Airlines,1636.80,
01/06/12,Airlines,1636.80,
01/06/12,Airlines,668.49,
01/06/12,Airlines,550.75,
01/06/12,Airlines,875.19,
01/06/12,Airlines,1680.59,
01/06/12,Airlines,6409.39,
01/06/12,Airlines,825.79,
01/06/12,Airlines,901.09,
01/06/12,Airlines,1162.26,
04/06/12,Airlines,2681.69,
04/06/12,Airlines,2681.69,
04/06/12,Airlines,2785.20,
04/06/12,Airlines,2794.59,
04/06/12,Airlines,2794.59,
04/06/12,Airlines,774.09,
04/06/12,Airlines,2100.09,
04/06/12,Airlines,2794.59,
04/06/12,Airlines,2794.59,
04/06/12,Airlines,921.50,
04/06/12,Airlines,921.50,
04/06/12,Airlines,4002.69,
04/06/12,Airlines,3784.21,
04/06/12,Airlines,502.00,
04/06/12,Airlines,870.81,
04/06/12,Airlines,510.81,
04/06/12,Airlines,1015.30,
04/06/12,Airlines,-4034.60,
04/06/12,Airlines,-695.90,
04/06/12,Airlines,1051.78,
04/06/12,Airlines,704.84,
04/06/12,Airlines,704.84,
04/06/12,Airlines,648.70,
04/06/12,Airlines,3524.00,
04/06/12,Airlines,3218.81,
04/06/12,Airlines,1098.70,
04/06/12,Airlines,1098.70,
04/06/12,Airlines,1539.10,
04/06/12,Airlines,1226.39,
04/06/12,Airlines,3888.89,
04/06/12,Airlines,1592.59,
04/06/12,Airlines,1111.29,
04/06/12,Airlines,2923.56,
04/06/12,Airlines,662.59,
04/06/12,Airlines,665.55,
04/06/12,Airlines,1611.59,
04/06/12,Airlines,1611.19,
04/06/12,Airlines,5175.39,
04/06/12,Airlines,5175.39,
04/06/12,Airlines,3125.49,
04/06/12,Airlines,4002.69,
04/06/12,Airlines,1611.59,
04/06/12,Airlines,1611.59,
04/06/12,Airlines,3068.20,
04/06/12,Airlines,2377.20,
04/06/12,Airlines,1195.79,
05/06/12,Airlines,4040.99,
05/06/12,Airlines,2950.49,
05/06/12,Airlines,1721.19,
05/06/12,Airlines,763.49,
05/06/12,Airlines,763.49,
06/06/12,Airlines,826.90,
06/06/12,Airlines,2329.89,
06/06/12,Airlines,2329.89,
06/06/12,Airlines,1775.80,
06/06/12,Airlines,1775.80,
07/06/12,Airlines,1038.87,
07/06/12,Airlines,1274.40,
07/06/12,Airlines,2501.40,
07/06/12,Airlines,2501.40,
07/06/12,Airlines,-1655.50,
07/06/12,Airlines,-1636.80,
07/06/12,Airlines,-1636.80,
07/06/12,Airlines,662.20,
07/06/12,Airlines,662.20,
07/06/12,Airlines,662.20,
07/06/12,Airlines,662.20,
07/06/12,Airlines,662.20,
07/06/12,Airlines,662.20,
07/06/12,Airlines,662.20,
08/06/12,Airlines,792.09,
08/06/12,Airlines,3271.49,
08/06/12,Airlines,1870.00,
08/06/12,Airlines,1154.09,
08/06/12,Airlines,-707.53,
08/06/12,Airlines,-707.53,
08/06/12,Airlines,-707.53,
08/06/12,Airlines,3351.70,
08/06/12,Airlines,2123.12,
08/06/12,Airlines,1062.92,
08/06/12,Airlines,664.42,
08/06/12,Airlines,1482.59,
08/06/12,Airlines,1482.59,
11/06/12,Airlines,1865.69,
11/06/12,Airlines,996.31,
11/06/12,Airlines,1151.49,
11/06/12,Airlines,827.69,
11/06/12,Airlines,1419.29,
11/06/12,Airlines,834.79,
11/06/12,Airlines,984.51,
11/06/12,Airlines,1477.50,
11/06/12,Airlines,970.31,
11/06/12,Airlines,863.51,
11/06/12,Airlines,-825.21,
11/06/12,Airlines,1990.36,
11/06/12,Airlines,960.09,
11/06/12,Airlines,1441.29,
11/06/12,Airlines,1583.29,
11/06/12,Airlines,1217.49,
11/06/12,Airlines,2833.70,
11/06/12,Airlines,2833.70,
11/06/12,Airlines,2833.70,
11/06/12,Airlines,2833.70,
11/06/12,Airlines,2833.70,
11/06/12,Airlines,2833.70,
11/06/12,Airlines,924.29,
11/06/12,Airlines,1843.89,
11/06/12,Airlines,505.95,
11/06/12,Airlines,505.95,
11/06/12,Airlines,505.95,
11/06/12,Airlines,662.69,
11/06/12,Airlines,981.19,
11/06/12,Airlines,-918.99,
11/06/12,Airlines,535.89,
11/06/12,Airlines,537.49,
11/06/12,Airlines,1811.79,
11/06/12,Airlines,792.09,
11/06/12,Airlines,1419.29,
11/06/12,Airlines,1035.50,
11/06/12,Airlines,1811.79,
11/06/12,Airlines,1811.79,
11/06/12,Airlines,1326.29,
11/06/12,Airlines,1326.29,
11/06/12,Airlines,781.60,
11/06/12,Airlines,752.99,
11/06/12,Airlines,1579.09,
11/06/12,Airlines,-2820.09,
11/06/12,Airlines,898.80,
11/06/12,Airlines,898.80,
11/06/12,Airlines,898.80,
12/06/12,Airlines,517.29,
12/06/12,Airlines,1244.49,
12/06/12,Airlines,1244.49,
12/06/12,Airlines,1244.49,
12/06/12,Airlines,1244.49,
12/06/12,Airlines,1244.49,
12/06/12,Airlines,2163.59,
12/06/12,Airlines,771.65,
12/06/12,Airlines,621.21,
12/06/12,Airlines,1009.70,
12/06/12,Airlines,1252.88,
12/06/12,Airlines,596.75,
12/06/12,Airlines,798.75,
13/06/12,Airlines,1013.10,
13/06/12,Airlines,1482.79,
13/06/12,Airlines,1485.69,
13/06/12,Airlines,1240.40,
13/06/12,Airlines,2247.09,
13/06/12,Airlines,1350.99,
13/06/12,Airlines,1207.91,
13/06/12,Airlines,1909.05,
13/06/12,Airlines,1025.00,
13/06/12,Airlines,1800.99,
13/06/12,Airlines,3039.79,
13/06/12,Airlines,1980.29,
13/06/12,Airlines,717.09,
13/06/12,Airlines,1377.83,
13/06/12,Airlines,580.31,
14/06/12,Airlines,698.89,
14/06/12,Airlines,848.59,
14/06/12,Airlines,711.15,
14/06/12,Airlines,1002.00,
14/06/12,Airlines,1681.29,
14/06/12,Airlines,3223.99,
14/06/12,Airlines,983.19,
