Post Date,Publishable Label,Transaction Amount ,"Publishable Label is provided by Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary"
01/08/12,Airlines,1190.41,
01/08/12,Airlines,3294.99,
01/08/12,Airlines,1004.08,
01/08/12,Airlines,3485.79,
01/08/12,Airlines,788.11,
01/08/12,Airlines,692.79,
01/08/12,Airlines,4295.49,
01/08/12,Airlines,4303.19,
01/08/12,Airlines,3294.99,
01/08/12,Airlines,633.79,
01/08/12,Airlines,4303.19,
01/08/12,Airlines,533.09,
02/08/12,Airlines,1249.09,
02/08/12,Airlines,1145.09,
02/08/12,Airlines,-781.39,
02/08/12,Airlines,-721.39,
02/08/12,Airlines,1449.29,
02/08/12,Airlines,749.00,
02/08/12,Airlines,2411.94,
02/08/12,Airlines,505.00,
02/08/12,Airlines,1089.70,
02/08/12,Airlines,1089.70,
02/08/12,Airlines,-898.80,
02/08/12,Airlines,2547.59,
02/08/12,Airlines,924.16,
02/08/12,Airlines,3057.06,
02/08/12,Airlines,685.09,
02/08/12,Airlines,2664.59,
02/08/12,Airlines,1462.49,
02/08/12,Airlines,-632.95,
02/08/12,Airlines,2547.59,
02/08/12,Airlines,2779.43,
02/08/12,Airlines,860.69,
02/08/12,Airlines,1158.29,
02/08/12,Airlines,1158.29,
02/08/12,Airlines,996.29,
02/08/12,Airlines,3927.59,
02/08/12,Airlines,-1394.39,
03/08/12,Airlines,758.75,
03/08/12,Airlines,774.99,
03/08/12,Airlines,1033.99,
03/08/12,Airlines,1447.59,
03/08/12,Airlines,4075.10,
03/08/12,Airlines,570.89,
03/08/12,Airlines,3269.59,
03/08/12,Airlines,4075.10,
03/08/12,Airlines,772.89,
03/08/12,Airlines,-2820.39,
06/08/12,Airlines,1153.39,
06/08/12,Airlines,1153.39,
06/08/12,Airlines,1931.36,
06/08/12,Airlines,1153.39,
06/08/12,Airlines,-828.49,
06/08/12,Airlines,-3409.59,
06/08/12,Airlines,2823.79,
06/08/12,Airlines,3063.99,
06/08/12,Airlines,2519.39,
06/08/12,Airlines,1074.39,
06/08/12,Airlines,2590.39,
06/08/12,Airlines,550.39,
06/08/12,Airlines,857.30,
06/08/12,Airlines,857.30,
06/08/12,Airlines,784.59,
06/08/12,Airlines,784.59,
06/08/12,Airlines,788.99,
06/08/12,Airlines,4735.39,
06/08/12,Airlines,784.59,
06/08/12,Airlines,1254.09,
06/08/12,Airlines,632.05,
06/08/12,Airlines,878.90,
06/08/12,Airlines,716.42,
06/08/12,Airlines,716.42,
