MINISTERIAL INFORMATION 1 APRIL – 30 JUNE 2011,,,

HOSPITALITY,,,

Minister,Date of hospitality,Name of organisation ,Type of hospitality received

"Minister for International Security Strategy, Gerald Howarth MP",01-Apr-11,BAE Systems,Drinks
"Minister for International Security Strategy, Gerald Howarth MP",07-May-11,Babcocks,"Army/Navy Rugby Match, Twickenham*"
"Minister for International Security Strategy, Gerald Howarth MP",09-May-11,BAE Systems,Dinner
"Minister for International Security Strategy, Gerald Howarth MP",12-Apr-11,BAE Systems,Dinner whilst in Brazil
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",06-Apr-11,AFB The Soldiers Charity,Lunch
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",17-May-11,RAF Benevolent Fund,Dinner
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",09-Jun-11,Royal Hospital Chelsea,Lunch
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",9-11 May 11,Turkish Armed Forces Foundation,Overnight accommodation
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",10-May-11,BAE Systems,Dinner
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",11-May-11,MBDA,Lunch
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL",08-Apr-11,Augusta Westland,Lunch
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL",05-May-11,Thales,Dinner



Note: Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’,,,
"functions in the UK or abroad, hosted by overseas governments; minor refreshments at",,,
"meetings, receptions, conferences, and seminars; and offers of hospitality which were",,,
declined.,,,
