"Main 
department",Organisation,Delegated grades only,,,,,,,,,,,,,,SCS on standard contracts (end of year NCPRP),,,,,,,,Information for SCS on non-standard contracts,,Comments
,,"Annual Paybill 
(delegated grades
for financial year 2010/11)","Headcount 
(delegated grades as at 31 March 2011)",In-year,,,,,End of Year,,,,,Total,,,,,,,,,,,,
,,,,"Cost of in-year NCPRP for delegated grades
(£s)",,Number of staff in delegated grades receiving an in-year NCPRP as a % of headcount,Value of maximum in-year NCPRP paid to a member of staff in the delegated grades,Median NCPRP for those receiving an in-year NCPRP fopr delegated grades,"Cost of end of year NCPRP for delegated grades
(£s)",Number of staff in delegated grades receiving an end of year NCPRP,Delegated grade staff receiving an end of year NCPRP as a % of headcount,Value of maximum end of year NCPRP paid to a member of staff in the delegated grades,Median NCPRP for those receiving an end of year NCPRP fopr delegated grades,"Overall cost of NCPRP (in-year and end of year) for delegated grades
","Cost of NCPRP as a % of paybill for delegated grades
(%)","Annual SCS Paybill for those SCS on standard contracts
(for financial year 2010/11)","Number of SCS on standard contracts - Headcount 
(as at 31 March 2011)","Cost of NCPRP for SCS standard contract staff
(£s)","Cost of NCPRP for SCS standard contract staff as a % of SCS standard contract staff paybill for 2010/11
(%)",Number of SCS standard contract staff receiving a NCPRP,SCS standard contract staff receiving a NCPRP as a % of SCS standard contract staff headcount,Value of maximum NCPRP paid to a member of SCS standard contract staff for 2010/11,Median NCPRP for those SCS standard contract staff receiving a NCPRP,"Number of SCS on non-standard contracts - Headcount 
(as at 31 March 2011)",Value of maximum NCPRP paid to a member of SCS non-standard contract staff for 2010/11,
Ministry of Defence,Ministry of Defence,"£1,880,195,630","56,270","£3,800,987*",8449*,15%*,"£2,000*",£300*,"£37,918,130**",54331**,96.6%**,"£5,635**",£535**,"£41,719,117",2.20%,"£19,312,410",255,"£505,500",2.60%,62,24.30%,"£10,000","£9,000",27,"£69,459","* In year figures are for financial year 2010/11. Figures for 2011/12 will not be available until May 2012.  ** End of year figures are for partial year 2011/12 - as at 31 Aug 2011.  Figures for total financial year will not be available until May 2012.  N.B.  No more than 60 B1 (Grade 6) are eligible for the £5,635 'maximum end of year NCPRP paid to a member of staff'.  The SCS figures also include those working in the following Trading Funds:  UKHO, Met Office, DSG and Dstl."
Ministry of Defence,UK Hydrographic Office,"£38,635,567",997,"£42,400",71,7.10%,"£2,000",£500,"£645,641",899,90.20%,"£6,999",£525,"£688,041",1.80%,,,,,,,,,,,"The UKHO also has an agreed corporate bonus scheme that links to both organisational and individual performance.  This is a consistent payment of 1 weeks pay for each individual what is performing satisfactorily and predicated on the achievement of all Key Performance measures including the achievement of the financial target of achieving the return on capital employed.  The total value of the additional corporate bonus paid is £515,419 with a median payment of £513.  The return for SCS employed by the UKHO are included in MOD main figures. "
Ministry of Defence,Defence Science and Technology Laboratory,"£165,827,234",3697,£0,0,0.00%,£0,£0,"£3,317,329",3183,86.10%,"£5,948","£2,987","£3,317,329",2.00%,,,,,,,,,,,Delegated grades:  There were no NCPRP payments for 2010/11 paid in year.  End year were all paid in August 2011.  The return for SCS employed by Dstl are included in MOD Main figures.
Ministry of Defence,Royal Fleet Auxiliary,"£105,550,079",2283,£0,0,0.00%,£0,£0,£0,0,0.00%,£0,£0,£0,0.00%,,,,,,,,,,,RFA delegated grades:  There were no NCPRP payments for 2010/11 paid in year.  NCPRP for reporting year 2010/11 are not due to be paid before October 2011.  The RFA do not have SCS staff.
Ministry of Defence,Meteorological Office,"£85,111,078",1902,"£216,792",1109,58.30%,"£1,800",£136,"£1,528,842",1860,97.80%,"£3,814",£627,"£1,745,634",2.10%,,,,,,,,,,,The Met Office is continuing to show its main department as MOD until enacting legal change of transfer to BIS has been made.  Please note since our Trading Fund status in 1996 we are known as the Met Office not Meteorological Office.  The return for SCS employed by the Met Office  was included in MOD Main figures.
Ministry of Defence,Defence Support Group,"£94,069,900",3154,£0,0,0.00%,£0,£0,"£1,100,000",3110,98.60%,£346,£180,"£1,100,000",1.20%,,,,,,,,,,,Delegated grades:  There were no NCPRP payments for 2010/11 paid in year.  The return for SCS employed by DSG are included in MOD Main figures.




























































,,"£2,369,389,488",,,1180,,,,,9052,,,,"£48,570,121",,,,"£505,500",,62
