Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Oliver Waghorn ,06-Dec,BBC,Lunch
Luke Coffey,08-Dec,Northrop Grumman UK,Breakfast
Hayden Allan,04-Oct,News International,Dinner
Hayden Allan,05-Oct,Press Association,Dinner
Hayden Allan,06-Oct,News International,Lunch
Hayden Allan,14-Oct,Policy Exchange,Lunch
Hayden Allan,20-Oct,Policy Exchange,Dinner
Hayden Allan,17-Nov,Spectator Parliamentary Awards,Dinner
Hayden Allan,19-Nov,Associated Newspapers,Dinner
