MINISTERIAL INFORMATION 1 JULY – 30 SEPTEMBER 2011,,,,,,

OVERSEAS TRAVEL ,,,,,,


Minister,Date(s) of trip,Destination  ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ",Total cost including travel and accommodation of Minister only
"Secretary of State for Defence, Rt Hon Liam Fox MP",7–10 Jul 11,India and Sri Lanka,"India: Meetings with Indian Defence Minister and National Security Advisor. Sri Lanka: Meetings with Sri Lankan President, Defence Minister and Foreign Minister",Scheduled,,"£5,858"
"Secretary of State for Defence, Rt Hon Liam Fox MP",23–25 Jul 11,Gibraltar,Meetings with the Chief Minister and Governor of Gibraltar,Scheduled,,£666
"Secretary of State for Defence, Rt Hon Liam Fox MP",29-Jul-11,Italy,Visiting Armed Forces in Gioia del Colle,RAF,2,"£1,810"
"Secretary of State for Defence, Rt Hon Liam Fox MP",31 Jul – 4 Aug 11,"Washington, USA",Meetings with US Defence Secretary,Scheduled,,"£2,369"
"Secretary of State for Defence, Rt Hon Liam Fox MP",30–31 Aug 11,Estonia,"Meeting with Estonian Prime Minister, President and Defence Minister",Scheduled,,£625
"Minister of State for the Armed Forces, Nick Harvey MP",10-13 Jul 11,"USA, Washington",Meet key Defence Personnel and members of the Senate and visit 39 RAF Squadron in Nevada Desert,Scheduled,,"£3,969"
"Minister for International Security Strategy, Gerald Howarth MP",19-20 Jul 11,Iraq,Bilateral,Scheduled / other RAF,,"£2,177"
"Minister for International Security Strategy, Gerald Howarth MP",1-5 Aug 11,Chile,Defence Diplomacy Visit and Bilateral,Scheduled,,"£3,535"
"Minister for International Security Strategy, Gerald Howarth MP",11-Sep-11,"Wroclaw, Poland",EU Defence Informals,No 32 (The Royal Squadron),3,"£2,932"
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL",25-29 Sep 11,UAE and Kuwait,Defence Relations,Scheduled,,"£2,405"
