Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister of State, Jeremy Browne MP",11-May,Diageo,Dinner
"Minister of State, Jeremy Browne MP",26-May,Channel 4,Lunch
"Minister of State, Jeremy Browne MP",04-Jun,English Cricket Board,Tickets to test match
"Minister of State, Jeremy Browne MP",09-Jun,Financial Times,Lunch
"Minister of State, Jeremy Browne MP",10-Jun,BBC,Lunch
"Minister of State, Jeremy Browne MP",20-Jun,The Times/The Independent,Lunch
"Minister of State, Jeremy Browne MP",29-Jun,Spectator,Lunch
"Minister of State, David Lidington MP",16-Jun,Daily Telegraph and Daily Mirror,Lunch
"Minister of State, The Rt Hon Lord Howell of Guildford",05-Apr,Centre for Policy Studies,Lunch
"Minister of State, The Rt Hon Lord Howell of Guildford",09-Jun,Standard Chartered Bank,Lunch
"Minister of State, The Rt Hon Lord Howell of Guildford",12-Jun,Royal Dutch Shell plc,Dinner and reception
"Parliamentary Under-Secretary of State, Henry Bellingham MP",21-Jun,The Economist,Lunch
"Parliamentary Under-Secretary of State, Henry Bellingham MP",23-Jun,Mr Chen (Philanthropist),Dinner
"Parliamentary Under-Secretary of State, Alistair Burt MP",28-May,FA,Ticket to UEFA Cup Final Manchester United vs. Barcelona
