Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by the Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary."
14/05/12,Airlines,1848.79,
14/05/12,Airlines,1599.79,
14/05/12,Airlines,2172.19,
14/05/12,Airlines,3818.16,
14/05/12,Airlines,1426.29,
14/05/12,Airlines,1718.39,
14/05/12,Airlines,691.69,
14/05/12,Airlines,773.39,
14/05/12,Airlines,1018.99,
14/05/12,Airlines,772.89,
14/05/12,Airlines,1168.70,
14/05/12,Airlines,2660.79,
14/05/12,Airlines,1644.89,
14/05/12,Airlines,1644.89,
14/05/12,Airlines,873.39,
14/05/12,Airlines,1230.86,
14/05/12,Airlines,1230.86,
14/05/12,Airlines,816.49,
14/05/12,Airlines,950.00,
14/05/12,Airlines,679.45,
14/05/12,Airlines,649.80,
14/05/12,Airlines,-2609.19,
14/05/12,Airlines,2463.42,
14/05/12,Airlines,516.40,
14/05/12,Airlines,644.89,
14/05/12,Airlines,644.89,
14/05/12,Airlines,670.49,
14/05/12,Airlines,858.99,
14/05/12,Airlines,772.39,
14/05/12,Airlines,772.39,
14/05/12,Airlines,790.69,
14/05/12,Airlines,607.39,
14/05/12,Airlines,790.69,
14/05/12,Airlines,3860.89,
14/05/12,Airlines,1245.59,
14/05/12,Airlines,1529.35,
14/05/12,Airlines,674.00,
15/05/12,Airlines,784.29,
15/05/12,Airlines,661.80,
15/05/12,Airlines,1715.50,
15/05/12,Airlines,7103.45,
15/05/12,Airlines,7103.45,
15/05/12,Airlines,531.39,
15/05/12,Airlines,1244.49,
16/05/12,Airlines,1398.29,
16/05/12,Airlines,1347.69,
16/05/12,Airlines,868.99,
16/05/12,Airlines,771.15,
16/05/12,Airlines,792.15,
16/05/12,Airlines,4786.81,
16/05/12,Airlines,1282.60,
16/05/12,Airlines,909.45,
16/05/12,Airlines,2793.19,
16/05/12,Airlines,-2799.46,
16/05/12,Airlines,826.90,
16/05/12,Airlines,667.00,
16/05/12,Airlines,4786.81,
16/05/12,Airlines,665.30,
17/05/12,Airlines,790.69,
17/05/12,Airlines,790.69,
17/05/12,Airlines,790.69,
17/05/12,Airlines,2151.19,
17/05/12,Airlines,1425.19,
17/05/12,Airlines,821.01,
17/05/12,Airlines,4118.19,
17/05/12,Airlines,1168.70,
17/05/12,Airlines,4002.19,
17/05/12,Airlines,4002.19,
17/05/12,Airlines,4002.19,
17/05/12,Airlines,4002.19,
17/05/12,Airlines,4002.19,
17/05/12,Airlines,842.79,
17/05/12,Airlines,4002.19,
17/05/12,Airlines,599.25,
17/05/12,Airlines,2172.19,
17/05/12,Airlines,1068.20,
17/05/12,Airlines,668.38,
17/05/12,Airlines,825.99,
17/05/12,Airlines,-3175.49,
17/05/12,Airlines,660.55,
17/05/12,Airlines,1231.90,
17/05/12,Airlines,1231.90,
17/05/12,Airlines,4002.19,
17/05/12,Airlines,4606.19,
17/05/12,Airlines,4606.19,
18/05/12,Airlines,738.89,
18/05/12,Airlines,738.89,
18/05/12,Airlines,530.39,
