Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,CHESHIRE FIRE AUTHORITY,2100198706,"79,388.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,CLEVELAND FIRE AUTHORITY,2100198707,"69,063.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,CORNWALL COUNTY FIRE BRIGADE,2100198708,"82,138.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,COUNCIL OF THE ISLES OF SCILLY,2100198709,"10,612.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,CUMBRIA COUNTY COUNCIL,2100198711,"73,650.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,DERBYSHIRE FIRE & RESCUE SERVICE,2100198712,"81,078.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,DEVON FIRE AUTHORITY,2100198713,"1,058,156.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,DORSET FIRE AUTHORITY,2100198714,"44,946.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,DURHAM & DARLINGTON FIRE RESCUE,2100198710,"42,246.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST SUSSEX FIRE AUTHORITY,2100198715,"43,886.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,ESSEX COUNTY FIRE & RESCUE SERVICE,2100198716,"950,339.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTERSHIRE COUNTY COUNCIL,2100198717,"123,409.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER LONDON AUTHORITY,2100198718,"4,080,738.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER MANCHESTER FIRE & RESCUE,2100198719,"114,243.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,2100198720,"1,061,733.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,HEREFORD & WORCESTER FRA,2100198721,"988,061.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTS CC FIRE & RESCUE SERVICE,2100198722,"43,886.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE FIRE BRIGADE,2100198723,"75,226.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLE OF WIGHT COUNCIL,2100198724,"42,246.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,KENT FIRE BRIGADE,2100198725,"1,055,732.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE FIRE & RESCUE,2100198726,"984,186.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICESTERSHIRE FIRE SERVICE,2100198727,"974,987.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,LINCOLNSHIRE CC FIRE & RESCUE SERV,2100198728,"947,044.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,MERSEYSIDE FIRE & RESCUE AUTHORITY,2100198729,"981,150.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,N YORKS FIRE & RESCUE AUTHORITY,2100198731,"88,363.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,NORFOLK COUNTY COUNCIL,2100198730,"950,339.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHANTS FIRE & RESCUE SERVICE,2100198732,"42,246.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,NOTTS & CITY NOTTINGHAM FIRE AUTH,2100198734,"123,409.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,OXFORDSHIRE COUNTY COUNCIL,2100198735,"71,996.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,ROYAL BERKSHIRE FIRE AUTHORITY,2100198736,"42,246.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,SHROPSHIRE & WREKIN FIRE AUTHORITY,2100198737,"42,246.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH YORKS FIRE & RESCUE,2100198738,"74,696.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,STAFFORDSHIRE FIRE & RESCUE SERVICE,2100198739,"112,418.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,SUFFOLK COUNTY COUNCIL,2100198740,"62,292.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,SURREY COUNTY COUNCIL,2100198741,"71,996.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,TYNE & WEAR FIRE & CIVIL SERVICE,2100198742,"971,691.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,WARWICKSHIRE CC,2100198743,"42,246.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST MIDLANDS FIRE & CIVIL DEFENCE,2100198744,"1,056,594.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST SUSSEX CC,2100198745,"492,881.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST YORKSHIRE FIRE SERVICE,2100198746,"1,435,681.00"
Communities & Local Government,DCLG,05/01/2011,Current (non AEF) Grants to Local Authorities,Localism,WILTSHIRE & SWINDON FIRE AUTHORITY,2100198747,"37,142.00"
Communities & Local Government,DCLG,05/01/2011,Current Grants to Non Profit Bodies,Localism,COMMUNITY DEVELOPMENT FOUNDATION,2100198691,"1,167,414.44"
Communities & Local Government,DCLG,05/01/2011,Electricity,Localism,EDF ENERGY 1 LIMITED,5106154244,"6,830.96"
Communities & Local Government,DCLG,05/01/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,LEASEHOLD ADVISORY SERVICE,2100198894,"337,666.00"
Communities & Local Government,DCLG,05/01/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,TENANT SERVICES AUTHORIT Y,2100198891,"1,700,000.00"
Communities & Local Government,DCLG,05/01/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,2100198892,"8,264,572.00"
Communities & Local Government,DCLG,05/01/2011,Management Consultancy,Localism,INTELLIGENT ADDRESSING LTD,5106153945,"13,200.00"
Communities & Local Government,DCLG,05/01/2011,Management Consultancy,Neighbourhoods,ROYAL TOWN PLANNING INSTITUTE,5106154242,"25,173.92"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON & SOMERSET POLICE AUTHORITY,5000147846,"3,097,405.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON FIRE AUTHORITY,5000147847,"1,031,898.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARKING & DAGENHAM LB,5000147853,"4,263,209.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARNSLEY MBC,5000147857,"4,558,015.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDFORDSHIRE POLICE AUTH,5000147869,"1,262,575.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDS & LUTON FIRE & RESCUE SERVICE,5000147868,"472,246.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BIRMINGHAM CITY CNCL,5000147875,"28,122,191.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKBURN WITH DARWEN BC,5000147879,"3,385,907.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKPOOL BC,5000147880,"3,392,703.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BOLTON MBC,5000147885,"5,292,088.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRADFORD MBC,5000147893,"11,280,374.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRENT LB,5000147898,"6,822,526.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRIGHTON & HOVE CITY COUNCIL,5000147904,"4,528,661.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKINGHAMSHIRE CC,5000147919,"2,470,001.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKS & MILTON KEYNES FIRE AUTH,5000147918,"474,977.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,BURY MBC,5000147924,"2,743,251.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CALDERDALE MBC,5000147925,"3,380,777.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE COUNTY CNCL,5000147931,"4,606,249.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE POLICE AUT,5000147930,"1,385,374.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBS & PETERBOROUGH FIRE AUTHORITY,5000147929,"599,074.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE FIRE AUTHORITY,5000147950,"772,344.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE POLICE AUTHORITY,5000147951,"2,343,701.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CITY OF WAKEFIELD MDC,5000148532,"5,857,935.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND FIRE AUTHORITY,5000147967,"928,329.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND POLICE AUTHORITY,5000147968,"2,071,906.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CO DURHAM & DARLINGTON FIRE SERVICE,5000148017,"602,631.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CORNWALL COUNCIL,5000148624,"8,861,604.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,COVENTRY CITY CNCL,5000147978,"6,347,077.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA COUNTY CNCL,5000147986,"5,993,665.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA POLICE AUTHORITY,5000147987,"1,512,827.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DARLINGTON BC,5000147991,"1,610,612.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBY CITY CNCL,5000147999,"4,547,927.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE COUNTYCOUNCIL,5000148002,"7,679,497.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE FIRE AUTHORITY,5000148000,"816,028.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE POLICE AUTHORITY,5000148001,"2,036,343.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & CORNWALL POLICE A,5000148005,"3,313,805.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,5000148007,"1,295,961.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON COUNTY CNCL,5000148006,"6,683,080.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DONCASTER MBC,5000148008,"5,940,273.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET COUNTY CNCL,5000148010,"2,105,022.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET FIRE AUTHORITY,5000148011,"456,301.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET POLICE AUTHORITY,5000148012,"1,043,505.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DUDLEY MBC,5000148016,"5,208,598.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM COUNTY COUNCIL,5000148628,"9,595,359.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM POLICE AUTHORITY,5000148018,"1,971,619.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,EALING LB,5000148020,"5,991,165.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST RIDING OF YORKS,5000148035,"4,203,060.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX COUNTY CNCL,5000148039,"4,152,619.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX FIRE AUTHORITY,5000148040,"608,588.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,ENFIELD LB,5000148050,"5,056,906.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX COUNTY CNCL,5000148057,"10,232,600.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX FIRE AUTHORITY,5000148058,"1,342,653.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,ESSEX POLICE AUTHORITY,5000148059,"2,961,570.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,GATESHEAD MBC,5000148074,"4,388,865.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,GLOUCESTERSHIRE COUNTY CNCL,5000148080,"4,850,982.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,GLOUCESTERSHIRE POLICE AUTHORITY,5000148081,"1,039,499.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER LONDON AUTHORITY,5000148077,"37,867,928.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER LONDON AUTHORITY-FIRE,5000148617,"10,766,401.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER MANCHESTER FIRE,5000148219,"3,124,666.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREATER MANCHESTER POL AUTH,5000148220,"9,418,874.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,GREENWICH LB,5000148089,"6,917,702.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HALTON BC,5000148095,"2,653,232.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE COUNTY COUNCIL,5000148100,"6,090,330.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,5000148101,"1,213,882.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HAMPSHIRE POLICE AUTHORITY,5000148102,"3,637,187.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARINGEY LB,5000148106,"5,998,626.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARROW LB,5000148113,"2,810,645.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HARTLEPOOL BOROUGH COUNCIL,5000148117,"2,136,993.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HEREFORD WORCESTER FIRE BRIGADE,5000148124,"442,485.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HEREFORDSHIRE DISTRICT COUNCIL,5000148126,"2,388,414.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HERTFORDSHIRE CONTY CNCL,5000148128,"7,298,520.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HERTFORDSHIRE POLICE AUTH,5000148127,"1,967,086.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HULL CITY COUNCIL,5000148171,"6,303,025.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,5000148142,"1,127,113.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,HUMBERSIDE POLICE,5000148143,"2,562,180.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,ISLE OF WIGHT CNCL,5000148150,"2,546,558.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,ISLES OF SCILLY COUNCIL,5000148153,"94,609.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,5000148164,"1,227,552.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT COUNTY CNCL,5000148163,"11,435,881.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,KENT POLICE AUTHORITY,5000148165,"3,366,838.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,KIRKLEES MBC,5000148175,"6,516,937.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,KNOWSLEY MBC,5000148177,"4,913,998.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,5000148181,"1,352,484.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE COUNTY CNCL,5000148180,"12,530,383.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LANCASHIRE POLICE AUTHORITY,5000148182,"4,017,967.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTER CITY CNCL,5000148190,"7,564,187.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTERSHIRE COUNTY CNCL,5000148193,"4,175,374.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICESTERSHIRE POLICE AUTHORITY,5000148192,"2,214,296.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEICS LEICESTERSHIRE RUTLAND CFA,5000148191,"781,420.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LEWISHAM LB,5000148197,"7,474,940.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LINCOLNSHIRE COUNTY CNCL,5000148203,"7,966,469.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LINCOLNSHIRE POLICE AUTH,5000148202,"1,059,314.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LIVERPOOL CITY COUNCIL,5000148204,"13,483,663.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF HACKNEY,5000148093,"9,123,950.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF LAMBETH,5000148179,"8,873,350.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF NEWHAM,5000148259,"9,290,081.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LONDON BOROUGH OF REDBRIDGE,5000148333,"4,065,505.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,LUTON BC,5000148206,"3,728,555.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,MANCHESTER CITY CNCL,5000148217,"14,203,359.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,MEDWAY COUNCIL,5000148224,"3,530,946.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,MERSEYSIDE FIRE & RESCUE SERVICE,5000148230,"1,920,590.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,MERSEYSIDE POLICE AUTH,5000148231,"5,679,286.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,MIDDLESBROUGH BC,5000148241,"3,468,796.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,NEWCASTLE UPON TYNE DC,5000148256,"6,924,893.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORFOLK COUNTY COUNCIL,5000148261,"9,882,001.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORFOLK POLICE AUTHORITY,5000148262,"1,566,751.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH EAST LINCOLN DC,5000148269,"3,018,393.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH TYNESIDE MBC,5000148282,"3,646,215.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE CC,5000148285,"4,328,348.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE FIRE & RESCUE AUTH,5000148286,"537,875.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTH YORKSHIRE POLICE AUTHORITY,5000148287,"1,364,413.00"
Communities & Local Government,DCLG,05/01/2011,National Non Domestic Rates (NNDR) Payments,Localism,NORTHAMPTONSHIRE COUNTY COUNCIL,5000148290,"6,392,281.00"
