Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Foreign Secretary, Rt Hon William Hague MP",4 - 7 January,"Naypyidaw & Rangoon,  Burma",Official visit ,Scheduled/Charter,8,"£11,032"
"Foreign Secretary, Rt Hon William Hague MP",17 – 24 January,"Brasilia & Rio de Janeiro, Brazil; St. George’s, Grenada",Official visit; Ministerial UK-Caribbean Forum,Scheduled/Charter,6,"£6,671"
"Foreign Secretary, Rt Hon William Hague MP",30 – 31 January,New York - USA,UN Security Council,Scheduled,,"£4,006"
"Foreign Secretary, Rt Hon William Hague MP",1 – 3 February,"Nairobi, Kenya; Mogadishu, Somalia",Official visit,Scheduled/Charter,8,"£6,160"
"Foreign Secretary, Rt Hon William Hague MP",13 – 15 February,"Cape Town, South Africa; Gaborone, Botswana",Official visit,Scheduled,,"£4,716"
"Foreign Secretary, Rt Hon William Hague MP",17-Feb,"Paris, France",UK/France Summit,Eurostar,,£490
"Foreign Secretary, Rt Hon William Hague MP",24-Feb,"Tunis, Tunisia",Friends of Syria Meeting,Scheduled,,£439
"Foreign Secretary, Rt Hon William Hague MP",27-Feb,"Brussels, Belgium",Foreign Affairs Council,Eurostar,,£790
"Foreign Secretary, Rt Hon William Hague MP",9 – 10 March,"Copenhagen,  Denmark",GYMNICH,Scheduled,,£656
"Foreign Secretary, Rt Hon William Hague MP",11 15 March,"New York &  Washington, USA",UN Security Council; official visit,Scheduled,,"£7,205"
"Foreign Secretary, Rt Hon William Hague MP",21 - 23 March,"Rome, Italy; Brussels, Belgium",Official visit; Foreign Affairs Council,Scheduled,,"£1,806"
"Foreign Secretary, Rt Hon William Hague MP",31 March – 1 April,"Istanbul,  Turkey",Friends of Syria Meeting,Scheduled,,"£1,699"
"Parliamentary Under-Secretary of State, Alistair Burt MP",8 - 11 January,"Tel Aviv, Israel and Occupied Palestinian Territories",Bilateral meetings / UK relations with Israel and Occupied Palestinian Territories,Scheduled,,£903
"Parliamentary Under-Secretary of State, Alistair Burt MP",27 January – 3 February,"Washington, Minneapolic, Houston, Washington DC, USA",Bilateral meetings / US – UK relations,Scheduled,,"£1,957"
"Parliamentary Under-Secretary of State, Alistair Burt MP",15 – 16 February 12,"Vienna, Austria",UN Afghan Counter Narcotics Conference,Scheduled,,£427
"Parliamentary Under-Secretary of State, Alistair Burt MP",5 – 6 March 12,"Sana’a, Yemen; Doha, Qatar",Bilateral meetings / UK – Qatar relations,Scheduled,,"£3,812"
"Parliamentary Under-Secretary of State, Alistair Burt MP",11 – 14 March,"Cairo, Egypt; Tunis, Tunisia",Bilateral meetings / UK – Egypt/Tunisia Relations,Scheduled,,£786
"Parliamentary Under-Secretary of State, Alistair Burt MP",25 - 29 March,"Kabul, Afghanistan",Bilateral meetings / UK - Afghan Relations,Scheduled,,"£3,541"
"Minister of State, The Rt Hon Lord Howell of Guildford",15 – 17 January,"Abu Dhabi, United Arab Emirates",World Future Energy Summit,Scheduled,,"£2,806"
"Minister of State, The Rt Hon Lord Howell of Guildford",14 – 15 February,The Vatican City,Deepen cooperation on foreign policy issues with The Holy See,Scheduled,,£336
"Parliamentary Under-Secretary of State, Henry Bellingham MP",23 January – 1 February,"Lomé, Togo; Addis Ababa, Ethiopia; Riyadh and Jeddah, Saudi Arabia; Doha, Qatar; & Abu Dhabi, United Arab Emirates","To engage with Togo as new member of Security Council, engagement with region prior to Somalia Conference",Scheduled,,"£7,809"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",04 – 06 March,"New York, USA",To chair UN meeting on Somalia,Scheduled,,"£1,947"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",23 – 29 March,"Nairobi, Kenya; Kampala, Uganda & Mogadishu, Somalia",Bilateral relations and Somalia Conference follow up,Scheduled and Charter,6,"£21,683"
"Minister of State, David Lidington MP",11 - 12  January,"Helsinki, Finland",Bilateral visit,Scheduled,,£334
"Minister of State, David Lidington MP",23 - 24 January,"Brussels, Belgium & Strasbourg, France",Foreign Affairs Council,Scheduled,,£614
"Minister of State, David Lidington MP",26 - 27 January,"Brussels, Belgium",General Affairs Council,Eurostar,,£144
"Minister of State, David Lidington MP",31 January - 1 February,"Madrid, Spain",Bilateral visit,Scheduled,,£391
"Minister of State, David Lidington MP",6 - 8 February,"Sofia, Bulgaria and Athens, Greece",Bilateral visit,Scheduled,,£474
"Minister of State, David Lidington MP",27 - 28 February,"Brussels, Belgium",General Affairs Council,Scheduled and Eurostar,,£336
"Minister of State, David Lidington MP",6 - 8 March,"Tallinn, Estonia & Riga, Latvia",Bilateral visit,Scheduled,,£488
"Minister of State, David Lidington MP",12 - 13 March,"Strasbourg, Paris, France",European Parliament and bilateral visit,Scheduled,,£707
"Minister of State, David Lidington MP",21- 22 March,"Paris, France",Bilateral visit,Eurostar,,£179
"Minister of State, David Lidington MP",25 - 26 March,"Brussels, Belgium",General Affairs Council,Scheduled and Eurostar,,£200
"Jeremy Browne MP, Minister of State",19 -23 January,"Port of Spain, Trinidad & Tobago; St. George’s, Grenada",Caribbean Forum  and Bilateral Visit,Scheduled,N/A,"£3,492"
"Jeremy Browne MP, Minister of State",12 -20 February,"Bangalore, Chennai, Hyderabad, New Delhi, India; Chicago, USA; Los Cabos, Mexico",Bilateral Visit & G20 Foreign Ministers Meeting,Scheduled,N/A,"£12,022"
"Jeremy Browne MP, Minister of State",26-27 February,"Geneva, Switzerland",Human Rights Council,Scheduled,N/A,£287
"Jeremy Browne MP, Minister of State",11-17 March,"Santiago, Chile; Bogota, Colombia; Lima, Peru",Bilateral Visit,Scheduled,N/A,"£6,445"
