For publication,,,,,,,,,,,,,,For internal use only,,,,Drop-downs,,,
,,,,,,,,,"Total cost of engaging the individual, within a range. Excludes VAT. ",,,,,,,,Key,,,,
Sponsor Department,Organisation,Job Title,Specialism,Contractual Chain - i.e. Type of organisation that payments are being made to.,"Name of company,business or other entity to which payments are made.","Address of company, business or other entity to which payments are made.","Engagement length category. Shows the current continuous engagement period, including any contract renewals.",Number of contract renewals,Lower bound,Upper bound,Payment methods,Has the contract been ended and/or the individual brought onto payroll since January 31st? Y/N,Additional comments,Unique identifier provided by Cabinet Office,"Is this individual a new addition to the list, since information was previously provided to CO/HMT? Y/N",,n/a ,,,,Data either not available or not applicable to the individual record.
Ministry of Defence,MOD,Board member,Other,Personal account,N/A,N/A,4yrs<5yrs,1,400,499,per day,N,,901,,,,Finance,6months<1yr,N,
Ministry of Defence,MOD,Board member,Other,Personal account,N/A,N/A,4yrs<5yrs,1,300,399,per day,N,,908,,,,Legal,1yr<2yrs,,
Ministry of Defence,MOD,Specialist Instructor,Other,Employment business,,,2yrs<3yrs,0,20,29,per hour,N,,904,,,,HR,2yrs<3yrs,,
Ministry of Defence,MOD,Board member,Other,Personal account,N/A,N/A,2yrs<3yrs,0,700,799,per day,N,,903,,,,Policy delivery,3yrs<4yrs,,
Ministry of Defence,MOD,Civilian Medical Practitioner,Civilian Medical Practitioner,Personal account,n/a,n/a,9yrs<10yrs,0,90,100,per hour,Y,n/a,909,N,,-,,,,Records which have not been disclosed under the Data Protection Act.
Ministry of Defence,MOD,Civilian Medical Practitioner,Civilian Medical Practitioner,Personal account,n/a,n/a,7yrs<8yrs,0,70,79,per hour,,n/a,906,,,,IT,0<6months,Y,
Ministry of Defence,MOD,Lecturer,Lecturer,Personal account,n/a,n/a,6months<1yr,5,$1500,$1599,per day,Y,n/a,900,,,,Finance,6months<1yr,N,
Ministry of Defence,MOD,Senior Project engineer,Other,Employment Business,,,2yrs<3yrs,0,50,59,hourly rate,N,,,,,,IT,0<6months,Y,
Ministry of Defence,MOD,Senior Pipeline Integrity Engineer,Other,Employment Business,,,6months<1yr,2,50,59,hourly rate,N,,,,,,Finance,6months<1yr,N,
Ministry of Defence,MOD,specialist logistics support,Other,Employment Business,,,0<6months,0,40,49,hourly rate,N,,,,,,Legal,1yr<2yrs,,
Ministry of Defence,MOD,specialist logistics support,Other,Employment Business,,,0<6months,0,50,59,hourly rate,N,,,,,,HR,2yrs<3yrs,,
Ministry of Defence,MOD,specialist logistics analyst,Other,Employment Business,,,0<6months,0,50,59,hourly rate,N,,,,,,Policy delivery,3yrs<4yrs,,
Ministry of Defence,MOD,logistics programme management,Other,Employment Business,,,0<6months,0,80,89,hourly rate,N,,,,,,Operational delivery,4yrs<5yrs,,
Ministry of Defence,MOD,Specialist nuclear project manager,Other,Employment Business,,,2yrs<3yrs,2,50,59,hourly rate,N,,,,,,Procurement and contract management,5yrs<6yrs,,
Ministry of Defence,MOD,logistics programme management,Other,Employment Business,,,2yrs<3yrs,0,70,79,hourly rate,N,,,,,,Programme and project management,6yrs<7yrs,,
Ministry of Defence,MOD,logistics programme  direction,Other,Employment Business,,,2yrs<3yrs,0,100,109,hourly rate,N,,,,,,Internal audit,7yrs<8yrs,,
Ministry of Defence,MOD,specialist engineering and technical support,Other,Employment Business,,,2yrs<3yrs,2,50,59,hourly rate,N,,,,,,Medicine,8yrs<9yrs,,
Ministry of Defence,MOD,specialist logistics analyst,Other,Employment Business,,,2yrs<3yrs,10,50,59,hourly rate,N,,,,,,Science,9yrs<10yrs,,
Ministry of Defence,MOD,logistics programme manager,Other,Employment Business,,,2yrs<3yrs,11,70,79,hourly rate,N,,,,,,Other,10yrs plus,,
Ministry of Defence,MOD,specialist transport management,Other,Employment Business,,,0<6months,9,70,79,hourly rate,N,,,,,,,0<6months ongoing,,
Ministry of Defence,MOD,logistics programme management,Other,Employment Business,,,0<6months,10,70,79,hourly rate,N,,,,,,,6months<1yr ongoing,,
Ministry of Defence,MOD,logisitcs programme direction,Other,Employment Business,,,1yr<2yrs,10,70,79,hourly rate,N,,,,,,,1yr<2yrs ongoing,,
Ministry of Defence,MOD,logistics programme direction,Other,Employment Business,,,2yrs<3yrs,12,100,109,hourly rate,N,,,,,,,2yrs<3yrs ongoing,,
Ministry of Defence,MOD,specialist logistics analyst,Other,Employment Business,,,2yrs<3yrs,11,80,89,hourly rate,N,,,,,,,3yrs<4yrs ongoing,,
Ministry of Defence,MOD,Acquisition Reform,Other,Employment Business,,,0<6months,0,1000,1009,daily rate,N,,905,,,,,4yrs<5yrs ongoing,,
Ministry of Defence,MOD,Acquisition Reform,Other,Personal account,,,1yr<2yrs,0,1000,1009,daily rate,N,,902,,,,,5yrs<6yrs ongoing,,
Ministry of Defence,Defence Science & Technology Laboratory,System Engineer - Level 5,Science,Employment Business,,,0<6months,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",485,N,,-,,,,Records which have not been disclosed under the Data Protection Act.
Ministry of Defence,Defence Science & Technology Laboratory,Commercial Officer - Level 4,Procurement and contract management,Employment Business,,,0<6months,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",486,N,,,IT,0<6months,Y,
Ministry of Defence,Defence Science & Technology Laboratory,Modelling and Simulation Expert - Level 5,Science,Employment Business,,,0<6months,0,300,399,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",487,N,,,Finance,6months<1yr,N,
Ministry of Defence,Defence Science & Technology Laboratory,Technical Architect - Level 5,Science,Employment Business,,,0<6months,0,500,599,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",488,N,,,Legal,1yr<2yrs
Ministry of Defence,Defence Science & Technology Laboratory,iSTAR Analyst - Level 5,Science,Employment Business,,,0<6months,0,500,599,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",489,N,,,HR,2yrs<3yrs
Ministry of Defence,Defence Science & Technology Laboratory,DNA Analyst - Level 5,Science,Employment Business,,,0<6months,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",490,N,,,Policy delivery,3yrs<4yrs
Ministry of Defence,Defence Science & Technology Laboratory,Associate Project Manager - Level 3,Programme and project management,Employment Business,,,0<6months,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",491,N,,,Operational delivery,4yrs<5yrs
Ministry of Defence,Defence Science & Technology Laboratory,Medical Officer - Level 7,Medicine,Personal Service Company,,,2yrs<3yrs,1,600,699,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",492,N,,,Procurement and contract management,5yrs<6yrs
Ministry of Defence,Defence Science & Technology Laboratory,Analyst Dstl Level 5,Science,Employment Business,,,0<6months,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",493,N,,,Programme and project management,6yrs<7yrs
Ministry of Defence,Defence Science & Technology Laboratory,Analyst Dstl Level 5,Science,Employment Business,,,0<6months,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",494,N,,,Internal audit,7yrs<8yrs
Ministry of Defence,Defence Science & Technology Laboratory,Technical Architect Dstl Level 5/6,Science,Employment Business,,,0<6months,0,500,599,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",495,N,,,Medicine,8yrs<9yrs
Ministry of Defence,Defence Science & Technology Laboratory,Modeller Dstl Level 4,Science,Employment Business,,,0<6months,0,300,399,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",496,N,,,Science,9yrs<10yrs
Ministry of Defence,Defence Science & Technology Laboratory,Associate Project Manager - Level 3,Programme and project management,Employment business,,,6months<1yr,1,200,299,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",497,N,,,Other,10yrs plus
Ministry of Defence,Defence Science & Technology Laboratory,Systems Architect - Level 7,Science,Employment business,,,6months<1yr,1,700,799,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",498,N,,,,0<6months ongoing
Ministry of Defence,Defence Science & Technology Laboratory,Project Support - Level 5,Science,Employment business,,,6months<1yr,1,400,499,per day,y - expired 31/3/12,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",499,N,,,,6months<1yr ongoing
Ministry of Defence,Defence Science & Technology Laboratory,Fusion Expert - Level 6,Science,Employment business,,,6months<1yr,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",500,N,,,,1yr<2yrs ongoing
Ministry of Defence,Defence Science & Technology Laboratory,Project Support - Level 5,Science,Employment business,,,6months<1yr,1,600,699,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",501,N,,,,2yrs<3yrs ongoing
Ministry of Defence,Defence Science & Technology Laboratory,Software Expert - Level 7,Science,Employment business,,,6months<1yr,1,600,699,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",502,N,,,,3yrs<4yrs ongoing
Ministry of Defence,Defence Science & Technology Laboratory,Project Manager - Level 5,Programme and project management,Employment business,,,3yrs<4yrs,5,600,699,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",503,N,,,,4yrs<5yrs ongoing
Ministry of Defence,Defence Science & Technology Laboratory,Software Developer - Level 5,Science,Employment business,,,6months<1yr,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",504,N,,,,5yrs<6yrs ongoing
Ministry of Defence,Defence Science & Technology Laboratory,Software Developer - Level 5,Science,Employment business,,,6months<1yr,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",505,N,,,,6yrs<7yrs ongoing
Ministry of Defence,Defence Science & Technology Laboratory,Commercial Officer - Level 5,Procurement and contract management,Employment business,,,0<6months,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",506,N,,,,7yrs<8yrs ongoing
Ministry of Defence,Defence Science & Technology Laboratory,"L5 
Project Manager",Programme and project management,Employment business,,,6months<1yr,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",507,N,,,,8yrs<9yrs ongoing
Ministry of Defence,Defence Science & Technology Laboratory,"L5 
Project Manager",Programme and project management,Employment business,,,6months<1yr,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",508,N,,,,9yrs<10yrs ongoing
Ministry of Defence,Defence Science & Technology Laboratory,"L5 
Project Manager",Programme and project management,Employment business,,,6months<1yr,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",509,N,,,,
Ministry of Defence,Defence Science & Technology Laboratory,"L3
Associate Project Manager",Programme and project management,Employment business,,,6months<1yr,0,300,399,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",510,N,,,,
Ministry of Defence,Defence Science & Technology Laboratory,"L3
Associate Project Manager",Programme and project management,Employment business,,,6months<1yr,0,300,399,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",511,N,,,,
Ministry of Defence,Defence Science & Technology Laboratory,"L5 
Project Manager",Programme and project management,Employment business,,,0<6months,0,400,499,per day,N,"All contracts have been approved by the Dept Manager, Two Directors and the Chief Executive

Payment is made after a Time Sheet is approved by the Hiring Manager

Contracts are reviewed c.1 month prior to the end date",512,N,,,,
