"PERMANENT SECRETARY (4*CIVILIANS) MEETINGS WITH EXTERNAL ORGANISATIONS(INCLUDING MEETINGS WITH PROPRIETORS, EDITORS AND SENIOR MEDIA EXECUTIVES)",,,
1 OCTOBER – 31 DECEMBER 2011,,,

,Date of Meeting ,Name of External Organisation,Purpose of Meeting  
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Oct-11,BAES,Routine
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Dec-11,NEAB,Routine
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Dec-11,Ernst & Young,Routine
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Dec-11,Guardian,Phone interview
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Dec-11,BAES,Routine
Mr Bernard Gray – Chief of Defence Materiel,Oct-11,Marshalls of Cambridge,General discussions during visit to site
Mr Bernard Gray – Chief of Defence Materiel,Oct-11,BAES,General discussions on BAES Maritime reorganisation
Mr Bernard Gray – Chief of Defence Materiel,Nov-11,Cohort PLC,General discussion on future engagements
Mr Bernard Gray – Chief of Defence Materiel,Nov-11,BAES,General discussions on Air Sector Strategy & rationalisation efforts
Mr Bernard Gray – Chief of Defence Materiel,Nov-11,CH2M Hill Inc,General discussion on Materiel Strategy
Mr Bernard Gray – Chief of Defence Materiel,Nov-11,Rolls Royce,General discussion
Mr Bernard Gray – Chief of Defence Materiel,Nov-11,KBR,General discussions
Mr Bernard Gray – Chief of Defence Materiel,Dec-11,Rolls Royce,General discussions
Mr Bernard Gray – Chief of Defence Materiel,Dec-11,Marshalls of Cambridge,General discussions

"Note: Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments. ",,,
