Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,13762,13160,7520,7341,12536,12330,2108,2084,229,227,15857,15406,52012,50547,1062,1020,81,78,155,155,44,44,1342,1297,53354,51844,"£120,878,000",£0,£0,"£4,383,000","£26,989,000","£9,807,000","£162,057,000","£4,139,000","£479,000","£4,618,000","£166,675,000",.,
Defence Support Group,Executive Agency,Ministry of Defence,527,509,"1,623","1,610",252,248,60,60,5,5,59,59,"2,526","2,491",219,217,8,7,0,0,0,0,227,224,"2,753","2,715","£5,161,697","£415,693",£0,"£403,805","£962,332","£460,341","£7,403,869","£640,828","-£12,714","£628,113","£8,031,982",.,
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,246,243,284,272,"1,907","1,856","1,307","1,254",31,28,0,0,"3,775","3,653",2,2,0,0,173,162,2,1,177,165,"3,952","3,818","£10,500,222","£105,504",£0,"£321,924","£2,049,837","£955,140","£13,932,627","£1,107,717","£1,414","£1,109,131","£15,041,758",31/07/2012,FTE & HC SCS include Dstl Level 9
UK Hydrographic Office,Executive Agency,Ministry of Defence,171,161,422,387,437,414,74,72,2,2,6,6,"1,112","1,043",22,20,0,0,105,102,0,0,127,123,"1,239","1,165","£2,518,874","£64,875",£0,"£65,826","£489,746","£206,598","£3,345,918","£896,558",£0,"£896,558","£4,242,476",.,
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,180,174,0,0,0,0,0,0,0,0,0,0,180,174,0,0,0,0,0,0,2,0,2,0,182,174,"£334,700","£7,045",£0,"£15,787","£16,499","£31,553","£405,584",£0,"£1,300","£1,300","£406,884",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
National Museum of the Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,23,23,1,1,3,3,1,1,1,1,0,0,29,29,0,0,0,0,0,0,0,0,0,0,29,29,"£66,840",£936,£0,"£1,843","£7,288","£6,316","£83,223",£0,£0,£0,"£83,223",4 new employees in July2012,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,0,0,3,3,4,4,1,1,49,46,58,55,2,2,0,0,1,1,0,0,3,3,61,58,"£152,934","£12,143",£0,£371,"£30,321","£11,766","£207,534","£9,593",£0,£0,"£217,127",.,
