"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Communities and Local Government","The Planning Inspectorate","Casework","PINS04","AA","16199","17198","Administrator","35.05","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Casework","PINS04","AO","19042","20512","Case Officer","83.03","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Casework","PINS04","AA","16199","17198","Not In Post","0.43","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Casework","PINS04","EO","23686","25589","Not In Post","0.80","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Casework","PINS04","AD","75432","75432","Operational Manager","2.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework","PINS04","HPI","39149","47501","Planning Inspector","53.11","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework","PINS04","SHPI","50557","60670","Senior Planning Inspector","90.74","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework","PINS04","PHPI","65416","71957","Principal Planning Inspector","15.75","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework","PINS04","PA","19042","20512","Secretary","3.81","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Casework","PINS04","HEO","29539","32406","Section Manager","10.86","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Casework","PINS04","EO","23686","25589","Team Manager","27.44","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS01","SPS","23686","25589","Secretary","1.00","Other"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","AA","16199","17198","Administrator","4.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","AO","19042","20512","Administrator","10.62","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","Grade 7","48647","55618","Head of Branch","2.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","AA","16199","17198","Not In Post","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","HEO","29539","32406","Not In Post","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","Grade 6","57500","68293","Operational Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","AD","75432","75432","Operational Manager","1.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","HPI","39149","47501","Planning Inspector","2.75","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","SHPI","50557","60670","Senior Planning Inspector","21.86","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","PHPI","65416","71957","Principal Private Secretary","3.42","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","PO","23686","25589","Planning Officer","4.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","HPO","29539","32406","Planning Officer","4.81","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","SEO","36653","40659","Planning Officer","1.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","PO","23686","25589","Secretary","2.04","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","HEO","29539","32406","Section Manager","3.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","SEO","36653","40659","Section Manager","3.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Development Plans, Policy and Quality","PINS02","EO","23686","25589","Team Manager","17.49","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Finance, Resource and Business Planning","PINS03","AA","16199","17198","Administrator","2.54","Other"
"Department for Communities and Local Government","The Planning Inspectorate","Finance, Resource and Business Planning","PINS03","AO","19042","20512","Administrator","3.54","Other"
"Department for Communities and Local Government","The Planning Inspectorate","Finance, Resource and Business Planning","PINS03","HEO","29539","32406","Charting Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Finance, Resource and Business Planning","PINS03","SEO","36653","40659","Charting Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Finance, Resource and Business Planning","PINS03","AO","19042","20512","Chart Officer","11.96","Operational Delivery"
