Minister,Date,Name of External Organisation,Purpose of meeting
"Foreign Secretary, Rt Hon William Hague MP",April,International Committee of the Red Cross,Foreign affairs
"Foreign Secretary, Rt Hon William Hague MP",April,British Overseas Aid Group,Foreign affairs
"Foreign Secretary, Rt Hon William Hague MP",April,CBI,To discuss UK business opportunities overseas
"Foreign Secretary, Rt Hon William Hague MP",April,International Crisis Group,Foreign affairs
"Foreign Secretary, Rt Hon William Hague MP",May,Global Leadership Foundation,Foreign affairs
"Foreign Secretary, Rt Hon William Hague MP",June,Board of Deputies of British Jews,To discuss the Middle East
"Foreign Secretary, Rt Hon William Hague MP",June,Organisation of Islamic Co-operation,Foreign affairs
"Foreign Secretary, Rt Hon William Hague MP",June,"Lord Patten of Barnes - Chairman, BBC Trust",To discuss the BBC World Service
"Minister of State, Jeremy Browne MP",April,The Times,To discuss foreign policy and political developments
"Minister of State, Jeremy Browne MP",April,Hong Kong Economic & Trade Office,To discuss Hong Kong trade issues
"Minister of State, Jeremy Browne MP",April,Human Rights Advisory Group,To launch FCO Human Rights Command Paper
"Minister of State, Jeremy Browne MP",April,UK-Japan 21st Century Group,General discussion
"Minister of State, Jeremy Browne MP",May,Global Networks Initiative,To discuss freedom of information
"Minister of State, Jeremy Browne MP",June,Human Rights Advisory Group,Regular meeting of the Human Rights Advisory Group
"Minister of State, Jeremy Browne MP",June,"Business brief on China: China-Britain Business Council, British Sugar, Jardine Matheson, Lawson Dodd, Albany Capital, Rosenblatt Solicitors",To discuss business in China
"Minister of State, Jeremy Browne MP",June,Human Rights Advisory Group Torture Prevention Sub Group,To discuss Torture Prevention
"Minister of State, Jeremy Browne MP",June,"Business brief on Korea: Rolls Royce, Tesco, AMEC, AstraZeneca, BSI, VT, Intelligent Energy",To discuss business in Korea
"Minister of State, David Liddington MP",May,Members of the Lord Slynn Foundation,Discuss judicial issues in Central and Eastern Europe
"Minister of State, David Liddington MP",June,"Peter Horrocks, BBC World Service",Discuss BBC World Service
"Minister of State, David Liddington MP",June,Mark Thompson – BBC,Discuss BBC World Service
"Minister of State, David Liddington MP",June,Members of the Centre for European Reform,To discuss European Neighbourhood Policy
"Minister of State, David Liddington MP",June,London Review of Books,BBC World Service
"Minister of State, David Liddington MP",June,Delegation from the NGO “Index of Censorship in Belarus”,To discuss situation in Belarus
"Minister of State, The Rt Hon Lord Howell of Guildford",April,Oil and Energy Committee and Iraqi Council Representatives,Discussion of international energy issues
"Minister of State, The Rt Hon Lord Howell of Guildford",April,Council of the Commonwealth Lawyers’ Association,Discussion of Commonwealth related issues
"Parliamentary Under-Secretary of State, Henry Bellingham MP",May,Lonmin,To discuss business activities in South Africa
"Parliamentary Under-Secretary of State, Henry Bellingham MP",May,Oliver Laws Ltd,To discuss Zimbabwe
"Parliamentary Under-Secretary of State, Henry Bellingham MP",May,Ivor Caplin,To discuss Africa business projects
"Parliamentary Under-Secretary of State, Henry Bellingham MP",June,Jonathan Allen and Associates Ltd,To discuss Sierra Leone
"Parliamentary Under-Secretary of State, Henry Bellingham MP",June,South Africa-UK Bilateral Forum,To attend business delegation event
"Parliamentary Under-Secretary of State, Henry Bellingham MP",June,UK-Ethiopia Investment Trade and Tourism Forum,To open the forum
"Parliamentary Under-Secretary of State, Henry Bellingham MP",June,UK-China dialogue,To discuss Africa
"Parliamentary Under-Secretary of State, Henry Bellingham MP",June,Global Witness,To discuss Zimbabwe and Kimberley Process
"Parliamentary Under-Secretary of State, Henry Bellingham MP",July,Shell,To discuss Piracy
"Parliamentary Under-Secretary of State, Henry Bellingham MP",June,Bermuda Society and Secretariat,To discuss Bermuda
"Parliamentary Under-Secretary of State, Henry Bellingham MP",June,Commonwealth Business Council,To open event on SADAC Integration and Drivers of Growth
"Parliamentary Under-Secretary of State, Henry Bellingham MP",June,Lynceus Group,To discuss conflict minerals
"Parliamentary Under-Secretary of State, Alistair Burt MP",May,"Eyewitness – Libya, Islamic Relief, Arabic Press Human Rights Watch, Amnesty International",To hear first hand the experiences of those in Tripoli
"Parliamentary Under-Secretary of State, Alistair Burt MP",May,Pakistan religious groups,Open discussion
"Parliamentary Under-Secretary of State, Alistair Burt MP",May,"Eyewitness – Libya, Islamic Relief, Arabic Press Human Rights Watch, Amnesty International",Video links with groups in Libya
"Parliamentary Under-Secretary of State, Alistair Burt MP",June,Human Rights Watch,Arab spring
"Parliamentary Under-Secretary of State, Alistair Burt MP",June,"Eyewitness – Libya, Islamic Relief, Arabic Press Human Rights Watch, Amnesty International",Video links with groups in Libya
