MINISTERIAL INFORMATION 1 JANUARY - 31 MARCH 2012,,,,,,,

OVERSEAS TRAVEL ,,,,,,,


Minister,,Destination  ,Dates ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ",Total cost including travel and accommodation of Minister only
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,"Washington, US",4-6 Feb 12,Bilaterals,Scheduled,N/A,"£3,457"
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,"Brussels, Belguim",03-Feb-12,NATO Defence Ministerial,No 32,4,"£1,146"
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,"Munich, Germany",04-Feb-12,Munich Security Conference,No. 32,3,Travel from Brussels to Munich paid for by German Government
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,"Paris, France",17-Feb-12,Anglo-French Summit,Eurostar,N/A,£465
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,Kazakhstan & Uzbekistan,26-28 Feb 12,Bilaterals,Scheduled,4,"£5,553"
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,Abu Dhabi,11-12 Mar 12,Bilaterals,Scheduled,N/A,"£2,695"
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,Afghanistan,27-30 Mar,Visit to British Forces ,Scheduled and Other RAF,N/A,"£5,318"
"Minister of State Armed forces, Nick Harvey MP",,Afghanistan,27-29 Feb 12,Visit British Forces,Scheduled ,N/A,"£2,294"
"Minister of State Armed forces, Nick Harvey MP",,Tajikistan/ Krygyzstan,1-3 Feb 12,Bilateral Meetings with their Governments,No 32,4,"£5,135"
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",,Bahrain,27 Feb – 1 Mar 12,Visit to Overseas Forces ,Scheduled,N/A,"£2,294"
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",,Paris & Bordeaux,14-16 Mar 12,Paris + Bordeaux,Scheduled,N/A,"£1,066"
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",,Paris,20-21 Mar 12,Paris,Scheduled,N/A,£490
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP -",,None,None ,N/A,N/A,N/A,N/A
"Minister for International Security Strategy, Gerald Howarth MP",,Norway,9-11 Jan 12,Conducted bilaterals Visit,Scheduled,N/A,£713
"Minister for International Security Strategy, Gerald Howarth MP",,India,5-11 Feb 12,To attend a Trade Mission,Scheduled,N/A,"£3,790"
"Minister for International Security Strategy, Gerald Howarth MP",,Bahrain,21-23 Feb 12,Operational visit,Scheduled,N/A,"£2,294"
"Minister for International Security Strategy, Gerald Howarth MP",,"Brussels, Belguim",15-Mar-12,Visit to NATO,Eurostar,N/A,£494
"Minister for International Security Strategy, Gerald Howarth MP",,"Brussels, Belguim",21-22 Mar 12,Foreign Affairs Council ,Eurostar,N/A,£490
"Minister for International Security Strategy, Gerald Howarth MP",,India,27-30 Mar 12,Defence Expo Exhibition,Scheduled,N/A,"£2,547"
"Under-Secretary of State and the Lords spokesman on Defence (USofS), Lord Astor of Hever DL",,Oman,06 – 09 January 2012,Defence Diplomacy,Scheduled,N/A,"£2,201"
"Under-Secretary of State and the Lords spokesman on Defence (USofS), Lord Astor of Hever DL",,Bahrain,18 – 20 January 2012,Bahrain International Air Show and Defence Diplomacy,Scheduled,N/A,"£2,294"
"Under-Secretary of State and the Lords spokesman on Defence (USofS), Lord Astor of Hever DL",,Indonesia,20 – 23 March 2012,Jakarta International Defence Dialogue and Defence Diplomacy,Scheduled,N/A,"£2,717"
