Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Defence Operational Capability,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Deputy Chief of Defence Staff Operations 1055689,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Deputy Chief of Defence Staff Operations 1055690,C2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Deputy Chief of Defence Staff Operations 1055691,OR6,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Director International Acquisition Policy 00167105,Band D,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Director International Security Policy 00141691,C2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Director Judicial Engagement Policy 00188553,C FS,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Director Judicial Engagement Policy 00188553,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Director Operational Policy 00142008,C1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Director Operational Policy 00142008,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662, B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662, B2,,,,2,,,,,,0
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662, C1,,,,5,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662, C2,,,,4,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662, E1,,,,4,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662, E2,,,,1,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662,C(FS),,,,2,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662,Band D,,,,3,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662,OF3,,,,5,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662,OF4,,,,6,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662,OF5,,,,2,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662,OR1,,,,3,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662,OR3,,,,1,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662,OR4,,,,1,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662,OR6,,,,6,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662,OR7,,,,10,,,,,,71731.98
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Arms Control & Proliferation 00142662,OR9,,,,5,,,,,,71731.98
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,"Head Chemical,Biological,Radiological & Nuclear Policy 1121412", B1,,,,1,,,,,,71731.98
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,"Head Chemical,Biological,Radiological & Nuclear Policy 1121412", B2,,,,3,,,,,,71731.98
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,"Head Chemical,Biological,Radiological & Nuclear Policy 1121412", C1,,,,4,,,,,,71731.98
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,"Head Chemical,Biological,Radiological & Nuclear Policy 1121412", E1,,,,1,,,,,,71731.98
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,"Head Chemical,Biological,Radiological & Nuclear Policy 1121412",Band D,,,,1,,,,,,71731.98
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,"Head Chemical,Biological,Radiological & Nuclear Policy 1121412",OF2,,,,3,,,,,,71731.98
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,"Head Chemical,Biological,Radiological & Nuclear Policy 1121412",OF3,,,,2,,,,,,71731.98
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,"Head Chemical,Biological,Radiological & Nuclear Policy 1121412",OF4,,,,3,,,,,,"?645,588"
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,"Head Chemical,Biological,Radiological & Nuclear Policy 1121412",OF5,,,,1,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,"Head Chemical,Biological,Radiological & Nuclear Policy 1121412",OR4,,,,1,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,"Head Chemical,Biological,Radiological & Nuclear Policy 1121412",OR6,,,,2,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Acquisition Policy 00135042, B1,,,,2,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Acquisition Policy 00135042, B2,,,,1,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Acquisition Policy 00135042, C1,,,,3,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Acquisition Policy 00135042,OF4,,,,1,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Policy & Planning  00142856/1561030, C1,,,,11,,,,,,
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Policy & Planning  00142856/1561030, C2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Policy & Planning  00142856/1561030, E1,,,,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Policy & Planning  00142856/1561030,B1,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Policy & Planning  00142856/1561030,B2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Policy & Planning  00142856/1561030,Band D,,,,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Policy & Planning  00142856/1561030,OF3,,,,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Policy & Planning  00142856/1561030,OF4,,,,16
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Policy & Planning  00142856/1561030,OF5,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head International Policy & Planning  00142856/1561030,OR4 ,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Joint Capability  1055731, B1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Joint Capability  1055731, B2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Joint Capability  1055731, C1,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Joint Capability  1055731, C2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Joint Capability  1055731, E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Joint Capability  1055731,OF3,,,,10
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Joint Capability  1055731,OF4,,,,15
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Joint Capability  1055731,OF5,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Joint Capability  1055731,OR4,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Joint Capability  1055731,OR6,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Judicial Reviews & Defence Inquests Unit 00170603, B2,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Judicial Reviews & Defence Inquests Unit 00170603, C1,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Judicial Reviews & Defence Inquests Unit 00170603, C2,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Judicial Reviews & Defence Inquests Unit 00170603, E1,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Judicial Reviews & Defence Inquests Unit 00170603,Band D,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Judicial Reviews & Defence Inquests Unit 00170603,OF4,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Judicial Reviews & Defence Inquests Unit 00170603,OF5,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Judicial Reviews & Defence Inquests Unit 00170603,OR6,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head NATO & Europe Policy 00148649,B2,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head NATO & Europe Policy 00148649,C(FS),,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head NATO & Europe Policy 00148649,C1,,,,10
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head NATO & Europe Policy 00148649,C2,,,,9
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head NATO & Europe Policy 00148649,Band D,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head NATO & Europe Policy 00148649,E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head NATO & Europe Policy 00148649,EX OFF,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head NATO & Europe Policy 00148649,OF3,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head NATO & Europe Policy 00148649,OF4,,,,8
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head NATO & Europe Policy 00148649,OF5,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Policy & Disclosure Co-ordination 00189101, B1,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Policy & Disclosure Co-ordination 00189101, B2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Policy & Disclosure Co-ordination 00189101, C1,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Policy & Disclosure Co-ordination 00189101, C2,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Policy & Disclosure Co-ordination 00189101, E1,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Policy & Disclosure Co-ordination 00189101,Band D,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Public Inquiries 00180361, B2,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Public Inquiries 00180361, C2,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Public Inquiries 00180361, E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Public Inquiries 00180361,Band D,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Targeting & Information Operations   1570344, C1,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Targeting & Information Operations   1570344, C2,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Targeting & Information Operations   1570344, E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Targeting & Information Operations   1570344,Band D,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Targeting & Information Operations   1570344,OF3,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Targeting & Information Operations   1570344,OF4,,,,8
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Targeting & Information Operations   1570344,OF5,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Targeting & Information Operations   1570344,OR4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Head Targeting & Information Operations   1570344,OR6,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Afghanistan Policy 00142227, B2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Afghanistan Policy 00142227, C1,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Afghanistan Policy 00142227, C2,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Afghanistan Policy 00142227,Band D,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951, C1,,,,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951, C2,,,,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951, E1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951,OF2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951,OF3,,,,6
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951,OF4,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951,OF5,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951,OR2,,,,14
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951,OR3,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951,OR4,,,,17
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951,OR6,,,,15
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951,OR7,,,,8
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Operations 1586951,OR9,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Policy 00143581, B2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Policy 00143581, C1,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Counter-Terrorism and UK Policy 00143581, C2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head of Special Forces & Legal Policy 00184000, B2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head of Special Forces & Legal Policy 00184000, C1,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head of Special Forces & Legal Policy 00184000, C2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head of Special Forces & Legal Policy 00184000,OF3,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head of Special Forces & Legal Policy 00184000,OF4,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head of Special Forces & Legal Policy 00184000,OR6,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Overseas Operations 1055711, B2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Overseas Operations 1055711, C1,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Overseas Operations 1055711, C2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Overseas Operations 1055711, E1,,,,3
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Overseas Operations 1055711,OF3,,,,9
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Overseas Operations 1055711,OF4,,,,10
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Overseas Operations 1055711,OF5,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Overseas Operations 1055711,OR4,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,Operations Directorate - Head Overseas Operations 1055711,OR7,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,5654,B1,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,5654,B2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,5654,C2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,5654,E1,,,,4
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105227,B1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105227,D,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105227,E1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106696,B1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106696,B2,,,,5
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106696,C1,,,,7
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106696,C2,,,,7
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106696,D,,,,8
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106696,E1,,,,8
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106696,E2,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106696,E2 (PT),,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106696,OF4,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,109715,B2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,109715,C1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,109715,D,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,109715,OF2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,109715,OF3,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,109715,OF5,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,109715,OR2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,109715,OR7,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178009,D,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178009,E1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178009,OF2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178009,OF5,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178009,OR2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178009,OR6,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178009,OR9,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178681,B2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178681,C1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178681,C2,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178681,C2 (MSF),,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178681,D,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178681,E1,,,,6
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178681,OF4,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178681,OF5,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,178681,OR6,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,100916,Ch Insp MDP,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100916,E1,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,ACC MDP,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,B2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,C1,,,,16
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,C2,,,,43
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,Ch Insp MDP,,,,70
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,Ch Supt MDP,,,,6
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,CSO1,Not Known,Not Known,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,CSO2,Not Known,Not Known,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,CSO3,Not Known,Not Known,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,CSO4,Not Known,Not Known,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,Band D,,,,51
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,E1,,,,148
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,E2,,,,15
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,Ind,Not Known,Not Known,,37
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,Insp MDP,,,,141
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,PC MDP,,,,2661
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,PSgt MDP,,,,503
Ministry of Defence,Ministry of Defence,Central Top Level Budget,100919,Supt MDP,,,,30
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104017,B1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104017,C1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104017,C2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104018,B1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104018,B2,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104018,C1,,,,6
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104018,Band D,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104025,B1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104025,B2,,,,6
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104025,C1,,,,18
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104025,C2,,,,181
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104025,Band D,,,,48
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104025,E1,,,,131
Ministry of Defence,Ministry of Defence,Central Top Level Budget,104025,E2,,,,65
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,B1,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,B2,,,,13
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,B2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,C1,,,,64
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,C1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,C1,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,C2,,,,170
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,C2,,,,10
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,C2,,,,7
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,Band D,,,,184
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,Band D,,,,16
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,Band D,,,,22
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,E1,,,,329
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,E1,,,,19
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,E1,,,,86
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,E2,,,,26
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,E2,,,,4
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,E2,,,,19
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,SZ1,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,105236,SZ3,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106838,B1,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106838,B2,,,,8
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106838,C1,,,,16
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106838,C2,,,,12
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106838,Band D,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,106838,E1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,108754,B1,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,108754,B2,,,,8
Ministry of Defence,Ministry of Defence,Central Top Level Budget,108754,C1,,,,12
Ministry of Defence,Ministry of Defence,Central Top Level Budget,108754,C2,,,,7
Ministry of Defence,Ministry of Defence,Central Top Level Budget,108754,Band D,,,,4
Ministry of Defence,Ministry of Defence,Central Top Level Budget,108754,E1,,,,4
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111789,C1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111789,D,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111791,B2,,,,4
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111791,C1,,,,10
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111791,C2,,,,7
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111791,Band D,,,,4
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111791,E1,,,,4
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111791,OF3,,,,7
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111791,OF5,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111791,OR6,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111791,Spt MDP,Not Known,Not Known,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111792,B1,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111792,B2,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111792,B2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111792,C1,,,,7
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111792,C2,,,,11
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111792,Band D,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111792,E1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111792,OF4,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,B2,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,C1,,,,15
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,C2,,,,57
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,Band D,,,,7
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,E1,,,,10
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,OF2,,,,8
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,OF3,,,,8
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,OF4,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,OR4,,,,5
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,OR6,,,,2
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,OR7,,,,6
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111794,OR8,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111800,B2,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111800,C1,,,,1
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111800,C2,,,,3
Ministry of Defence,Ministry of Defence,Central Top Level Budget,111800,Band D,,,,9
