Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",06 November 2010 – 11 November 2010,"China, Beijing",UK-China Summit,Scheduled,,"4,056"
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",24 November 2010 – 26 November 2010,"Russia, Moscow","Knowledge Partnership Round Table, Speech on the UK’s Prosperity Agenda plus various Ministerial meetings",Scheduled,,862
"Minister of State (Universities and Science), Rt Hon David Willetts MP",10 November 2010 – 17 November 2010,"India, Bangalore/New Delhi/Pune",To lead a delegation of Vice Chancellors to strengthen links between British and India in Education and Scientific Research,Scheduled,,2702
"Minister of State (Universities and Science), Rt Hon David Willetts MP",26-Nov-10,"Belgium, Brussels",EU Competitiveness Council,Eurostar,,299
"Minister of State (Universities and Science), Rt Hon David Willetts MP",10 December 2010 – 11 December 2010,"Sweden, Stockholm",Nobel prize ceremony for Science prizes,Scheduled,,329
"Minister of State (Business and Enterprise), Mark Prisk MP",4-Nov-10,"France, Paris",Sign Memorandum of Understanding with Chinese Government,Eurostar,,300
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",06 December 2010 – 07 December 2010,"Belgium, Bruges",EU Informal Council on Vocational Education and training,  Eurostar,,500
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",05 October 2010 – 06 October 2010,"Germany, Berlin",Meetings with Ministers and officials,Scheduled,,264
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ",10-Nov-10,"Belgium, Brussels",EU Competitiveness Council,Eurostar,,174
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ",09 December 2010 – 10 December 2010,"Belgium, Brussels",EU Competitiveness Council,Eurostar,,204
