Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Ministry of Defence,Ministry of Defence,09/07/2010,Fees for professional services,Land Forces,A.A. SECURITIES LIMITED,660598,28362.88
Ministry of Defence,Ministry of Defence,01/07/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,656869,1282.15
Ministry of Defence,Ministry of Defence,01/07/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,656869,31.08
Ministry of Defence,Ministry of Defence,01/07/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,656869,808.79
Ministry of Defence,Ministry of Defence,01/07/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,656869,5161.27
Ministry of Defence,Ministry of Defence,01/07/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,656869,29229.03
Ministry of Defence,Ministry of Defence,01/07/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,656869,940.64
Ministry of Defence,Ministry of Defence,02/07/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,657447,1.81
Ministry of Defence,Ministry of Defence,02/07/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,657447,781.6
Ministry of Defence,Ministry of Defence,02/07/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,657447,14043.61
Ministry of Defence,Ministry of Defence,02/07/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,657447,15481.21
Ministry of Defence,Ministry of Defence,02/07/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,657447,95.34
Ministry of Defence,Ministry of Defence,05/07/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,658185,3609.63
Ministry of Defence,Ministry of Defence,05/07/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,658185,946.12
Ministry of Defence,Ministry of Defence,05/07/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,658185,5039.99
Ministry of Defence,Ministry of Defence,05/07/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,658185,17212.8
Ministry of Defence,Ministry of Defence,05/07/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,658185,34723.54
Ministry of Defence,Ministry of Defence,05/07/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,658185,2452.77
Ministry of Defence,Ministry of Defence,06/07/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,658765,1620.4
Ministry of Defence,Ministry of Defence,06/07/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,658765,588.85
Ministry of Defence,Ministry of Defence,06/07/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,658765,11114.11
Ministry of Defence,Ministry of Defence,06/07/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,658765,38408.97
Ministry of Defence,Ministry of Defence,06/07/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,658765,6534.11
Ministry of Defence,Ministry of Defence,07/07/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,659235,11162.65
Ministry of Defence,Ministry of Defence,07/07/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,659235,975.97
Ministry of Defence,Ministry of Defence,07/07/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,659235,113.4
Ministry of Defence,Ministry of Defence,07/07/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,659235,12639.2
Ministry of Defence,Ministry of Defence,07/07/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,659235,67411.4
Ministry of Defence,Ministry of Defence,07/07/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,659235,1606.55
Ministry of Defence,Ministry of Defence,08/07/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,659947,1982.26
Ministry of Defence,Ministry of Defence,08/07/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,659947,446.55
Ministry of Defence,Ministry of Defence,08/07/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,659947,8840.88
Ministry of Defence,Ministry of Defence,08/07/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,659947,10200.17
Ministry of Defence,Ministry of Defence,08/07/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,659947,1773.64
Ministry of Defence,Ministry of Defence,09/07/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,660600,1703.98
Ministry of Defence,Ministry of Defence,09/07/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,660600,888.26
Ministry of Defence,Ministry of Defence,09/07/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,660600,1431.99
Ministry of Defence,Ministry of Defence,09/07/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,660600,14470.61
Ministry of Defence,Ministry of Defence,09/07/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,660600,27010.23
Ministry of Defence,Ministry of Defence,09/07/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,660600,4472.53
Ministry of Defence,Ministry of Defence,12/07/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,661248,5951.54
Ministry of Defence,Ministry of Defence,12/07/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,661248,184.6
Ministry of Defence,Ministry of Defence,12/07/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,661248,1244.61
Ministry of Defence,Ministry of Defence,12/07/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,661248,7012.63
Ministry of Defence,Ministry of Defence,12/07/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,661248,39461.71
Ministry of Defence,Ministry of Defence,12/07/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,661248,5470.58
Ministry of Defence,Ministry of Defence,13/07/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,661906,8033.69
Ministry of Defence,Ministry of Defence,13/07/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,661906,1183.45
Ministry of Defence,Ministry of Defence,13/07/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,661906,1457.65
Ministry of Defence,Ministry of Defence,13/07/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,661906,10217.08
Ministry of Defence,Ministry of Defence,13/07/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,661906,17556.04
Ministry of Defence,Ministry of Defence,13/07/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,661906,637.14
Ministry of Defence,Ministry of Defence,14/07/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,662561,1695.65
Ministry of Defence,Ministry of Defence,14/07/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,662561,137.29
Ministry of Defence,Ministry of Defence,14/07/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,662561,-55.4
Ministry of Defence,Ministry of Defence,14/07/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,662561,16245.54
Ministry of Defence,Ministry of Defence,14/07/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,662561,26136.42
Ministry of Defence,Ministry of Defence,14/07/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,662561,888.9
Ministry of Defence,Ministry of Defence,15/07/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,663317,1390.23
Ministry of Defence,Ministry of Defence,15/07/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,663317,1033.04
Ministry of Defence,Ministry of Defence,15/07/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,663317,7790.74
