MINISTERIAL HOSPITALITY INFORMATION ,,,
1 APRIL-30 JUNE 2012,,,

Minister,Date of hospitality,Name of organisation ,Type of hospitality received
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",16-May-12,CBI Annual Dinner,Dinner
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",28-May-12,Associated Newspapers & Independent,Lunch 
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",11-Jun-12,Federation of Small Businesses,Reception
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",13-Jun-12,Enterprise Forum Dinner,Dinner
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",20-Jun-12,Atlantic Partnership,Breakfast
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",21-Jun-12,Woodroffes,Lunch
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",27-Jun-12,Policy Exchange ,Breakfast
"Minister for the Armed Forces, Nick Harvey MP",14-May-12,Thales ,Dinner 
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",24-May-12,QinetiQ,Dinner
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",20-Jun-12,Defence Analysis ,Lunch
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",26-Apr-12,Mayor of London ,Lunch
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",01-May-12,Forces Pension Society,Lunch
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",08-May-12,Gentleman at Arms ,Dinner
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",09-May-12,Riverside,Tea
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",21-May-12,UK Defence Forum,Dinner
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",24-May-12,Henry Jackson Society,Lunch
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",24-May-12,Honourable Artillery Company,Dinner
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",07-Jun-12,Founder's Day Review ,Lunch
"Minister for International Security Strategy, Gerald Howarth MP",15-Apr-12,BAE Systems,Lunch
"Minister for International Security Strategy, Gerald Howarth MP",16-Apr-12,Finnmeccanica,Lunch
"Minister for International Security Strategy, Gerald Howarth MP",16-Apr-12,EADS,Dinner
"Minister for International Security Strategy, Gerald Howarth MP",17-Apr-12,BAE Systems,Dinner
"Minister for International Security Strategy, Gerald Howarth MP",18-Apr-12,BAE Systems,Dinner
"Minister for International Security Strategy, Gerald Howarth MP",28-Apr-12,Babcocks,Army and Navy Rugby match
"Under-Secretary of State and the Lords spokesman on Defence (USofS), Lord Astor of Hever DL",11-Apr-12,BAE,Dinner
"Under-Secretary of State and the Lords spokesman on Defence (USofS), Lord Astor of Hever DL",31-May-12,Blenheim Capital,Dinner

Note: Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’,,,
"functions in the UK or abroad, hosted by overseas governments; minor refreshments at"
"meetings, receptions, conferences, and seminars; and offers of hospitality which were"
declined.
