Minister,Date of hospitality,Name of organisation ,Type of hospitality received
"Secretary of State for Defence, Rt Hon Liam Fox MP",10-Jan-11,CPS Policy Forum,Lunch
"Secretary of State for Defence, Rt Hon Liam Fox MP",01-Feb-11,Policy Exchange,Dinner
"Secretary of State for Defence, Rt Hon Liam Fox MP",13-Mar-11,Babcock Dyncorp,Rugby Tickets
"Secretary of State for Defence, Rt Hon Liam Fox MP",16-Mar-11,Sunday Times,Dinner
"Minister for International Security Strategy, Gerald Howarth MP",20-Jan-11,BAE Systems,Lunch
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",24 – 27 Feb 11,Government of Kuwait,"Travel, Overnight accommodation and meals"
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",02-Mar-11,Bomber Command Association,Reception
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",19-Jan-11,Lockheed Martin,Lunch
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",24-Mar-11,Northern Defence Industries,Overnight accommodation and meals
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL",25-Mar-11,European Aeronautic Defence and Space Company,Overnight accommodation


Note: Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’,,,
"functions in the UK or abroad, hosted by overseas governments; minor refreshments at",,,
"meetings, receptions, conferences, and seminars; and offers of hospitality which were",,,
declined.
