Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,"14,467","13,808","7,788","7,605","12,833","12,617","2,121","2,088",229,226,"16,408","15,947","53,846","52,291","1,055",999,65,64,144,144,44,44,"1,308","1,250","55,154","53,541","£130,511,526",£0,£0,"£4,193,918","£23,111,746","£10,402,762","£168,219,953","£4,120,682","£5,915,940","£10,036,622","£178,256,575",,
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,196,193,279,268,"1,926","1,880","1,304","1,250",29,26,0,0,"3,734","3,617",3,3,0,0,193,186,5,1,201,190,"3,935","3,807","£10,438,755","£103,309",£0,"£433,010","£2,071,860","£960,806","£14,007,739","£1,427,404","£3,431","£1,430,835","£15,438,574",31/03/2012,FTE & HC SCS include Dstl Level 9
Defence Support Group,Executive Agency,Ministry of Defence,580,561,"1,780","1,766",249,245,64,63,6,6,71,71,"2,750","2,713",158,156,0,0,1,1,0,0,159,157,"2,909","2,869","£5,637,374","£368,256",£0,"£686,326","£1,069,729","£667,695","£8,429,381","£571,244",£0,"£571,244","£9,000,625",.,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,1,1,3,3,3,3,1,1,48,46,57,55,0,0,0,0,2,2,0,0,2,2,59,57,"£152,941","£12,431",£0,£553,"£31,616","£11,174","£208,715","£5,352",£0,"£5,352","£214,067",.,.
National Museum Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,22,19,2,2,2,2,1,1,1,1,0,0,28,24,0,0,0,0,0,0,0,0,0,0,28,24,"£57,563",£981,£0,£486,"£7,407","£5,360","£71,797",£0,£0,£0,"£71,797",.,
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,177,170,0,0,0,0,0,0,0,0,0,0,177,170,1,1,0,0,0,0,2,0,3,1,180,171,"£336,193","£6,743",£0,"£14,681","£16,943","£32,359","£406,919","£1,806","£1,200","£3,006","£409,925",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
