Minister,Date(s) of trip,Destination ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ",,"Total cost including travel, and accommodation of Minister only"
Attorney General Dominic Grieve QC MP,05-May-11,Luxembourg,Visit the EU Court of Justice,,,,£263
Attorney General Dominic Grieve QC MP,13-Jun-11,Dublin,Speak at the Institute of International & EU Affairs,,,,£191
Attorney General Dominic Grieve QC MP,22-23 June 2011,Strasbourg,Attended the PACE debate on the state of Hyman Rights in the EU,,,,£714
Attorney General Dominic Grieve QC MP,27 June - 2 July 2011,South Korea - Seoul,Attended the IAP Conference and the World Summit for Attorney Generals’,,,,"£2,979"

Solicitor General Edward Garnier QC MP,05-May,Luxembourg,Visit the EU Court of Justice,,,,£263
