SPECIAL ADVISERS INFORMATION 1 JULY – 30 SEPTEMBER 2011 ,,,,
HOSPITALITY ,,,,

Special Advisers,Date of hospitality,Name of organisation ,Type of hospitality received,
Oliver Waghorn,15-Sep-11,UKNDA RAC Club,Lunch,
Hayden Allan,15-Jul-12,"RAF Charitable Trust, RIAT",Airshow*,
Luke Coffey,14-Jul-11,Hanovers Summer Party,Lunch,

"  ‘Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars;  and offers of hospitality which were declined’",,,,

GIFTS RECEIVED ,,,,

Special Advisers,Date Gift Received ,From ,Description of Gift ,Outcome 
Hayden Allan,Nil Return ,,,
Luke Coffey,Nil Return ,,,
Oliver Waghorn,Nil Return ,,,

Note:  Department should set out the departmental policy on accepting gifts and recording gifts including details of the de minimis levels.,,,

"SPECIAL ADVISERS’ MEETINGS NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES",,,

Special Advisers,Month of Meeting,Name,Purpose of Meeting 
Hayden Allan,Sept,Yorkshire Evening Post – Jonathan Reed,Media Discussions
