Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",16 January 2011 – 20 January 2011,"Mumbai and Delhi, India",Co-chair the Joint Economic and Trade Committee ,Scheduled,,1984
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",21 February 2011 – 24 February 2011,Tanzania and Kenya,Visited two development projects funded by Department for International Development,Scheduled,,0
"Minister of State (Universities and Science), Rt Hon David Willetts MP",21 January 2011 – 22 January 2011,"France, Versailles",Franco-British Colloque,Eurostar,,250
"Minister of State (Universities and Science), Rt Hon David Willetts MP",21 February 2011 – 22 February 201,"Russia, Moscow",Russian joint Commission meeting,Scheduled,,621
"Minister of State (Universities and Science), Rt Hon David Willetts MP",09 March 2011 – 13 March 2011,"China, Hong Kong",Going Global Conference,Scheduled,,0
"Minister of State (Universities and Science), Rt Hon David Willetts MP",28 March 2011 – 31 March 2011,"Mexico, Mexico City/ USA, Washington DC",To accompany the DPM on a trade mission in Mexico and to discuss social mobility in USA,Scheduled,,3678
"Minister of State (Business and Enterprise), Mark Prisk MP",11 January 2011 – 12 January 2011,"Belgium, Brussels",German/UK Smart Regulation Update,Eurostar,,300
"Minister of State (Business and Enterprise), Mark Prisk MP",29 January 2011 – 02 February 2011,"Doha, Qatar, Kuwait City Kuwait and Amman, Jordan",Trade Relations: Airports Delegation (Doha only).,Scheduled,,4000
"Minister of State (Trade and Investment), Lord Green",20 January 2011 – 22 January 2011,"France, Versailles",Franco-British Colloque,Eurostar,,174
"Minister of State (Trade and Investment), Lord Green",27 January 2011 – 29 January 2011,"Switzerland,  Zurich",Davos summit,Scheduled,,1112
"Minister of State (Trade and Investment), Lord Green",15 February 2011 – 17 February 201,"Spain, Barcelona/Madrid",Mobile World Congress,Scheduled,,216
"Minister of State (Trade and Investment), Lord Green",21 February 2011 – 24 February 201,"Qatar, Kuwait; Kuwait City, Jordan; Amman & Egypt; Cairo ",Promote British trade and investment  in Middle East,Charter,,Costs met by No10
"Minister of State (Trade and Investment), Lord Green",27 February 2011 – 28 February 201,"USA, Washington",Promote British Trade policy,Scheduled,,2618
"Minister of State (Trade and Investment), Lord Green",12 March 2011 – 24 March 2011,"China & India, Delhi, Mumbai, Chennai, Beijing, Chongqing, Hong Kong",Promote British trade and investment in India/China,Scheduled,,748
"Minister of State (Trade and Investment), Lord Green",30 March 2011 – 31 March 2011,"Germany, Berlin",German Banking Congress,Scheduled,,156
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",13 January 2011 – 18 January 2011,"Hungary, Budapest","Hungary, Budapest",Informal EPSCO Council meeting and bilateral meetings,Scheduled,233
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",07 January 2011 – 08 January 2011,"Poland, Warsaw","Poland, Warsaw",Visit to discuss priorities ahead of Polish EU Presidency,Scheduled,178
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",02 March 2011 – 02 March 2011,"Belgium, Brussels","Belgium, Brussels",Accompanying the DPM at trade talks,Scheduled,389
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ",09 March 2011 – 10 March 2011,"Belgium, Brussels","Belgium, Brussels",Competiveness Council,Eurostar,159
