Minister,Date,Name of organisation,"Type of Hospitality Received  (if accompanied by spouse, partner, or other family member or friend insert an asterisk *)"
Attorney General Dominic Grieve QC MP,Feb-11,Telegraph Media Group ,Lunch
Attorney General Dominic Grieve QC MP,19-Mar-11,Fundraising ball organised by Lunch 4 Life ,Dinner

Solicitor General Edward Garnier QC MP,Nil return,,


"Hospitality does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.",,,
