Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Foreign Secretary, Rt Hon William Hague MP",12-15 April,"Luxembourg, Doha and Berlin","Foreign Affairs Committee, Libya Contact Group, NATO Ministerial meeting",Charter,5,"£4,332"
"Foreign Secretary, Rt Hon William Hague MP",1-3 May,"Cairo, Egypt","Bilateral meetings with activists, Prime Minister Sharaf and Amre Moussa",Scheduled,,"£3,170"
"Foreign Secretary, Rt Hon William Hague MP",05-May,"Rome, Italy",Libya Contact Group,Charter,6,£884
"Foreign Secretary, Rt Hon William Hague MP",17-20 May,"Dublin, Ireland",Her Majesty’s State visit to Ireland,Charter,3,£0 (Paid by the Palace)
"Foreign Secretary, Rt Hon William Hague MP",23-May,"Brussels, Belgium",General Affairs Council/ Foreign Affairs Council,Eurostar,,£697
"Foreign Secretary, Rt Hon William Hague MP",19-20 June,Luxembourg,General Affairs Council/ Foreign Affairs Council,Eurostar,,£921
"Foreign Secretary, Rt Hon William Hague MP",21-23 June,Afghanistan and Pakistan,Joint visit with the United Arab Emirates Foreign Minister,Charter,6,"£4,551"
"Minister of State, Jeremy Browne MP",15-21 May,"Brazil: Sao Paulo, Brasilia, Port Alegre, Colombia: Bogota, Uruguay, Montevideo","Meetings with South American Ministers, officials, businesses and civil society organisations.  ",Scheduled,,"£7,703"
"Minister of State, Jeremy Browne MP",28 May -3 June,"Mongolia: Ulaanbaatar, China: Beijing, Guangzhou, Hong Kong",Meetings with Mongolian and Chinese Ministers,Scheduled,,"£4,388"
"Minister of State, Jeremy Browne MP",6-7 June,Hungary: Budapest,ASEM Foreign Minister’s meeting.,Scheduled,,£468
"Minister of State, Jeremy Browne MP",15-Jun,Spain: Malaga,Visit British Consulate and open consular call centre.,Scheduled,,£373
"Minister of State, Jeremy Browne MP",20-22 June,"Brazil: Sao Paulo, Rio De Janeiro, Brasilia",Member of the DPM’s Ministerial delegation visiting the region and meetings with Ministers,Scheduled,,"£4,173"
"Minister of State, David Lidington MP",4-7 April,USA (Washington & New York),Meetings with key figures in US Administration and UN to discuss EU/US matters,Scheduled,,"£5,121"
"Minister of State, David Lidington MP",12-13 April,Gibraltar,Bilateral Visit,Scheduled,,£570
"Minister of State, David Lidington MP",10-11 May,Istanbul,Annual Council of Europe Meeting,Scheduled,,£321
"Minister of State, David Lidington MP",23-May,Brussels,General Affairs Council,Eurostar,,£278
"Minister of State, David Lidington MP",7-9 June,Sarajevo and Tirana,Bilateral Visit,Scheduled,,£786
"Minister of State, David Lidington MP",20-Jun,Luxembourg,General Affairs Council,Scheduled,,£280
"Minister of State, David Lidington MP",22–23 June,Rome,Bilateral Visit,Scheduled,,£371
"Minister of State, David Lidington MP",27–29 June,Cyprus,Bilateral Visit,Scheduled,,£316
"Minister of State, The Rt Hon Lord Howell of Guildford",26 May-2 June,"Lebanon, Qatar, Saudi Arabia, U.A.E, Kuwait","To strengthen the UK’s relationships with Gulf countries on energy, commercial and other bilateral issues",Scheduled flights,N/A,"£6,208"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",24-30 Apr,Sierra Leone and Guinea,Bilateral relations,Scheduled,N/A,"£3,765"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",19-30 May,"Kenya, Ghana, Tanzania, Ivory Coast, and Nigeria",Bilateral relations and inauguration ceremonies in Nigeria and Ivory Coast,Scheduled,N/A,"£4,411"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",26 Jun-3 Jul,"Equatorial Guinea, Gabon and Cameroon",Bilateral relations and AU Summit,Scheduled,N/A,"£5,054"
"Parliamentary Under-Secretary of State, Alistair Burt MP",3-6 April,Morocco & Algeria,Counter Terrorism issues,Scheduled,,"£1,761"
"Parliamentary Under-Secretary of State, Alistair Burt MP",10-12 April,UAE,Yemen taskforce,Scheduled,,"£2,680"
"Parliamentary Under-Secretary of State, Alistair Burt MP",26-28 April,Saudi,Bilateral meetings  ,Scheduled,,"£1,450"
"Parliamentary Under-Secretary of State, Alistair Burt MP",14-19 May,Pakistan/Oman,Bilateral meetings,Scheduled,,"£3,500"
"Parliamentary Under-Secretary of State, Alistair Burt MP",25 -26 May,Tunisia,Bilateral meetings re Arab Spring,Scheduled,,£700
"Parliamentary Under-Secretary of State, Alistair Burt MP",27 May - 2 June,Iraq,Bilateral meetings re Counter Terrorism,Scheduled,,"£3,638"
"Parliamentary Under-Secretary of State, Alistair Burt MP",8-9 June,UAE,Counter Terrorism & Arab Spring,Scheduled,,"£2,730"
"Parliamentary Under-Secretary of State, Alistair Burt MP",15-Jun,Brussels,Brief MEPs on  Middle East,Scheduled,,£280
,27-Jun,Israel/Occupied Palestinian Territories,Middle East Peace Process,Scheduled,,"£1,326"
