Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-10,Chief Executive of Welcome to Yorkshire,To discuss local economic growth
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-10,Confederation of British Industry (CBI),Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-10,Delegation of Coventry residents ,Planning system
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-10,Civic Voice ,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Sep-10,London Councils,Introductory meeting to discuss issues pertaining to London
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-10,Royal Society for the Protection of Birds ,Planning Appeals
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Sep-10,Community Development Foundation,Work of Community Development Foundation
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Sep-10,Hazel Blears MP ,Pendleton PFI project
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Sep-10,David Blunkett MP ,Housing Market Renewal
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Sep-10,Graham Allen MP ,Housing issues in Nottingham City
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Sep-10,Michael Ellis MP ,PFI Housing project in the Eastfield and Thorplands wards in the Northampton North constituency
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Sep-10,Grahame Morris MP and East Durham Homes,Housing Revenue Account and Decent Homes Standard
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Sep-10,John Leech MP ,Changes to the HMO legislation
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Sep-10,Andrew Bridgen MP ,"Negative subsidy payments, Local housing referendums, Local Development Framework"
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Sep-10,Construction Products Association,Carbon efficiency of buildings
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Sep-10,British Humanist Association,Introductory meeting
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Schofield Sweeney Solicitors,Discuss Ports
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Olympic Park Legacy Company ,Discuss Olympics
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,West Devon Borough Council and Cllr James McInnes,Discuss the Core Strategy
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Meeting with Chief Fire Officers Association ,Discuss Fire
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Meeting European Aeronautic Defence and Space ,Discuss Fire Control
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Civil Engineering Contractors Association (CECA)),Discuss Major Infrastructure Planning
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Peter Luff MP,Discuss planning policy in relation to travellers
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Meeting with Patrick Wintour and Andrew Rawnsley - Political Editor of the Guardian ,Discuss Local Enterprise Partnerships
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Standards Board,Discuss conduct for local authority members in a post-Standards Board world
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Committee on Standards in Public Life,Discuss abolition of the Standards Board regime.
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Derbyshire Dales District Council ,Discuss the Formula Grant Distribution
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,District Councils Network,Discuss Local Government Issues
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Commission of Funding of care and support,Discuss Objectives of the Commission
"Bob Neill MP, Parliamentary Under-Secretary of State",Sep-10,Meeting Mayor Boris Johnson,Discuss Olympic Park Legacy Company
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return

"*Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non-departmental public bodies, Government reviewers, and representatives of devolved or foreign governments."
